activists_1,activists_2
13922,3687
14695,6343
14695,8149
12485,7795
14081,3119
13807,5722
14081,808
14695,206
14698,8050
14697,1438
12558,7588
14696,8381
14696,8380
12558,414
14697,673
14043,7902
14696,8136
13922,6017
14081,6990
12485,7826
14081,8015
14695,757
12485,402
14697,6068
12485,8337
14696,7890
14695,4089
13924,3412
14702,7980
14081,8031
14697,5829
12558,8393
14695,6145
14698,7588
14695,8192
14697,1219
14695,6155
12558,206
14695,4104
14081,12398
13924,8050
14696,8181
14695,6162
14695,3345
14081,8043
12558,8149
14695,1052
13807,7588
14081,3184
13807,1183
14081,8318
13807,5802
13924,6783
14695,803
14695,5410
14081,7803
14697,4079
14695,6187
12485,8136
14081,8325
14697,6123
14699,1197
14695,564
14081,8078
13922,5581
14696,3860
14052,781
14081,8342
14695,824
14698,4316
14698,7643
14702,352
14702,8031
12485,8149
14695,3382
14081,7835
14081,8353
12558,5915
14697,3863
14697,3862
14698,7670
14699,726
13807,5339
48,7681
13807,478
12485,7680
13807,6123
13807,4329
14699,994
14702,402
14697,3382
14696,8273
14695,1135
14695,5243
12558,6719
14703,6783
13922,6162
14081,7902
14081,5343
13924,7643
12558,3412
14697,332
14695,1158
14701,7643
14081,7661
14081,6646
14695,3997
14081,8181
13924,7670
14081,7920
14696,6783
14081,8197
14700,781
14696,8342
14695,1203
14696,8337
14696,8336
14081,7958
12558,6017
14697,5255
14081,7964
12558,6282
12485,8031
