administrative_division_1,administrative_division_2
9605,10536
9931,10670
10248,11086
9219,5090
9922,9923
8525,10222
10370,10371
10431,9504
10148,11119
11125,10528
11528,5206
11069,5093
8511,9652
9663,11822
8492,9213
9485,10186
11461,10377
10027,9776
9350,11307
9812,5172
10969,5144
9731,9732
9411,9412
9539,9540
11102,5119
10659,10660
9963,11766
11217,10776
8526,5112
10109,5200
8498,11110
9976,9326
11582,11758
10347,11150
10948,10950
9419,5113
11302,5107
11018,10833
10653,9860
11428,11437
10327,10761
9799,10745
9993,9861
10169,10550
9387,9192
11435,9200
11353,11742
9733,9734
10213,10214
9885,9128
8486,11538
9863,9809
10150,11169
9659,11027
11725,11505
9350,9351
9766,9767
9451,5209
10048,10259
11699,5161
8495,5156
11688,11645
8494,5203
9959,9960
8510,9824
10743,9215
9493,11103
10140,10502
9226,11197
11664,11403
10048,5181
9314,11548
9780,10419
10809,11288
9864,9865
11272,11273
10568,10569
10683,11111
9905,10650
9159,9200
10691,9843
10999,11571
10864,11656
9650,9363
10089,10090
9323,9266
9779,10503
10614,10226
9399,10000
9613,9520
10545,5207
11031,10621
10639,11509
8493,10444
9959,10055
9130,9131
9951,5194
11133,11561
10220,10167
9523,9254
10316,9244
11044,5108
10184,5143
11271,9336
11399,9483
10208,10564
10389,10068
9740,10733
9547,9548
9587,9333
9425,5150
11239,11377
11165,9575
9492,5117
10680,11306
11224,10825
10273,10620
9493,5105
11176,5157
11597,9510
8527,9460
11579,11101
10348,10349
10604,10605
11673,11258
9771,9815
10539,11608
9901,9902
11176,10313
9630,10122
10321,5086
10934,10666
9797,10073
10136,9805
9991,5092
10046,9531
10115,9434
11212,11269
10543,10516
9934,9935
10116,11462
11135,9578
9659,5154
12799,5105
10318,9312
9794,10207
10124,11242
11212,5164
9651,10561
11772,105
10519,5152
11351,11113
11547,9143
8521,9765
9663,10204
10791,10047
11238,11552
9155,9574
11346,5141
10864,9845
9850,11584
11382,11189
9360,9361
10576,10577
10704,10705
11342,9369
10288,5182
10804,10685
10256,5158
9472,11024
11649,10099
10245,9590
10754,5088
9168,11246
8526,9644
10784,5175
10389,5145
9718,10582
10641,10642
11174,10514
10926,10012
9399,5124
9477,9868
11088,10103
10289,10309
9261,11456
9722,10480
10984,11300
11667,9582
11082,5185
9554,9555
10162,10163
10524,9181
10192,11281
10557,5099
10764,10963
10046,9671
10681,11503
9283,10816
11407,11529
10621,5174
10438,9834
9628,9344
9891,11427
11283,11285
11211,11474
9275,10052
9914,9709
9630,5202
9665,5142
14654,5101
9238,9170
9844,10859
10162,5098
14654,5124
11153,11253
10655,5187
9172,9173
10196,10197
14654,5131
11079,10485
8511,9202
11181,10400
10955,10237
9744,10923
9895,10338
11649,5118
11157,10127
9713,10868
14654,5154
8510,9251
10899,10968
9909,9910
9301,9302
10837,10838
11445,11446
9188,11791
11605,9569
9951,10668
10754,10352
9657,9543
9199,9398
9426,11578
9724,11565
11588,11138
11132,10932
10487,9422
11592,9986
11570,10678
14654,5182
9494,9495
10057,9462
10210,9835
10924,10240
10994,10120
9866,11290
11478,11493
11136,10843
8475,9371
9828,10437
10519,10520
9436,5192
10989,11323
9405,5136
9490,10693
10583,9580
11120,9317
8523,9947
9933,9246
10713,10677
8496,6700
11046,10598
8485,10117
9240,9241
9688,9689
10836,10966
9528,9529
10872,10873
10424,10425
9425,10682
10796,10178
10893,11261
11164,11064
9991,9538
10987,11432
10401,10137
10575,9870
9625,9626
9599,9418
11410,9600
10648,9676
9966,10337
9389,10827
9338,9339
9402,9403
11002,11003
9700,10414
10311,9925
14365,5088
14365,5086
10075,10076
9293,10767
14365,5099
10169,5126
10929,10233
14365,5095
9147,10190
9236,10504
9342,5170
14365,5103
14365,5101
11041,10877
9977,10069
10922,9445
11090,9359
10832,9165
14365,5110
9914,9969
14365,5108
11699,10967
8513,9377
10362,11449
9948,9949
9308,9309
14484,9620
11036,11037
10129,11516
14365,5128
11451,11490
11569,10916
14365,5136
11440,9803
11346,11696
11069,10051
9693,9694
9405,9406
9853,9854
10589,10590
10887,11603
14365,5169
14365,5167
14365,5164
10510,9983
10188,10760
9984,9911
14365,5172
10269,10295
9579,11205
11413,11706
10732,5169
10311,11047
11163,5115
9438,9439
9886,9887
14365,5181
10269,9278
10686,10687
14365,5194
11682,10538
9651,11035
14365,5202
9665,9588
9972,5189
10239,9201
8495,10026
9500,9591
11442,9806
11350,11633
9994,11695
10784,11782
9281,9217
11814,11589
9183,9184
11357,11441
10151,9915
10094,9636
11128,9334
11496,11233
9283,5095
9448,5101
11330,5128
9920,9921
10688,10689
10235,11431
9188,10096
9541,10412
10290,11770
9714,11195
9977,5110
9945,11223
10933,5177
10439,9227
11448,10715
10013,11171
10049,10050
9889,9890
10557,11723
11364,5131
9208,10529
10801,5184
9714,5090
10892,9534
10142,5146
9437,10613
