appearance_type_1,appearance_type_2
1799,12394
8766,14016
5362,14587
3859,14587
5265,14013
3116,14587
8236,14587
1927,14587
2439,14587
1420,12394
1021,14013
7916,12236
474,14588
8154,14587
1333,14587
6156,14587
727,12394
694,12394
3212,13697
5892,14588
8766,14587
3592,13697
12631,14587
1303,14013
6289,14587
6145,12394
690,14587
381,12394
1039,14013
1417,14587
8893,12211
261,14587
596,12394
676,14013
674,14588
542,14587
6009,14587
1467,14587
6108,14587
5563,14587
1203,14587
5813,14013
4071,12211
4016,12394
968,13697
6312,12394
6109,14588
12627,12215
5434,14013
3403,14013
1799,14587
7062,12211
5631,14587
3550,14587
705,13697
3825,12211
858,14587
6864,12211
351,12394
3600,14587
590,13697
233,14013
1156,14587
8192,14587
1156,14588
1092,14013
991,14587
1503,14587
6518,12211
3487,14013
3898,14587
694,14587
5703,12394
4313,14013
1173,14587
3760,12215
352,12394
1041,14588
498,14013
3316,13697
6128,14587
810,14587
267,14013
6145,14587
4091,12211
1318,13697
721,12236
1438,14587
7716,14016
381,14587
1438,14588
761,14587
1242,14013
730,14013
1434,13697
4114,14587
3156,14588
3326,12394
7814,14588
5702,14013
1340,14587
5339,14013
12604,14587
4181,14588
5651,14587
1237,13697
8362,14013
267,14587
1159,14587
7716,14587
6182,14013
5470,14587
7865,14587
1277,14013
5984,14016
3319,13697
1106,13697
1040,13697
5919,14013
3904,14013
351,14587
4018,14587
5934,14587
6215,14587
8802,12211
843,13697
6864,12394
298,13697
588,12394
1378,14016
666,14588
1079,14588
3534,12211
8191,12236
3156,13697
3683,12211
6348,14587
1129,14587
1098,14013
1032,14013
299,13697
5772,14016
4003,14587
832,14587
700,14587
5754,14588
1340,13697
5870,14588
6283,14588
4097,12211
7720,14587
6938,12211
5881,12211
5854,14587
12609,14587
8391,12236
678,12236
332,12211
6038,14013
6317,14587
7886,14587
4170,14587
4098,12211
6220,14013
4170,14588
3406,13697
4071,14587
5444,14013
8987,12211
8184,14587
1150,14013
1266,14013
12627,14588
1233,14013
12627,14587
4105,14587
1241,12236
7916,13697
389,14587
5922,14588
1203,12394
5922,14587
5509,14588
5313,14013
1083,14587
918,14587
408,14013
918,14588
6831,14587
6864,14587
6154,14587
881,13697
3423,12211
737,14587
8004,14587
1150,14588
