area_of_activism_1,area_of_activism_2
8318,14081
8031,12485
7588,14698
5829,14697
8381,14696
5243,14695
8337,12485
12398,14081
7681,48
726,14699
5915,12558
4079,14697
206,14695
1197,14699
8393,12558
4104,14695
7964,14081
6123,13807
3997,14695
8192,14695
402,12485
3345,14695
5339,13807
7826,12485
6990,14081
781,14052
6343,14695
5802,13807
5410,14695
6145,14695
8353,14081
8031,14081
1438,14697
4089,14695
3412,13924
6162,13922
3184,14081
8149,12485
6162,14695
6695,14043
8015,14081
8342,14696
8197,14081
6187,14695
332,14697
1158,14695
8136,14696
803,14695
8181,14081
6017,12558
7958,14081
7795,12485
3119,14081
6719,12558
564,14695
7661,14081
7902,14043
6155,14695
5255,14697
7835,14081
6783,13924
7680,12485
6282,12558
7980,14702
6783,14696
994,14699
1052,14695
6646,14081
7588,13807
6783,14703
478,13807
5722,13807
7890,14696
3860,14696
1135,14695
808,14081
14336,14043
6123,14697
3687,13922
8336,14696
8149,12558
7803,14081
7902,14081
7588,12558
673,14697
7643,13924
7643,14701
8043,14081
7643,14698
3382,14695
8031,14702
3382,14697
8136,12485
8337,14696
781,14700
206,12558
6017,13922
5343,14081
1219,14697
4316,14698
352,14702
8181,14696
7920,14081
757,14695
1203,14695
3862,14697
6695,14945
8325,14081
402,14702
4329,13807
8342,14081
8380,14696
12694,14081
7670,13924
8078,14081
824,14695
414,12558
1183,13807
3863,14697
5581,13922
6068,14697
7670,14698
8050,13924
8149,14695
3412,12558
8273,14696
8050,14698
