athlete_1,athlete_2
7100,12413
51,533
51,12309
75,7982
7100,12418
7100,12415
1769,533
51,8227
1769,7707
14034,1254
7155,8168
1769,1054
7100,12432
14034,7920
7179,7940
1769,8227
2737,13549
7155,8177
14034,7916
2737,13548
117,8242
7100,7838
2737,13552
51,8244
7100,7836
2737,13554
78,13554
2737,7934
2737,7940
7100,8369
176,7975
7100,11961
1769,6215
7100,8375
51,7763
51,7764
7100,7868
51,6231
2737,7959
1769,8270
1769,7764
14034,7961
1769,6231
51,8303
2737,7982
7100,6366
2395,6303
1769,8303
51,12413
7110,7603
14034,5946
2737,8001
7100,13549
7100,13554
14034,6989
2737,8021
14034,1376
51,7836
51,7838
7111,7604
7179,8060
1769,7838
1769,673
7110,7650
2737,8048
7185,8405
51,11961
51,7868
2737,12671
7100,7975
2737,12673
7100,7982
2737,8064
2737,12675
2737,12674
2931,7172
1769,7868
2737,12679
75,7648
2737,12678
14034,8078
1769,5827
14034,914
186,12418
7179,7603
37,12432
2737,8109
14034,8106
2737,7608
1825,8232
51,7931
7110,7725
7111,12309
1825,7728
1769,7931
7179,7650
2737,12237
1739,5798
1769,1285
6644,8369
7179,8168
7111,8227
7100,8060
51,7961
2737,8152
7110,7763
14034,5594
6643,6366
2737,7648
1769,7961
7117,12669
7143,6231
14034,7654
2737,12261
1825,6231
135,7940
2737,7667
14034,8191
7179,533
7179,12309
7155,7931
7154,7961
2737,7676
7111,7764
1769,823
14034,7688
92,12371
1761,3641
7105,7961
7179,8227
7110,12413
2737,7690
7102,12669
1825,8329
7179,8244
7111,8303
2737,12314
14034,8219
14034,12315
108,12408
78,12314
14034,537
1825,11919
14034,1049
2737,8222
7110,11926
14034,7728
51,5996
2737,12332
1761,4193
1769,5996
7100,7650
2737,8244
7100,7648
117,12669
14034,7741
61,7750
51,8060
7179,7763
2737,12349
7110,8369
2737,576
1769,8060
1825,8373
2737,12359
7110,11961
2737,7750
61,12372
1761,6266
7165,12309
14034,8270
2737,12362
92,11926
7111,7838
14034,1111
2737,12371
2737,12373
2737,8276
2737,12372
2737,7771
141,8375
2737,7773
2737,12381
7179,12408
2737,12382
7179,12413
2737,8288
2737,8291
108,11965
1825,8404
7111,7868
14034,3184
7100,533
7100,12309
2737,12395
7110,6366
7100,12314
2737,8300
2737,12399
117,7603
7164,6231
14034,631
2737,12401
51,7604
2737,12405
2737,12406
2737,12409
2737,12408
2737,12410
2737,5754
14034,1150
7100,8227
1769,7604
2737,12415
14034,5753
1825,13550
7179,11926
7179,7836
2737,12419
78,12415
2737,12418
7179,7838
2737,12425
1769,1472
7100,8244
2737,7818
2737,12431
2737,12433
14034,5272
2737,12432
75,13549
14034,7827
7179,8369
7117,8242
14034,11922
7185,6651
7100,7750
2737,12443
7179,11961
2737,12444
2737,7836
51,7650
7179,11965
7179,7868
2737,11938
2737,12452
2737,12455
51,8168
1825,7961
7100,12372
7100,12371
7100,7763
2737,8366
51,8177
1769,8168
2737,5296
7110,7975
14034,8373
2737,8375
1769,8177
2737,7866
2737,11965
2737,7871
14034,5817
14034,5831
7102,8242
1825,823
14034,4301
7185,5679
2737,7885
