biofluid_location_1,biofluid_location_2
13280,14369
13082,14369
13216,14823
13433,14369
13216,14824
12692,14825
13043,14824
13043,14825
12981,14824
12692,14823
13043,14823
12692,14824
12981,14823
12746,14823
12746,14824
12746,14825
13013,14369
12695,14369
12910,14369
12815,14369
13379,14824
13379,14825
13379,14823
13216,14369
13082,14823
13082,14824
13433,14823
13043,14369
12981,14369
13280,14825
13280,14824
13433,14824
13082,14825
13433,14825
13165,14824
13165,14825
13165,14823
12746,14369
13013,14824
13013,14825
12695,14824
12695,14825
13013,14823
12695,14823
13379,14369
12910,14825
12910,14823
12815,14824
12815,14825
12910,14824
12815,14823
