capital_1,capital_2
10877,11041
9143,11547
49,10834
10050,10049
9890,9889
92,8480
9915,10151
9326,9976
114,9857
78,9953
6679,11148
5112,8526
133,11322
150,9774
13,10952
10650,9905
10051,11069
6725,10759
5090,9219
34,11333
9923,9922
10371,10370
9217,9281
10099,11649
11269,11212
5142,9665
10120,10994
5150,9425
5126,10169
11126,8496
187,11738
161,11523
10843,11136
9732,9731
9540,9539
9412,9411
13624,9914
10055,9959
10313,11176
10660,10659
6700,8496
9870,10575
10309,10289
10891,11702
32,9385
123,11685
11819,8532
193,8496
54,10762
10561,9651
11493,11478
108,10116
193,8505
6694,11780
9359,11090
11529,11407
5172,9812
11696,11346
194,8488
5158,10256
11498,9297
10474,9297
70,11314
6734,10560
127,8532
54,9774
10950,10948
5117,9492
58,10679
10776,11217
10923,9744
9734,9733
10214,10213
9377,8513
5175,10784
9840,8510
63,8490
11029,10556
10514,11174
9213,8492
11723,10557
9483,11399
198,11488
11782,10784
9767,9766
9351,9350
9181,10524
11258,11673
11242,10124
181,9980
9510,11597
6683,11179
10485,11079
5152,10519
66,11521
6668,10637
11633,11350
11144,11144
9960,9959
156,11809
9534,10892
5098,10162
11027,9659
9910,10496
9462,10057
11758,11582
33,11544
9344,9628
21,10894
17,9999
9840,10643
9861,9993
5164,11212
9865,9864
11273,11272
10569,10568
132,8490
9644,8526
11288,10809
195,10635
5200,10109
11233,11496
16,11069
6636,11678
6702,9629
182,11050
5124,9399
13658,10058
5128,11330
82,10060
11584,9850
10621,11031
11474,11211
5095,9283
10550,10169
10090,10089
5118,11649
9676,10648
9590,10245
11498,9468
9543,9657
11822,9663
10377,11461
10536,9605
9531,10046
10204,9663
9131,9130
9580,10583
6717,11270
10859,9844
35,8503
97,9656
9251,8510
11101,11579
11770,10290
10052,9275
135,8489
9548,9547
9620,14484
11589,11814
10259,10048
13617,11418
5156,8495
9,11385
11103,9493
11377,11239
5192,9436
11437,11428
11195,9714
5177,10933
10963,10764
6676,8505
10349,10348
10605,10604
11246,9168
6664,9906
10190,9147
37,10546
6643,8515
5108,11044
11290,9866
170,8478
9843,10691
5131,11364
10967,11699
11307,9350
10538,11682
13634,9914
5187,10655
6705,11731
142,10381
5144,10969
9192,9387
13628,11135
11631,8532
9902,9901
10733,9740
14010,8505
5110,9977
9334,11128
11441,11357
9254,9523
26,9892
171,11542
106,11511
6647,9453
9947,8523
5154,9659
10233,10929
9200,9159
9215,10743
6644,10576
150,9139
9582,11667
10127,11157
9935,9934
11281,10192
11223,9945
150,11196
6777,10556
10444,8493
71,8529
11656,10864
9422,10487
9434,10115
9969,9914
5184,10801
9418,9599
9983,10510
10868,9713
11035,9651
9398,9199
11361,9796
10816,9283
9538,9991
11047,10311
11138,11588
9652,8511
10503,9779
10073,9797
11113,11351
10613,9437
39,8532
167,11734
166,11768
11119,10148
11516,10129
11323,10989
9227,10439
11706,11413
41,11555
10412,9541
5088,10754
10620,10273
8,8491
9361,9360
10705,10704
10577,10576
9925,10311
36,10699
6746,8515
9201,10239
125,9995
6655,9297
173,8510
11261,10893
10678,11570
11253,11153
11742,11353
10966,10836
10715,11448
141,8488
54,9139
10207,9794
10069,9977
27,11004
11205,9579
10117,8485
10437,9828
10642,10641
10666,10934
9636,10094
11538,8486
9809,9863
10528,11125
5090,9714
16,11364
119,10220
14011,9656
9520,9613
14010,11731
9671,10046
10682,9425
138,9639
191,10045
13652,8506
9445,10922
11403,11664
11427,9891
10163,10162
9555,9554
6642,11799
76,8499
195,9931
10237,10955
9709,9914
109,10556
10096,9188
9246,9933
11565,9724
110,8487
9266,9323
11086,10248
10186,9485
87,10231
9170,9238
9591,9500
9986,11592
10338,9895
10548,10548
10598,11046
119,10269
11110,8498
5170,9342
5143,10184
9336,11271
5107,11302
9845,10864
10516,10543
11285,11283
11150,10347
149,11409
5101,9448
6,11751
6684,8507
24,11194
10197,10196
9173,9172
5181,10048
10240,10924
5161,11699
10337,9966
111,8506
5136,9405
11503,10681
10178,10796
5099,10557
10668,9951
9815,9771
12,8510
105,11772
10825,11224
9200,11435
10968,10899
6691,11387
6750,11605
45,8520
11778,11385
10103,11088
52,9331
10677,10713
10760,10188
10295,10269
11548,9314
11552,11238
9910,9909
9302,9301
11446,11445
10838,10837
5146,10142
9588,9665
11306,10680
95,10058
10047,10791
11608,10539
11778,9368
9369,11342
9460,8527
10670,9931
9824,8510
176,10635
30,10041
5141,11346
9835,10210
11578,9426
10833,11018
9495,9494
11449,10362
9805,10136
6654,8487
179,8508
10414,9700
11505,11725
9776,10027
10529,9208
86,10387
16,11534
180,9523
5115,11163
177,11669
10520,10519
12506,11418
10400,11181
10916,11569
13624,10562
13624,8511
10480,9722
10167,10220
9575,11165
10012,10926
9600,11410
10564,10208
178,11659
9574,9155
9241,9240
10222,8525
9689,9688
9529,9528
10425,10424
10873,10872
5185,11082
9911,9984
11111,10683
11695,9994
11509,10639
5203,8494
11300,10984
99,11075
11432,10987
5119,11102
10026,8495
9626,9625
5105,9493
10932,11132
11,10747
6666,11291
10122,9630
10502,10140
9578,11135
5189,9972
154,10415
50,8519
13595,8480
11064,11164
84,8502
10582,9718
9339,9338
9403,9402
11003,11002
11189,11382
13628,8490
10761,10327
10745,9799
51,8509
11456,9261
19,8478
117,8514
40,9879
11561,11133
184,8488
5206,11528
11462,10116
11487,11397
10076,10075
9363,9650
9202,8511
5202,9630
11603,10887
60,10317
61,9264
126,9297
10352,10754
9834,10438
9333,9587
9860,10653
10891,10436
5145,10389
118,11605
29,29
9278,10269
9949,9948
9504,10431
9309,9308
11037,11036
5092,9991
119,8510
9317,11120
59,11397
10000,9399
5209,9451
5182,10288
155,9453
11791,9188
11766,9963
9244,10316
20,11595
158,11414
5207,10545
186,8500
10226,10614
9765,8521
9803,11440
9854,9853
9406,9405
9694,9693
6669,11314
10590,10589
8478,8478
10827,9389
10068,10389
121,8481
11645,11688
5194,9951
11171,10013
5169,10732
9887,9886
9439,9438
9371,8475
10687,10686
10419,9780
9312,10318
11197,9226
10693,9490
128,11372
5113,9419
14,10815
9128,9885
195,11350
11024,9472
116,9705
5093,11069
9868,9477
11361,10308
8479,10558
9184,9183
10504,9236
5174,10621
9569,11605
10767,9293
23,8530
10685,10804
90,8504
11490,11451
11571,10999
9165,10832
9806,11442
11169,10150
9921,9920
10689,10688
5157,11176
80,9852
10137,10401
190,8491
9840,11418
11431,10235
150,10762
5086,10321
189,8532
