category_of_1,category_of_2
7383,13113
6520,12729
7416,13113
6553,12729
7449,13113
12090,12090
6549,13113
13890,13890
14130,14130
7375,13113
7499,13113
6446,12729
6599,13113
7400,13113
7433,13113
6404,6612
6437,6612
6405,12729
6463,12729
7425,13113
6396,6612
6429,6612
7458,13113
6578,6612
6521,12729
7417,13113
7450,13113
6421,6612
6579,12729
13883,13883
13891,13891
7376,13113
6480,12729
6608,13113
6413,6612
6546,12729
7500,13113
7335,13113
7368,13113
6372,6612
7459,13113
7525,13113
7360,13113
7355,6612
7393,13113
7426,13113
7451,13113
7347,6612
7352,13113
6489,12729
7443,13113
12108,12108
7567,13113
6448,12729
6381,6612
7501,13113
7336,13113
6373,6612
7427,13113
7460,13113
6431,6612
6464,6612
6465,12729
7394,13113
6523,12729
7485,13113
7518,13113
6552,13113
7386,13113
12077,12077
6548,12729
6420,13113
7444,13113
7477,13113
14133,14133
13885,13885
13861,13861
6416,12729
7345,13113
7378,13113
6507,12729
6374,6612
7436,13113
7469,13113
6440,6612
6573,12729
7527,13113
7560,13113
7370,13113
7461,13113
7519,13113
7552,13113
7329,13113
6433,12729
7387,13113
6391,6612
6590,12729
7544,13113
6614,6614
12094,12094
7412,13113
7445,13113
12718,12718
14126,14126
13878,13878
7478,13113
7503,13113
7536,13113
6545,13113
6475,12729
6375,6612
6508,12729
6541,12729
6442,12729
6533,12729
7429,13113
6582,6612
7388,13113
7454,13113
7545,13113
7322,13113
6484,12729
7446,13113
7471,13113
6604,13113
6476,12729
6467,6612
7529,13113
6377,12729
6558,6612
7331,13113
6534,12729
7356,13113
6460,12729
7447,13113
7480,13113
7571,13113
12104,12104
7315,13113
12056,12056
7381,13113
6385,6612
7434,6612
7538,13113
7373,13113
6510,12729
6402,6612
7431,13113
6535,12729
6468,6612
7398,13113
7423,13113
6560,12729
7456,13113
7522,13113
6589,13113
7390,13113
6519,12729
7415,13113
6419,6612
7448,13113
7481,13113
12097,12097
12073,12073
12121,12121
12137,12137
7382,13113
13889,13889
13873,13873
7407,13113
7535,12729
7440,13113
7341,13113
6478,12729
7432,13113
6565,13113
7366,13113
7490,13113
7515,13113
7325,13113
6462,12729
