character_1,character_2
5579,12972
5975,13496
872,12972
921,14013
2369,12647
12440,14807
5559,2849
1213,12647
5546,13496
3597,14013
3522,12245
5579,14015
2573,14018
3399,14015
8321,14013
2078,13496
6124,4297
6238,14588
11922,12972
1891,12647
5382,12972
14012,13726
6237,2849
3251,14013
1016,13666
4308,14015
14756,13722
2459,12972
1451,14013
3378,12647
12269,14013
5382,14015
6052,13725
5283,14013
5307,12245
14756,13729
5647,12972
5786,12245
7636,12245
2668,13677
2459,14015
378,14013
345,14016
2470,13677
5234,13497
14013,12200
3184,14588
5559,13669
6258,14013
1485,14013
5647,14015
5581,14013
898,12245
296,14013
5295,12647
478,13496
1247,13722
14757,13726
6055,13666
6154,13669
429,12972
2807,13496
280,14013
6094,13496
6237,13669
5870,12245
1618,14013
5648,14015
314,12972
429,14015
14756,14807
14756,14806
5546,2849
12321,14013
1255,14018
3386,13496
1015,12245
6109,14588
5715,13496
826,14013
804,12647
2247,12972
821,13666
7787,14806
1041,14016
1333,13669
2247,14015
676,14587
232,14015
199,14017
1495,12245
3552,14013
658,5937
1185,13666
5958,13669
6261,13496
5463,12647
5298,12647
2562,13496
4032,13496
2753,13725
1918,13497
1439,14013
5337,13496
5348,12647
5998,13496
6187,12245
821,13726
5512,13726
2574,13669
5712,12647
6081,13496
12440,14013
12598,13722
1176,14015
12598,13729
2828,13496
411,12647
1650,13666
764,12972
7814,14588
6990,14017
2878,13496
6238,12245
5449,12647
797,14013
5339,14013
5785,13496
762,14587
863,14016
278,13722
6264,14013
5653,13496
1095,12972
1135,12245
6323,13725
6066,13497
979,14013
5521,14013
3053,13725
267,14587
427,13723
1073,13666
5736,14013
3481,12245
4250,13497
12598,14807
3184,12245
12598,14806
3386,13666
567,14015
826,13666
380,13669
237,13496
1272,13669
6258,13725
2632,13496
3021,13726
2164,12647
12287,13725
1608,14017
452,14013
5952,14013
610,13726
990,13725
2666,12972
5523,13496
3618,12647
981,14013
328,12245
3833,13669
750,14013
2611,12647
6063,13669
6175,12245
6167,8396
2666,14015
398,12647
923,12245
2380,12647
5326,12972
3059,5937
1725,14013
767,14015
1015,13496
6049,2849
5590,13497
5326,14015
676,12245
14757,13497
4181,13669
1390,12647
825,12245
2596,13666
12287,14806
2998,13496
14750,13729
7898,13666
12618,12245
1079,2849
6318,14013
5386,13726
373,12972
3428,14013
826,12245
6203,13496
694,12245
5906,13496
2531,12647
538,14018
5873,13496
1608,5937
5521,13666
2864,2849
5956,13496
847,12647
14750,14807
12311,5937
14750,14806
12440,13725
3611,14015
12440,13722
1316,12972
12311,14658
738,12972
1079,13666
12440,13729
754,14013
1079,13669
2896,13666
5511,14013
1426,12647
5412,14013
5869,12647
6056,14017
1492,13677
5693,13496
6082,13726
6361,12245
3232,14013
14012,13666
6238,14013
2803,13496
2159,13496
487,5937
210,14015
900,5937
4086,13666
601,12647
6024,14013
5925,13496
6002,13669
5298,12972
12440,14806
900,14658
1150,14588
