colleges_and_universities_1,colleges_and_universities_2
13135,9908
12751,10293
12751,6707
13135,9392
13135,10673
12751,10030
13135,10428
13135,9658
6708,11260
12751,10038
12751,10806
12751,11076
12751,9280
12751,6720
12751,6718
12751,6732
12751,6728
13135,10441
13135,11206
12751,6727
13135,10695
12751,6740
12751,11602
12751,11344
13135,11216
13135,10447
12751,6749
13135,10202
12751,6747
12751,6742
12751,6743
13135,10469
12751,6754
12751,10850
12751,6755
12751,10851
13135,12000
12751,6752
13135,10977
12751,9825
12751,6764
13135,12008
12751,6761
13135,9449
13135,12006
12751,6772
13135,9458
12751,6771
12751,6768
12751,6769
13135,6653
13135,10490
12751,10104
13135,12023
13135,11255
12751,6788
13135,10244
12751,9346
13135,12034
12751,6787
13135,10752
12751,6785
12751,6782
12751,10366
6708,6727
13135,3340
13135,10763
12751,11147
13135,6665
6708,11089
12751,10889
6708,11344
13135,11014
13135,10247
12751,6791
13135,11284
13135,6675
13135,10771
13135,10512
12751,11408
13135,9488
12751,9372
12751,9878
13135,11043
6708,6761
13135,9773
6708,6764
12751,10409
13135,6697
12751,10676
13135,10037
13135,10034
12751,9395
12751,9392
13135,10030
12751,9391
12751,10428
13135,6715
6708,10881
13135,10820
13135,6722
13135,6732
13135,11341
13135,10314
12751,11206
12751,10695
13135,10325
13135,6738
13135,11602
13135,11344
13135,6748
13135,6749
12751,10198
13135,11108
13135,6755
13135,6752
12751,9696
12751,10977
13135,6764
12751,9965
12751,12011
13135,10601
13135,6758
13135,6772
12751,10740
13135,11122
12751,9456
13135,6766
13135,10862
12751,10735
13135,9583
13135,10364
13135,6780
13135,6778
13135,10104
13135,9592
13135,6788
12751,9989
13135,6789
12751,12034
12751,6657
13135,6782
13135,10366
12751,3340
6708,11468
12751,6665
13135,10889
13135,6790
13135,6791
13135,9618
12751,10512
12751,6682
13135,10139
12751,9499
12751,6680
13135,9878
12751,6692
12751,11563
12751,9768
13135,9640
12751,10023
13135,10663
