combatants_1,combatants_2
13573,170
11819,13583
84,6676
13576,75
35,6
13572,195
6705,84
13641,119
84,6684
13577,50
13577,51
97,141
13574,141
13575,119
117,11819
11487,13648
194,9434
6705,111
11487,13655
84,6705
194,11487
6705,109
13605,11498
13575,141
9213,194
6705,119
13629,6655
13602,13634
35,41
13576,118
97,170
13594,11844
13644,51
13574,187
35,50
35,51
35,52
13575,150
13576,119
13604,13588
35,61
13606,11487
13576,141
13630,6655
9286,10257
13576,150
13577,119
13577,117
35,78
11819,13652
13641,186
11361,11487
13575,195
13604,13628
13577,141
170,12
13598,11778
170,10257
13644,119
35,108
195,13583
13627,6786
170,23
35,118
193,13652
13577,155
194,13624
13576,195
194,13628
13582,10257
13605,13640
13644,141
170,45
13608,11498
155,6655
89,6655
13581,59
23,6655
170,50
170,51
195,13613
35,141
170,54
194,13648
13646,97
13594,11950
35,149
170,61
194,13655
13606,13634
11361,13598
13577,195
11361,13595
13577,193
13607,13613
170,75
13606,13642
90,6655
13580,108
13580,117
170,89
13577,12506
13581,92
170,97
11361,13628
11361,13624
41,6
13582,84
170,108
13580,141
170,111
13582,92
13607,13651
170,117
13580,150
170,118
170,119
11361,13655
13611,11487
13596,11950
11361,13648
170,126
170,127
13569,6654
13569,6655
13580,170
41,35
108,6
170,132
6777,119
13608,13634
6777,118
155,6744
11361,13658
89,6744
9286,170
108,12
23,6744
170,141
13611,11498
13581,141
13646,187
132,13613
41,50
41,51
108,23
13601,11819
170,150
13569,6676
170,155
41,61
108,35
13583,108
13569,6684
13580,195
108,41
155,6777
6777,155
13583,117
13582,141
41,78
108,50
108,51
108,52
13609,13652
89,6786
108,54
41,84
13587,8
170,186
108,61
170,190
13569,6705
13604,11778
13583,141
170,195
13584,108
13582,170
13587,12
13637,6655
109,41
108,75
13609,11631
108,78
41,108
41,109
41,111
132,11631
13584,119
13583,150
108,89
41,119
11498,13598
13619,9286
13648,194
13584,141
13583,170
13614,11498
13611,13634
13569,6744
13610,11631
108,111
13611,13642
177,22
13587,51
109,84
177,24
13619,11361
13568,10891
108,117
13582,12506
108,118
193,11819
13587,61
13587,59
13583,195
108,126
108,127
108,132
111,41
13127,12
13605,11819
13614,13588
13652,119
108,141
109,111
13652,118
111,51
111,54
13638,6706
109,119
108,150
13612,13654
111,61
108,155
13584,195
13127,24
13584,193
13589,39
13127,23
13614,13598
13587,108
111,75
108,170
13624,9213
13127,45
13587,119
11631,13652
111,84
11361,11778
13127,52
13614,13628
195,11819
13587,126
13127,51
111,89
13570,10891
13584,12506
45,89
13652,155
108,186
13641,6655
13127,61
13614,13634
13127,59
108,190
176,133
108,195
13614,13642
13587,141
111,108
6676,11631
111,109
13591,27
13614,13648
13571,6786
111,117
13127,84
13652,193
178,90
111,119
45,117
45,118
45,119
6705,6654
13589,92
6654,41
13127,92
111,126
111,127
13127,89
111,132
13586,194
45,132
6655,23
13587,170
13658,10257
111,141
13127,109
13652,12506
45,141
6705,6676
13127,117
13587,193
13590,97
13619,11487
13127,111
6705,6684
194,11920
45,155
13577,6654
6654,84
50,6
13127,118
6655,51
6655,50
13127,132
13573,6786
6786,89
6655,54
6655,61
111,170
45,170
13127,127
13127,141
13646,12721
141,13583
50,23
177,187
13593,34
111,186
13624,11361
13587,12506
6655,75
111,190
6654,111
13577,6684
13644,6655
50,35
6654,109
51,6
177,198
50,41
6655,89
6654,119
51,12
6655,90
13127,170
50,51
117,23
13628,9213
50,54
51,23
51,24
13589,194
13655,194
50,61
6655,108
6786,141
13591,141
51,35
6655,111
13593,77
10257,9286
6655,117
13575,6777
13644,6684
51,41
117,45
13593,84
50,75
141,13639
6655,118
50,78
13127,190
117,50
117,51
13590,187
13619,13624
51,50
117,54
118,23
6655,127
51,52
6655,126
51,54
6655,132
50,89
117,61
51,61
6655,141
118,35
13593,110
13577,6750
52,35
13593,111
13622,11498
6655,149
10257,11361
117,75
13593,118
13618,11631
118,45
51,75
50,108
51,78
13576,6786
118,50
6655,155
118,51
118,52
11778,9286
52,51
118,54
141,11631
50,117
50,118
117,89
51,89
118,61
13591,195
13628,9286
6655,170
119,41
50,132
118,75
170,6655
13577,6777
119,45
13658,170
6655,178
117,108
51,108
117,111
13577,6786
50,141
51,111
186,23
6655,186
13628,11361
54,23
117,118
6655,190
117,119
51,117
51,118
118,89
6777,6655
11778,11361
13596,59
13644,6777
50,155
117,126
117,127
51,126
51,127
13624,11487
117,132
13598,10257
51,132
118,108
51,138
117,141
52,108
50,170
186,50
186,51
6684,13652
51,141
187,22
54,50
186,54
54,51
119,84
187,24
118,117
13582,6676
117,150
118,119
52,118
51,149
119,89
186,61
117,155
6777,6684
13658,12506
54,61
50,186
51,155
13598,39
50,190
118,132
186,75
13622,13642
54,75
117,170
119,109
6684,11631
51,170
118,141
13645,10891
119,111
52,141
12565,13647
119,117
13622,13659
186,89
119,118
54,89
117,186
118,155
51,186
12593,6655
117,190
51,190
119,132
13594,194
170,6744
117,195
13580,6786
51,195
186,108
118,170
41,6654
186,111
54,108
119,141
54,111
186,117
186,118
54,117
54,118
13600,35
13624,13628
13600,34
119,155
186,126
118,186
186,127
13600,45
13596,170
54,126
118,190
13651,6654
54,127
186,132
41,6676
13597,135
54,132
13600,51
41,6684
119,170
186,141
108,6655
13597,141
13600,61
54,141
190,23
13623,11631
13624,13648
13596,194
13628,11487
186,155
12593,6706
54,155
13624,13655
13600,78
41,6705
13652,6655
10257,13598
9434,194
186,170
109,6654
54,170
190,50
13619,11778
190,51
13582,10891
190,54
13653,12784
150,13583
13601,61
13600,89
13600,90
141,11819
13602,39
190,61
54,186
186,190
109,6676
54,190
10257,13628
13626,13637
13600,108
13598,170
13127,12721
190,75
13652,6684
126,12
13600,117
109,6684
187,177
11778,13598
13590,12721
190,89
13600,132
13628,13598
109,6705
13600,141
13601,108
61,6
13600,140
187,198
108,6744
190,108
10257,13658
111,6654
13600,150
111,6655
190,111
13584,6786
126,51
190,117
190,118
126,54
13628,13624
61,23
13602,92
11778,13628
126,61
190,126
190,127
13581,10993
111,6676
61,35
190,132
13601,141
13127,12784
13600,170
61,41
126,75
111,6684
178,6655
190,141
13627,11631
13628,13648
13600,178
127,51
61,50
61,51
127,54
13600,190
13628,13658
13628,13655
61,54
126,89
11778,13658
84,11631
190,155
127,61
13652,6777
