companies_1,companies_2
13818,13055
13817,13081
12517,13445
13817,13093
13817,13091
13790,6757
13817,13102
13767,3389
12762,13035
13818,13077
13818,13074
13848,12156
13818,13081
13767,3413
13818,13093
13818,13091
13821,12999
13845,13277
13821,13011
13822,12977
13818,13102
13828,1528
13817,13142
13818,13110
12517,13503
13827,12826
13823,12951
13818,13119
13848,12187
13818,13118
13841,13447
13823,12976
13817,12151
13817,12148
13818,13142
13824,6807
13817,13169
13817,12154
13817,12152
13829,12819
13817,12164
13817,13186
13817,12160
13734,12700
13842,13448
13806,8417
12396,12192
13817,9098
13823,13006
13734,12693
13817,12169
13818,12151
13818,12152
13817,13207
13817,13204
13817,12178
12809,12706
13818,12148
13818,13169
13817,13214
13817,12190
13817,12188
13851,12156
12396,13230
13818,12154
13817,12185
13822,13065
13823,13035
13767,3507
13818,13186
13828,12887
13822,3855
13822,13072
13818,12169
13818,9098
13818,13204
13825,12984
13818,12178
13818,13214
13818,12190
13824,13026
13795,6757
13818,12185
13817,13254
13830,12852
13789,13096
13767,12755
13823,13065
1521,13503
13824,13045
13789,13107
13767,12759
13822,13124
13829,6763
13830,12871
13818,13254
13831,12851
13824,13065
13825,13035
13819,12194
13817,13295
13760,13011
13818,13267
13822,13156
13767,12806
13793,13037
13832,12852
13821,12166
13818,13295
13824,13109
13824,13108
13817,13322
13822,13175
13824,13114
13834,12816
13822,13193
13817,13346
13818,13325
13854,13234
13789,12182
12517,12703
13790,13176
13827,13051
13824,13156
13818,13346
13789,13234
13789,13235
13824,12147
13664,3793
12809,6757
13824,12156
13767,3678
13064,12159
13824,13176
13822,13238
13828,13065
13824,7045
13817,13407
13789,13251
13818,13374
13817,13401
13840,13721
13817,13411
13767,12913
13824,12170
13767,12924
12517,12759
13823,13230
13789,13274
13817,13430
13822,13276
13834,12901
13823,13238
13818,13407
13817,13434
13789,13276
13790,4029
13818,13401
13817,13445
13818,13411
13817,13443
13825,12183
13834,12926
13856,13263
13767,3735
13823,13276
13824,4029
13297,12172
13818,13430
13834,12943
13818,13434
13857,13263
13822,13321
13818,13443
13822,13320
12517,13836
13767,6844
13767,6843
13835,12925
12809,12984
13822,13326
13842,12706
13824,13277
13767,12995
13822,13334
12517,13853
1521,3507
12762,13448
13823,13320
13767,3802
13830,13111
13824,13296
13821,13389
13767,13015
13835,12969
13825,13277
13806,12840
13834,12994
13855,13380
13828,12165
12809,13035
13064,13327
12517,12895
13823,13376
13829,12179
12517,12913
13834,13044
13767,3855
12529,8441
13822,13426
13828,13238
13828,13235
13767,6949
13834,13061
13845,12717
13822,13448
13830,13219
13767,6981
13831,12163
13828,13276
13842,12856
12517,12964
13822,4269
13822,13499
13824,13445
13806,12977
13767,12136
13842,12884
13822,13501
13846,12768
13789,13508
13842,6757
13830,13270
12517,13026
13767,7045
13832,13219
13767,7042
13767,12161
13767,12173
13767,12171
13767,7058
13817,13699
13842,12922
13840,12984
13767,12189
13817,12685
13824,3250
12517,13045
13848,12757
13824,13499
13767,7070
13845,12858
13846,12826
13767,7081
13817,12696
13817,12711
13832,13270
13818,13699
13817,12719
13818,12685
13842,12965
13817,12727
13818,12696
13840,13035
13829,13375
13817,12720
13842,12984
12396,12761
13835,12184
13824,8427
13844,12925
12517,13114
13818,12719
12517,13108
13818,12727
13830,13380
13817,12759
13845,12911
13819,12693
13817,12753
13795,13448
13819,12700
13806,13132
13842,13035
13817,12798
13817,13826
13817,13838
13817,13839
13817,12811
13817,13833
13824,3389
13832,13380
13817,12821
13834,13318
13817,6674
13767,4129
13767,4126
13817,12831
13818,12798
13840,13140
13817,13850
12517,7045
13817,13849
13817,12825
13817,12838
13767,3122
13817,13859
13818,13826
13818,13839
13767,13373
13767,3131
13818,12811
13818,13833
13767,3141
13818,12821
13817,12853
13818,6674
13818,12831
13817,12863
12396,12878
13818,13849
13818,12825
13817,12856
13817,12870
12474,8421
13817,12865
13789,12717
13822,11708
13818,12863
13817,12891
13842,13140
13767,13414
13818,12870
13823,12720
13822,12759
13767,4223
13817,12922
13821,13820
13824,12703
13822,12778
13842,13177
13821,13837
13818,12906
13840,13259
13824,11708
13821,13847
13789,12788
13834,13449
13821,13852
13767,3250
12762,6757
13825,12717
13842,12188
13824,12757
13767,13501
12517,13334
13789,13850
13767,13506
13767,13507
13767,4291
13817,12978
13767,13504
13767,13503
13817,12977
13817,12989
13822,1568
13841,13276
13767,3282
13789,12837
13828,3447
13064,12795
13767,3290
13842,13254
13843,12194
13767,13540
13767,13539
13842,13259
13767,8429
13767,3306
13818,12989
13767,13544
13767,13545
13767,8425
13767,13542
13789,12872
13858,12782
13767,8445
13817,13035
13822,12878
13842,13295
13824,13853
13819,12992
13817,13055
13822,12895
13767,8457
13795,12706
13824,1568
13825,13839
13817,13063
13767,8473
13827,12768
13789,12922
13825,12831
13817,13077
13817,13074
13829,12701
