company_1,company_2
13686,13051
13687,13020
13693,10787
7694,10382
6774,10230
13679,13264
3307,13263
13685,13079
13715,12146
13679,13263
13679,13276
13679,13274
13511,51
3513,13026
13691,12901
3370,3125
7744,12941
13679,13270
13686,13053
3172,3122
5622,7042
13693,6707
13686,13065
13691,12911
13681,13219
13689,12969
8191,13425
13714,4013
5722,12146
13693,6709
13687,13053
13687,13051
13681,13234
13688,13017
13679,13296
13511,10310
13693,6730
13693,6728
13692,12901
13693,6727
13686,13086
13693,6738
5085,9391
13682,13221
13692,12911
7984,11680
3906,13175
13681,13251
1470,12915
13682,11170
13531,1528
7897,51
7963,51
13679,13320
13679,13318
13693,6755
13511,10346
3721,12779
13680,9204
13685,13140
13686,13109
13679,13327
13691,12969
5222,13358
3832,13445
13691,12965
7746,12941
8191,3249
6990,1568
13693,6771
13511,123
13693,6769
13692,12941
7688,12702
13693,6764
7880,6748
13691,12984
13693,10874
13686,13140
13693,6776
13687,13107
3255,6771
13688,13071
13693,6773
13531,1568
13511,10380
13693,6787
13693,6785
13689,13051
13679,13358
7681,6789
1055,13540
13035,6710
13688,13092
13679,3131
13693,6788
13679,13380
1505,3697
3906,13233
14681,13035
6869,3306
7998,3123
13679,13374
13679,13375
13511,4269
3381,13140
13511,170
13686,13177
8191,3295
13703,10603
13680,11316
13691,13020
13686,13176
13688,13112
13685,13219
13692,13002
6153,13233
13688,13124
13680,9276
3380,7042
5085,9489
13691,13035
5483,13540
13689,13111
13513,132
13679,13418
1051,13716
13684,11216
4312,12976
13697,6712
13688,13136
13522,12151
8197,9288
13522,12149
13697,6724
13679,13426
13691,13053
13687,13177
13682,9234
13511,10452
13697,12878
13686,13219
533,13404
13691,13065
13685,13251
13688,13153
3381,7042
6255,12161
13693,10960
3515,13133
3186,13092
13522,12166
13522,12163
13686,13235
13511,10469
13689,13140
7835,51
13686,13234
13679,13448
8149,6707
13679,13449
1212,10808
6646,51
13685,13274
13522,12183
13522,12184
13691,13086
3190,12984
13522,12182
13522,12179
13685,13270
4026,13695
13686,13238
13686,13251
13522,12192
535,13375
7978,9970
13522,12187
13679,1177
7978,12023
12339,11994
13686,13259
13688,13197
13688,13193
13511,8441
13680,9346
13522,12194
7688,12827
8282,6709
13687,13234
13692,13079
13687,13235
13686,13263
13681,13418
3305,13540
13687,13230
13691,13107
13686,13276
13686,13274
13686,13272
13687,13238
13688,13208
13701,12819
13693,11019
5909,12701
7759,10647
13683,11337
8219,12783
952,12777
821,10698
394,13698
6940,3290
5631,13148
13686,13296
856,13716
13692,13107
13682,13418
13685,13339
13700,6727
12467,12183
13700,6728
13707,10603
7972,10221
3976,11216
8191,3435
13684,11337
13700,6745
4144,12161
6182,10423
13703,6650
8149,6788
13686,13320
13701,12852
13686,13318
13689,13238
7887,12870
4216,11984
13686,13327
3325,12984
8282,6771
13692,13140
13701,12871
5722,10366
13700,6768
13689,13251
13700,6764
4319,6769
13688,13292
13687,13320
13689,13259
7688,12925
13700,6771
3721,13027
8273,13230
13719,51
8087,6709
13687,13327
13686,13358
856,11735
11853,6707
13687,13339
3927,12796
8191,11680
4319,6787
5894,13263
13709,12664
13686,13375
13709,12662
13701,12911
13511,12654
13691,13219
13685,13418
1468,13263
3728,12835
13690,13270
13703,6720
13687,13358
13522,51
13703,6728
1261,9459
4036,13544
13687,13380
13511,12693
13511,4498
13691,13264
13511,12700
13703,6748
13511,12701
6321,8258
13685,13448
13691,13263
13511,12706
13686,13426
13689,13328
8326,13695
13691,13276
13691,13274
13511,12710
3927,12859
13511,10676
13703,6768
13692,13251
13693,11172
13511,12719
8265,9459
13691,13296
8331,11518
3927,6727
13703,6776
13686,13448
13688,13383
6794,10014
6719,51
13692,13274
13705,6727
8156,6709
13687,13426
6783,10359
13679,3435
13692,13270
299,12715
13693,11198
13690,13339
12841,13035
1298,10423
13691,13320
13688,13413
13705,12887
13511,12757
7628,6707
3997,12779
13709,10720
13679,13699
13687,13448
3450,3122
13511,12768
7759,6764
7964,10647
13511,6634
