continent_1,continent_2
151,9207
85,9207
6702,9137
170,9137
137,9137
143,9207
104,9137
152,9187
11,9207
86,9187
6694,9137
117,8484
13532,9137
20,9187
51,8484
18,8484
3,9207
6734,9187
78,9187
94,9207
43,8484
169,9187
136,9187
6645,9137
179,9137
185,9207
134,8484
80,9137
14,9137
29,9187
177,9207
144,9207
6668,9207
178,9187
37,9207
161,9207
6679,9137
6685,9207
89,9137
62,9207
23,9137
71,9187
168,8484
38,9187
6652,9207
120,9207
54,9207
145,9207
6669,9207
112,9207
187,9187
79,9207
13,9207
22,9187
6636,9207
32,9137
47,9187
156,9137
6647,9137
138,9187
30,9207
103,8484
88,9207
6678,9207
6705,9137
97,9187
146,9207
6664,9137
186,8484
56,9187
132,9137
21,8484
33,9137
114,9187
6689,9137
190,9137
196,9207
188,9207
122,9207
116,9137
5,8484
17,9137
129,8484
6686,8484
141,9137
147,9207
90,9187
6671,9207
154,8484
24,9187
121,8484
172,9207
67,9137
73,9207
82,9187
197,9207
164,9207
98,9207
92,9137
65,9207
6672,9187
59,9137
107,9187
6688,9207
41,9187
123,9207
198,9187
84,9137
57,9207
66,9187
130,8484
181,9207
109,9137
91,9187
6639,9207
74,9207
126,9137
6716,9137
157,9207
106,8484
118,9137
40,8484
52,9137
166,9187
133,9187
6632,9187
131,8484
6642,9137
83,9207
6700,9137
44,9137
102,9137
183,9187
42,9207
127,9137
49,8484
6684,9137
175,9187
6717,9137
158,9207
6643,9137
6676,9137
26,9207
35,9187
99,8484
111,9137
192,9187
45,9137
12,9137
27,9187
6683,9187
142,9207
58,8484
11144,9137
6681,8484
149,8484
128,9137
95,9137
68,9207
176,9187
110,9187
77,9187
159,9207
6725,9187
6644,9137
