costume_design_by_1,costume_design_by_2
2984,8424
5478,8424
6177,3649
5247,8424
6166,4007
2258,8419
5363,8419
1933,3649
2093,8419
6029,3649
1993,8453
2675,8305
5803,4007
1970,4049
2803,8437
2168,8153
2787,8424
1719,3649
2715,4007
1701,8305
2254,8062
616,8153
2925,3649
6030,3649
2514,8199
5644,8453
3037,11959
2808,8305
2582,4049
2762,8199
2952,8453
2485,8085
3074,3649
1698,8419
3056,8305
2821,8424
2891,8305
2640,6869
1986,8199
3010,8199
2368,4040
2689,8424
5738,4017
5882,3649
2050,7755
2049,8305
5266,8424
2067,7755
1628,8062
5712,8437
2910,3649
5977,8418
3036,8453
2303,4040
1864,8437
5365,8453
2205,4017
2577,3239
2041,8085
2825,3239
2773,8437
1772,8237
2493,8418
2669,8085
1524,7742
5587,3649
2328,8419
2515,3649
1782,8453
3029,8199
1783,8424
2989,8415
6302,4017
2922,8453
3049,4007
2602,4040
2758,8419
2654,8062
2147,8419
1594,8153
2048,8418
1844,8085
6094,8437
1948,8453
2270,8199
2873,8453
1751,8424
5583,8415
2411,8453
5686,8305
2296,8437
1884,8419
5485,6869
2572,8085
1721,3239
5868,4225
1570,8437
1553,8453
1620,8424
2138,8237
1708,3649
2268,8305
6184,3649
1868,8419
5738,3649
5352,8453
2826,8424
2455,8153
2611,8437
1895,4017
2232,8419
2457,4007
1648,4006
2844,6869
1780,4017
5337,8437
2046,8062
2133,8437
2084,8419
1764,4006
5701,8424
2827,8437
2088,8305
5440,8334
1654,8453
2402,8305
1573,6869
2640,4007
2953,8133
2216,8453
2118,8424
5801,8424
1545,7755
6302,3650
6302,3649
5695,4040
1886,8453
2977,8424
2233,8453
2745,8453
1755,8424
2003,8419
2145,4017
3873,8305
3032,7755
6192,4007
2917,3650
2919,8199
5890,3649
2886,8199
5653,8437
2681,8415
2377,4017
2201,8453
5274,8424
2730,8437
1859,8305
2647,8453
1656,8453
3002,8199
1527,3239
5720,8424
2870,8199
2313,8062
2553,8305
2599,8415
2219,8419
2186,8424
2120,8424
2086,8453
6044,8133
2010,3649
6557,4006
2780,8453
2458,8199
2805,8199
2192,3649
1944,7755
2031,8133
2607,8199
2215,8062
2318,8453
2374,3649
2924,4007
2551,6869
1988,8453
2140,3239
1630,8305
1776,8388
2140,1201
5533,4049
2798,8453
2423,8305
1957,8419
1990,8419
2628,4006
3051,8305
2788,7755
2359,3649
1915,8199
2843,4006
2112,8237
2651,8424
2981,8453
2692,8199
2626,8199
1605,4017
5878,3650
1975,8424
2096,3649
2900,8424
2806,7755
1843,8424
2020,8062
2579,4049
3016,8424
2382,4017
5295,8437
5906,8437
2818,8424
1827,8424
2108,8419
366,8153
1574,8085
1778,8418
1806,8062
2013,8305
5709,8419
1646,8419
2334,8085
1919,8153
1690,8085
5506,8062
