countries_1,countries_2
2,1
15,112
15,114
2,8
48,118
15,120
48,121
15,122
15,123
48,127
2,17
2,18
15,128
2,20
15,131
2,23
2,24
2,25
15,135
15,136
2,31
15,140
15,144
15,146
2,37
15,147
2,41
2,43
2,44
48,154
2,45
15,160
15,161
2,52
2,53
15,162
2,54
15,164
2,55
2,56
2,59
15,169
2,61
15,171
2,63
2,64
2,65
4,3
2,66
4,5
2,69
2,70
2,72
4,11
4,12
15,183
15,185
15,186
4,17
2,81
4,20
2,82
4,21
2,84
4,22
4,23
2,86
15,196
4,26
2,89
4,28
4,29
2,92
4,31
4,32
4,33
2,95
4,34
4,35
2,97
2,99
4,37
2,100
2,101
2,102
2,103
4,41
4,44
4,45
2,107
2,108
2,110
4,49
2,111
4,50
2,113
4,52
2,115
2,117
4,56
4,57
4,58
4,59
4,60
4,61
4,62
4,65
4,66
2,129
2,130
2,132
4,71
2,133
2,134
4,74
4,76
2,139
4,77
4,78
2,141
4,81
2,144
4,82
2,145
2,148
4,87
2,154
4,92
2,156
4,95
7,3
4,96
7,5
4,98
4,99
7,6
4,100
4,102
7,11
4,104
7,13
2,168
4,106
4,107
7,14
4,109
7,16
7,17
4,110
7,19
2,174
2,176
7,21
7,22
4,116
2,179
7,24
4,119
7,27
7,28
4,121
4,123
7,30
4,124
7,33
2,189
7,35
7,36
4,131
4,132
2,194
4,133
7,42
4,136
4,137
7,46
4,140
7,47
4,141
4,142
7,50
7,51
4,144
4,145
7,54
4,149
7,56
7,57
4,152
4,153
7,62
7,67
7,68
4,162
7,73
7,74
4,167
7,76
7,77
4,170
7,78
4,171
7,79
7,80
7,82
4,175
7,83
4,177
4,178
7,85
4,179
7,87
7,88
7,91
7,94
4,187
7,96
4,190
7,98
4,192
10,8
10,9
7,105
4,198
7,109
10,18
7,112
10,20
7,114
7,116
10,23
10,25
7,120
7,121
7,122
7,123
7,124
10,31
7,126
7,128
10,37
10,38
7,131
10,39
10,41
10,43
10,44
10,45
7,142
7,143
7,144
10,52
10,53
7,146
7,147
10,55
7,149
7,151
10,61
7,155
10,63
7,157
10,64
10,65
7,158
7,159
10,66
10,69
7,162
10,70
10,72
7,165
7,166
7,167
7,169
7,171
7,172
7,173
10,81
7,175
10,86
7,180
7,181
7,182
10,89
10,92
7,185
10,93
10,95
7,188
10,99
10,101
10,102
10,103
7,197
10,107
10,108
10,110
10,113
10,115
10,117
10,119
10,125
10,129
10,130
10,132
10,134
10,137
10,138
10,139
10,141
10,145
10,148
10,150
10,154
15,3
15,5
10,163
15,11
48,13
15,13
15,14
10,174
15,22
15,26
15,28
10,184
15,32
15,33
15,35
15,36
10,191
10,193
10,194
15,40
10,195
15,42
48,45
15,46
15,47
15,50
15,51
48,53
48,54
15,54
48,56
15,58
15,60
15,62
48,63
15,68
15,71
15,73
15,74
15,75
15,76
15,77
15,78
15,79
15,85
15,87
15,88
15,90
15,91
15,96
15,98
48,105
15,104
15,106
