country_1,country_2
1550,141
10005,184
7154,6642
9479,108
1553,51
2610,51
7151,6734
7154,6647
7153,6684
2082,51
7155,6636
1550,170
7153,6700
2611,51
7154,6676
7155,6645
7155,6644
7155,6642
10536,135
7155,6647
2084,12
7154,6684
7152,6744
5254,51
10539,51
2083,51
7154,6700
11064,176
7154,6702
10537,141
1555,51
7155,6676
7152,6767
7155,6679
7155,6684
7153,6746
7155,6683
7155,6689
2610,127
2084,51
11069,51
7155,6694
7155,6700
7155,6705
2613,51
7155,6702
10538,141
7157,6644
11598,51
7098,8479
2612,90
7157,6655
7155,6717
2085,51
2610,170
2611,141
7156,6700
7158,6644
2614,51
7155,6734
11068,127
1555,117
10542,51
7155,6744
7158,6655
5254,141
10538,184
7157,6684
2086,51
9481,179
7157,6700
2615,51
7159,6644
1558,51
10543,51
9486,51
2931,6644
2931,6647
7158,6684
5254,170
2087,51
2931,6655
7158,6700
1556,141
7159,6676
10544,51
11597,176
10541,141
2086,110
1555,186
2931,6684
1510,1585
2088,51
7159,6700
11073,51
5785,141
7157,6767
7161,6642
2617,51
5788,51
2086,127
2931,6700
1560,51
7161,6647
2615,117
7161,6645
7161,6644
2086,141
10541,184
1558,127
2089,51
7162,6644
7162,6643
7162,6642
2618,51
504,51
7161,6679
7162,6647
2404,6689
7161,6676
7162,6645
7103,8479
2086,170
5261,51
7162,6655
9489,51
7161,6684
2090,51
7161,6694
7162,6668
7162,6666
7162,6672
2616,141
7161,6700
2619,51
7162,6676
10545,108
7163,6643
2931,6767
7162,6679
7162,6684
6316,141
7162,6683
7162,6681
9490,51
7162,6685
2091,51
7162,6689
7162,6694
7162,6700
2616,170
14374,12506
7162,6702
2620,51
1563,51
7163,6676
7164,6644
11605,51
7162,6705
2616,179
7162,6716
11075,99
7162,6717
2092,51
7165,6632
7165,6639
7165,6636
7165,6643
7165,6642
2621,51
5792,51
7162,6734
3678,51
1564,51
7165,6647
7165,6645
7165,6644
7106,8479
7164,6679
7165,6655
7164,6684
7165,6652
9492,51
7164,6689
2093,51
2091,117
7165,6666
7165,6664
7165,6671
7165,6669
7164,6700
7165,6668
1562,141
7166,6643
1565,51
2622,51
7165,6672
7165,6679
7165,6678
7166,6647
1565,54
7165,6676
7166,6645
9493,51
7165,6683
7165,6681
7165,6684
7165,6691
7165,6689
2094,51
7165,6688
7165,6694
10020,108
2621,108
7165,6702
5948,11660
2620,141
7165,6700
2623,51
7166,6676
7167,6644
7165,6705
7166,6679
7167,6647
