country_of_origin_1,country_of_origin_2
1107,51
595,51
461,110
1008,51
496,51
397,51
331,51
843,51
298,51
265,51
232,51
711,51
199,51
678,51
645,51
513,51
480,51
315,51
794,51
761,51
12617,141
563,51
464,51
431,51
841,141
1389,51
877,51
580,51
547,51
12621,35
448,51
415,51
894,51
349,51
1340,51
250,51
1241,51
217,51
12604,51
1073,141
630,51
1588,51
12618,141
498,51
3983,51
399,51
366,51
300,51
779,51
234,51
331,117
201,51
1159,51
1504,110
958,141
841,184
482,51
12605,51
383,51
317,51
695,110
763,51
2233,51
697,51
331,141
433,51
879,51
334,51
6544,51
1325,51
681,51
1094,51
582,51
417,51
351,51
285,51
252,51
1076,110
599,51
1012,51
12623,51
401,51
368,51
2416,51
847,51
798,35
302,51
269,51
236,51
748,51
203,51
331,179
415,141
963,51
930,51
381,176
319,51
765,51
383,117
666,51
531,141
534,51
366,141
846,110
267,141
12622,110
433,117
782,51
419,51
353,51
1344,51
287,51
254,51
221,51
700,51
467,110
568,51
433,141
841,8488
370,51
882,51
1259,141
304,51
271,51
12623,110
2765,51
648,141
238,51
205,51
651,51
1031,51
453,51
387,51
1890,51
219,141
800,51
12609,51
1758,51
501,110
536,51
401,141
336,110
2416,141
437,51
949,51
784,51
616,141
685,51
1063,110
1460,95
385,141
933,51
421,51
355,51
322,51
289,51
256,51
504,51
471,51
405,51
372,51
339,51
851,51
273,51
12627,51
240,51
207,51
719,51
304,117
554,51
1000,51
455,51
552,117
389,51
13982,51
1347,51
1180,108
1826,51
1314,51
736,51
224,51
1182,51
1149,51
604,51
538,51
951,51
439,51
1364,51
786,51
720,51
784,117
654,51
14676,51
621,51
522,51
489,51
968,51
1992,51
357,51
869,51
836,51
324,51
291,51
258,51
1147,141
636,110
602,141
1494,141
506,51
818,110
919,51
6518,51
275,51
242,51
209,51
721,51
688,51
14838,184
359,12
1101,51
719,117
556,51
834,141
2439,51
424,51
1927,51
804,51
226,51
1217,51
1564,51
474,51
441,51
408,51
538,117
309,51
788,51
722,51
1168,51
656,51
557,51
524,51
491,51
12614,51
802,141
359,51
326,51
293,51
772,51
260,51
1529,141
12631,51
1020,51
1433,51
754,110
855,51
277,51
12628,141
244,51
723,51
211,51
591,51
525,51
12599,35
459,51
1417,51
1896,51
806,51
228,51
506,141
375,110
377,51
311,51
12597,110
1529,184
1134,141
2227,51
2670,141
970,110
457,141
427,51
1317,110
293,110
361,51
295,51
2888,51
262,51
2723,51
573,141
543,51
954,110
277,110
890,51
345,51
12598,110
279,51
246,51
758,51
1169,110
725,51
213,51
1105,51
359,141
395,51
1134,184
329,51
1799,51
230,51
1155,51
643,51
544,51
410,110
379,51
313,51
690,141
693,51
627,51
2227,117
561,51
939,110
1486,51
429,51
1123,51
989,110
6621,108
443,141
1503,51
1371,51
347,51
281,51
248,51
215,51
661,51
