county_1,county_2
9719,9563
10248,11086
11698,11698
8525,10222
10098,10099
10162,10163
10524,9181
10370,10371
10148,11119
11125,10528
9752,10598
9594,10369
10764,10963
10632,9935
10681,11503
10459,9165
9577,9371
9283,10816
9604,9563
11461,10377
10438,9834
10007,9371
9628,9344
11059,11059
10067,10068
11283,11285
9539,9540
11299,11300
10659,10660
9963,11766
10625,9165
10553,9862
9691,10467
11217,10776
11415,9246
9275,10052
10422,9834
9465,9805
11093,11562
9976,9326
11582,11758
10123,9371
9238,9170
10064,9165
10596,9563
11153,11253
10347,11150
10279,9165
9564,10843
10948,10950
10484,10485
11079,10485
10653,9860
11650,9676
10651,9935
11181,10400
10327,10761
10955,10237
10570,9371
9799,10745
9744,10923
9895,10338
9993,9861
10169,10550
9387,9192
11157,10127
10938,10259
9713,10868
10448,9590
10899,10968
11353,11742
9301,9302
9461,9462
10581,10582
10837,10838
10629,10630
9885,9128
9826,9935
9657,9543
9199,9398
9723,10050
9426,11578
9863,9809
9382,9371
9724,11565
10150,11169
10270,10012
11588,11138
10108,10419
9659,11027
11592,9986
10423,9371
9376,10084
10954,9295
9606,9607
10655,10369
9766,9767
10057,9462
11390,10630
11348,9371
10048,10259
10924,10240
11701,9192
10994,10120
10586,10480
10101,10155
11688,11645
9695,9935
11478,11493
11302,10817
11136,10843
8476,10867
10173,10485
11124,9689
10743,10743
9783,9783
9239,9239
8475,9371
9828,10437
9383,9384
10519,10520
10814,9574
9493,11103
10140,10502
9490,10693
10818,10485
9502,11347
10583,9580
11292,11150
9933,9246
11664,11403
10239,11037
9252,9371
10782,10582
9314,11548
10822,9865
9325,9170
10189,10547
11215,11508
11046,10598
10408,10408
11183,9935
9780,10419
10552,10552
10809,11288
10997,10068
11425,9600
9240,9241
9688,9689
10836,10966
9864,9865
9528,9529
10741,10838
10872,10873
10424,10425
9354,9809
9425,10682
9905,10650
10796,10178
10893,11261
10691,9843
10951,9462
10623,10414
9616,10400
9991,9538
9129,10149
10987,11432
10401,10137
9221,9865
11065,11065
10361,10361
11454,9246
10969,10969
9225,9225
9625,9626
9641,9642
9650,9363
9322,9803
10617,10618
11130,9574
11410,9600
9323,9266
9881,9377
11224,11265
9966,10337
9779,10503
10869,9483
10614,10226
9389,10827
10336,9626
9987,9181
9601,9371
9162,9165
10639,11509
10210,11490
9226,9226
9562,9563
9610,9611
9338,9339
9802,9803
10730,10731
11263,9574
9700,10414
10316,9244
10227,10467
9519,10412
10033,9839
10141,10068
11413,9548
11399,9483
10208,10564
10434,9192
11163,11163
11643,11643
10395,10395
9451,9451
10389,10068
9740,10733
9243,9244
10011,10012
10075,10076
9547,9548
9293,10767
10411,10412
9587,9333
10792,9865
10929,10233
11239,11377
10091,9588
11081,10642
10920,10012
9147,10190
9236,10504
11123,9865
10680,11306
9763,9534
10273,10620
9977,10069
9697,9534
10832,9165
11699,10967
9692,9692
8513,9377
10362,11449
9180,9181
9948,9949
9308,9309
9756,9757
10707,10485
10348,10349
10604,10605
11036,11037
10129,11516
9771,9815
10539,11608
10132,9371
11451,11490
10403,9165
11569,10916
9433,10068
11440,9803
11020,11562
11346,11696
10271,10212
9367,10582
11069,11069
11613,11613
9245,9246
10265,9371
9405,9406
9853,9854
10589,10590
11267,10052
11176,10313
10887,11603
11073,9935
10990,10968
10934,10666
9797,10073
8533,9834
10136,9805
10315,9371
9737,9371
10188,10760
9232,9165
9984,9911
11212,11269
10365,9377
9682,10582
10019,9865
10543,10516
11534,11534
9813,9588
9786,11449
9934,9935
9230,9231
9294,9295
9886,9887
11587,10916
9665,9588
9186,9590
9793,10224
9292,9371
9211,9834
10242,10642
10318,9312
9500,9591
10124,11242
9497,9170
9203,9590
9994,11695
10784,11782
9183,9184
9423,9424
10527,10528
10399,10400
9827,10222
9645,10745
11476,10817
10433,9865
10216,9935
10151,9915
10324,11210
9161,10400
11238,11552
11496,11233
9155,9574
9850,11584
9920,9921
9808,9809
10704,10705
10235,11431
11342,9369
9337,9574
9541,10412
10290,11770
9714,11195
9193,9949
10962,9384
9472,11024
10725,10068
11649,10099
10698,9371
10245,9590
9168,11246
8526,9644
9945,11223
11566,10630
10351,10419
11448,10715
10440,10222
10241,10241
11201,11201
11745,11745
10646,10485
9718,10582
10049,10050
10229,9590
9505,9506
10641,10642
10319,9371
10926,10012
10557,11723
10119,9935
9208,10529
10289,10309
9261,11456
9722,10480
9196,9371
11121,9600
10892,9534
10984,11300
11667,9582
10168,10485
11459,9371
10664,10464
9437,10613
