currency_1,currency_2
11706,12986
9592,12986
2193,12986
79,12986
6157,12986
9328,12986
2986,12986
1929,12986
11178,12986
5893,12986
2722,12986
1665,12986
6686,12986
2458,12986
1401,12986
10650,12986
4311,12892
2194,12986
3251,12986
80,12986
5101,12986
6693,12786
2987,12986
10122,12986
5894,12986
1666,12986
5630,12986
2459,12986
2454,13150
2195,12986
1138,12986
81,12986
9330,12986
2988,12986
8532,13150
874,12986
10916,12986
10382,13150
2724,12986
6688,12986
2460,12986
9595,12986
82,12986
1932,12986
5103,12986
2989,12986
875,12986
9860,12986
10917,12986
8010,12986
1668,12986
2725,12986
6689,12986
11446,12986
5368,12986
9332,12986
2197,12986
11182,12986
83,12986
6161,12986
13296,12986
1933,12986
9861,12986
2726,12986
612,12986
2462,12986
12768,12986
2198,12986
84,12986
5105,12986
1934,12986
2991,12986
9862,12986
3784,12986
10919,12986
1670,12986
2727,12986
9598,12986
6691,12986
2463,12986
4313,12986
2202,12892
85,12986
10127,12986
2992,12986
2728,12986
6692,12986
1671,12986
2464,12986
5635,12986
350,12986
10656,12986
11713,12986
2200,12986
4314,12986
6164,12986
86,12986
11449,12986
5107,12986
2993,12986
10128,12986
2729,12986
6693,12986
13035,12986
9864,12986
3522,12986
2465,12986
11714,12986
5372,12986
9600,12986
2201,12986
11450,12986
87,12986
5108,12986
2994,12986
1937,12986
6958,12986
2730,12986
1673,12986
5637,12986
6694,12986
2466,12986
5373,12986
1145,12986
88,12986
6166,12986
1938,12986
13037,12986
2995,12986
10665,12786
1674,12986
2731,12986
9869,12892
10923,12986
2203,12986
89,12986
10134,12892
4053,12986
10395,12986
2996,12986
5110,12986
6960,12986
1939,12986
2732,12986
5903,12986
10660,12986
2468,12986
10396,12986
3261,12986
90,12986
9339,12986
1940,12986
2997,12986
5904,12986
883,12986
10925,12986
1676,12986
2733,12986
5640,12986
6697,12986
9604,12986
2469,12986
9340,12986
2205,12986
11190,12986
91,12986
5112,12986
10133,12986
2998,12986
9875,12786
5905,12986
1677,12986
620,12986
11719,12986
356,12986
10398,12986
4320,12986
2206,12986
11458,12892
92,12986
5113,12986
1942,12986
2999,12986
5906,12986
2738,12892
1678,12986
2735,12986
1681,12892
11984,12986
10930,12892
10663,12986
1414,12986
3264,12986
5378,12986
2207,12986
1150,12986
11456,12986
93,12986
6171,12986
11192,12986
9871,12986
2736,12986
6700,12986
1679,12986
9607,12986
5643,12986
2472,12986
11721,12986
9343,12986
9602,13150
2208,12986
1936,13227
94,12986
10400,12986
11716,13150
1944,12986
5115,12986
3001,12986
5908,12986
887,12986
10136,12986
1680,12986
5644,12986
6701,12986
11994,12737
3530,12986
5380,12986
9608,12986
2209,12986
95,12986
9344,12986
3002,12986
