currency_used_1,currency_used_2
127,13150
6684,13150
58,12986
6705,13150
6669,12986
46,12986
45,13150
11144,13150
12,13150
6664,13150
108,12737
194,12892
132,13150
96,12986
63,12986
190,13150
153,13150
51,12986
141,12892
6669,13150
9573,12986
105,12986
6669,12892
9,12892
170,13150
137,13150
101,12986
11551,12986
6694,13150
67,13150
176,13227
191,12892
60,12986
63,13150
125,12892
56,12986
92,13150
59,13150
179,13150
6704,12737
40,12986
72,12892
11361,12892
160,12986
6654,12885
64,12892
117,12786
6716,13150
107,13227
184,12892
89,13150
110,12885
11660,12986
115,12737
6700,13150
69,12892
102,13150
165,12737
32,13150
