degree_1,degree_2
12003,11982
10946,11981
10946,11983
10946,11978
6718,11980
6718,11979
10946,11980
6718,11978
10946,11979
6718,11983
6718,11981
10946,11991
6718,11988
10946,11986
10946,11985
10946,11988
6718,11986
6718,11985
12003,11998
6718,11990
10946,11993
6718,11995
10946,11995
6718,11993
6718,11999
10946,12005
6718,11997
10946,12001
6718,12001
12004,11985
6719,11985
12004,11988
6719,11990
6720,11978
6720,11980
6720,11979
6720,11985
378,11979
6720,11988
9627,11980
6720,11987
9627,11991
6720,11993
12006,11978
12006,11980
12006,11979
12006,11985
12006,11987
12006,11983
12006,11993
12006,11990
11214,11978
10157,11979
11214,11980
10157,11978
11214,11979
12007,11979
10157,11985
908,11979
12007,11978
10157,11987
11214,11987
10421,11988
10157,11980
10157,11983
6722,11980
6722,11979
6722,11978
12007,11988
10157,11989
10157,11988
6722,11983
6722,11981
6722,11988
6722,11987
6722,11985
6722,11990
12007,11993
6722,11989
10157,11998
12007,12005
6722,11993
12008,11980
12008,11979
12008,11981
12008,11978
12008,11988
12008,11987
7780,11981
12008,11990
7780,11979
12008,11983
12008,11985
12008,11995
12008,11998
13858,11988
12008,11993
11216,11982
11216,11978
11216,11988
11216,11987
11216,11990
12009,11982
11216,11985
5402,11998
12010,11980
12010,11979
12010,11993
11482,11980
11482,11985
10161,11979
10161,11978
10161,11989
12011,11985
10161,11990
12011,11979
12011,11978
10161,11987
12011,11987
12011,11989
12011,11988
3291,11987
12012,11983
6727,11981
9898,11978
12012,11979
6727,11980
6727,11979
6727,11978
6727,11985
12012,11991
6727,11983
9898,11985
6727,11988
6727,11987
9898,11988
6727,11993
6727,11991
6727,11990
12012,12001
9898,11993
6727,11997
6727,11995
11484,11982
12013,11978
6728,11978
12013,11987
11749,11979
6728,11981
6728,11980
6728,11979
5671,11979
12013,11993
11749,11985
9899,11990
6728,11985
11749,11987
10692,11985
6728,11983
10692,11979
12013,11988
6728,11988
6728,11987
6728,11993
10428,11985
3293,11985
10692,11987
10692,11989
12014,11978
12014,11980
12014,11979
9900,11978
12014,11985
6729,11978
12014,11988
12014,11987
12014,11982
9900,11979
12014,11981
12014,11983
12014,11993
9372,11978
12014,11990
11222,11978
9372,11985
9372,11986
9372,11980
12015,11979
12015,11978
9372,11993
10958,11979
9372,11988
6730,11980
10694,11978
6730,11979
6730,11978
10694,11979
6730,11983
6730,11988
6730,11987
10694,11987
6730,11985
12015,11991
12015,11990
12015,11993
6730,11995
6730,11993
10694,11989
12015,12001
10694,11991
6730,11997
12016,11980
10695,11979
12016,11988
10695,11978
12809,11980
10695,11983
10960,11979
6732,11978
10960,11978
12017,11979
12017,11978
12017,11988
9903,11987
6732,11981
6732,11980
9903,11988
12017,11985
10960,11983
6732,11985
11753,11979
10960,11985
10432,11979
8318,11978
6732,11988
6732,11993
9903,11991
10960,11993
9903,11999
10432,11985
6733,11979
6733,11978
12018,11979
9640,11979
10961,11991
9640,11982
10961,11990
6733,11987
12018,11985
6733,11985
9640,11978
9640,11988
7790,11991
9640,11989
6733,11988
9640,11983
12018,11993
9640,11985
6733,11993
9640,11997
6733,11996
9640,11991
12019,11978
12019,11999
11491,11979
11491,11988
7792,11978
7792,11983
12021,11979
10171,11980
10171,11993
10964,11979
6736,11981
10171,11988
12550,11979
12550,11980
10171,12001
9643,11985
12550,11978
10964,11988
9643,11991
12550,11985
9379,11985
12021,11997
9379,11978
12550,11983
9379,11979
12550,11981
12550,11993
6737,11979
6737,11978
659,11979
9908,11985
9908,11979
6737,11983
12550,11997
6737,11980
6737,11986
6737,11985
6737,11991
9908,11987
10701,11983
10701,11993
6737,11995
10701,11995
6737,11993
6737,11999
11757,12020
6737,11997
12551,11982
12023,11979
8059,11982
12023,11978
12023,11981
12023,11980
8059,11979
6738,11980
12023,11987
6738,11979
6738,11978
12023,11988
12023,11983
12023,11982
12023,11985
12023,11995
6738,11988
9381,11978
6738,11985
9381,11979
12023,11993
6738,11989
10174,11978
11231,11979
9381,11985
11231,11978
10174,11979
6738,11993
12024,11978
9646,11978
12024,11985
10175,11979
10175,11978
11232,11982
926,11979
10175,11987
12025,11982
6740,11978
6740,11982
9647,11978
9647,11979
6740,11980
3569,11979
6740,11979
6740,11985
6740,11983
3569,11982
6740,11990
6740,11988
12025,11998
6740,11987
8061,11996
6740,11993
6740,11998
9912,11979
9912,11980
12026,11979
9912,11978
10176,11985
9912,11988
10176,11991
9912,11985
9119,11993
12026,11997
9119,11998
10176,11999
9912,11993
10441,11978
7006,11979
12027,11983
12027,11979
6742,11980
12027,11978
6742,11979
6742,11978
12027,11980
6742,11983
6742,11981
6742,11988
12027,11987
10706,11978
9119,12022
6742,11987
11234,11993
10706,11980
9649,11978
12027,11988
9649,11979
6742,11985
9649,11988
6742,11990
9649,11990
10706,11985
6742,11995
6742,11993
12028,11978
6742,11998
12028,11983
6743,11981
6743,11979
6743,11978
5950,11985
6743,11983
1458,11979
12028,11988
1458,11982
6743,11993
11236,11978
1194,11979
12029,11979
11236,11986
11236,11985
11236,11979
11236,11981
12029,11985
11236,11991
11236,11993
12029,11983
11236,11995
11236,11997
12029,11997
8330,11979
10973,11979
12030,11979
10180,11985
10180,11980
6745,11979
6745,11978
6745,11983
10973,11983
6745,11980
10973,11993
12030,11993
6745,11985
6745,11988
6745,11993
12030,11997
12031,11980
9124,11997
12032,11980
7011,11985
12032,11978
6747,11981
12032,11987
6747,11979
6747,11978
6747,11985
6747,11983
12032,11985
6747,11982
10447,11978
6747,11988
6747,11987
10447,11980
6747,11993
6747,11990
10447,11987
11240,11979
10447,11988
10447,11985
12033,11981
10447,11995
8333,11993
12033,11983
6748,11978
10447,11993
12033,11979
11240,11985
6748,11982
6748,11981
11240,11998
6748,11980
6748,11979
6748,11985
6748,11983
9391,11978
6748,11990
12033,11996
6748,11989
9391,11980
6748,11988
9655,11988
6748,11987
12033,11993
11769,11985
6748,11993
6748,11991
6748,11998
9655,11995
9391,11988
6748,11995
7013,11979
9391,11985
9655,11993
7013,11983
9391,11995
10977,11980
6749,11979
6749,11978
10977,11979
12034,11979
10977,11978
10977,11989
10977,11988
10977,11990
10977,11985
12034,11985
10977,11987
6749,11985
9392,11979
9392,11980
6749,11989
6749,11988
6749,11995
6749,11993
9392,11978
9392,11988
10185,11979
9392,11985
12035,11979
10185,11985
12035,11981
9392,11993
12035,11993
9393,11980
10450,11981
11507,11979
10450,11980
9393,11978
11507,11981
9393,11979
10450,11979
11507,11980
9393,11988
11507,11993
10450,11991
9393,11985
5958,11979
10450,11993
9393,11993
6751,11980
6751,11979
6751,11978
9658,11981
6751,11985
409,11979
9658,11978
6751,11988
9658,11980
6751,11993
6751,11991
10451,11985
10451,11979
9658,11985
9658,11987
9658,11988
12036,11997
12037,11979
10980,11978
9658,11993
6752,11978
12037,11985
10980,11985
10980,11979
6752,11980
12037,11983
6752,11979
12037,11993
6752,11985
10452,11978
6223,11998
6752,11989
6752,11988
6752,11993
9395,11985
9395,11978
9395,11979
12038,11978
12038,11980
12038,11979
9395,11993
9395,11989
7810,11979
10717,11979
12038,11988
12038,11987
9395,11995
12038,11983
9395,11997
10717,11985
12038,11990
12038,11989
10717,11980
10717,11995
12038,11998
12038,11999
10982,11978
9395,12020
6754,11980
10982,11985
6754,11979
6754,11978
10718,11979
12039,11983
6754,11983
6754,11982
6754,11988
6754,11987
10454,11980
9397,11978
9397,11979
10718,11982
3319,11978
6754,11995
9397,11985
9397,11986
10454,11988
10454,11987
6754,11993
9397,11980
9397,11983
12040,11980
12040,11979
9133,11985
8076,11985
9397,11988
10718,11998
11247,11982
12040,11978
9397,11991
6755,11981
6755,11980
12040,11987
9397,12001
9662,11979
10719,11981
6755,11979
9662,11980
6755,11978
5698,11978
9397,11996
6755,11985
5698,11983
12040,11983
6755,11983
6755,11982
6755,11989
5434,11979
6755,11988
6755,11987
6755,11993
11247,11998
6755,11991
6755,11990
9662,11993
6755,11995
12040,12005
6755,12001
12040,11999
6755,11999
6755,11998
9927,11979
9397,12020
12041,11978
12041,11985
10456,11978
9927,11993
10456,11988
13363,11985
13363,11983
13363,11980
13363,11981
10456,11985
13363,11979
10985,11980
13363,11993
10985,11978
10985,11988
10985,11987
8078,11991
9664,11978
10985,11993
9664,11985
9400,11978
6758,11980
6758,11979
6758,11978
7815,11979
6758,11983
6758,11982
6758,11981
10722,11978
6758,11988
10193,11993
6758,11987
10193,11995
10722,11979
6758,11985
6758,11990
10722,11985
6758,11995
10722,11988
6758,11993
12044,11978
6230,11982
6758,12001
9930,11983
12044,11979
10194,11988
9930,11979
9930,11980
12042,12043
12044,11991
9666,11982
9666,11978
10194,11993
9930,11988
9666,11980
9666,11985
9666,11988
9138,11983
12045,11979
12045,11978
9666,11993
9138,11978
10724,11978
9138,11985
10194,12020
10460,11978
10724,11986
418,11979
9138,11993
10724,11979
10724,11991
6760,11993
10724,11993
10460,11980
10724,11987
12046,11979
10460,11988
10724,11995
10460,11987
10460,11989
6761,11979
6761,11978
6761,11982
10460,11995
6761,11981
6761,11980
6761,11987
11518,11978
6761,11985
6761,11988
11518,11985
6761,11993
6761,11998
6761,11997
6761,11996
11518,11993
11254,11985
11254,11988
948,11982
11254,11981
948,11985
11254,11983
6762,11979
12047,11983
6762,11983
6762,11981
11254,11991
11519,11979
6762,11987
10462,11979
11254,11997
11254,11999
10198,11978
11519,11987
11255,11978
10198,11980
11255,11981
6762,11993
10198,11979
11519,11988
10462,11987
11519,11985
10462,11983
10198,11985
12048,11979
10198,11988
10198,11982
10198,11981
10727,11979
10727,11978
10198,11993
10198,11989
6499,11979
10727,11985
10199,11979
10199,11978
11256,11979
10199,11981
11256,11978
10199,11987
10992,11979
10199,11983
6764,11978
10199,11985
11256,11986
12049,11979
10992,11978
6764,11982
6764,11981
6764,11980
6764,11979
6764,11986
6764,11985
10992,11986
10199,11993
6764,11983
10992,11985
422,11980
6764,11990
6764,11989
6764,11988
6764,11987
6764,11993
6764,11997
11257,11980
11257,11983
11257,11979
6764,11999
11257,11978
11257,11988
12050,11981
9936,11982
12050,11983
11257,11985
12050,11978
11257,11987
12050,11980
12050,11979
12050,11989
11257,11993
12050,11985
9936,11985
12050,11988
12050,11987
9936,11998
12050,11993
9144,11979
9144,11980
9144,11978
9144,11988
12051,11982
1745,11979
3859,11979
9144,11983
6766,11979
9144,11985
6766,11978
12050,12022
1745,11985
6766,11983
6766,11982
6766,11981
6766,11988
6766,11985
1745,11997
6766,11995
6766,11993
10202,11981
10202,11983
10202,11978
10202,11980
10202,11979
9145,11979
10995,11983
10202,11989
10995,11985
10995,11979
10995,11978
10202,11985
10202,11988
11260,11978
9410,11983
11260,11985
11260,11979
6768,11978
9939,11978
6768,11982
9410,11993
9939,11979
6768,11981
6768,11980
6768,11979
6768,11986
6768,11985
11525,11979
11525,11978
6768,11983
6768,11990
6768,11988
6768,11987
11525,11985
6768,11993
11525,11987
10468,11985
6768,11991
6768,11998
6768,11997
11525,11980
11525,11983
6768,11996
6768,11995
6768,12001
6769,11979
6769,11978
6769,11983
6769,11981
6769,11980
6769,11987
6769,11985
10469,11979
10469,11978
6769,11991
6769,11990
6769,11988
6769,11995
10469,11987
6769,11993
10469,11980
6769,11998
7826,11999
6769,11997
10469,11983
11526,11993
10998,11980
6769,12001
9941,11978
9941,11979
10998,11979
10469,11989
10469,11990
9941,11985
10998,11985
9941,11986
7827,11979
10734,11979
10998,11987
10998,11981
10998,11983
9941,11983
10469,11998
428,11978
7827,11990
10206,11978
10206,11980
10206,11979
10998,11998
10206,11985
10206,11988
10206,11987
10206,11981
10206,11983
6771,11981
6771,11980
10735,11978
6771,11979
6771,11978
6771,11985
10206,11989
6771,11983
10206,11991
6771,11982
10735,11987
6771,11988
6771,11987
10735,11989
10735,11988
6771,11993
10735,11983
6771,11991
6771,11990
6771,11997
6771,11996
6771,11995
6771,11999
6771,11998
8093,11985
3865,11979
9150,11988
9150,11981
6772,11978
9150,11983
8093,11983
9150,11993
11793,11980
9150,11995
6772,11980
11793,11983
6772,11979
6772,11985
11793,11979
430,11979
11793,11978
6772,11983
6772,11990
6772,11989
11793,11991
6772,11988
6772,11987
11793,11985
6772,11993
11793,11986
6772,11998
9415,11988
11793,11999
11793,11993
6772,11999
9415,11995
9415,11996
6773,11979
4130,11991
9151,11983
6773,11978
9415,11993
6773,11983
6773,11981
6773,11980
6773,11987
6773,11985
6773,11990
6773,11988
6773,11993
9680,11986
6773,11998
9416,11990
6774,11979
9416,11993
9681,11979
1489,11985
6774,11993
9417,11988
9417,11985
6775,11981
9417,11993
6775,11980
6775,11979
6775,11978
10739,11983
6775,11983
10739,11979
3340,11978
3340,11980
6775,11993
3340,11979
10739,11993
3340,11981
6775,11997
3340,11983
3340,11985
10475,11993
10211,11978
10211,11980
3340,11993
6776,11978
3340,11995
10740,11978
10211,11987
6776,11982
6776,11981
6776,11980
10211,11988
6776,11979
6776,11985
6776,11983
10740,11985
9683,11979
10740,11979
6776,11988
6776,11993
10740,11988
6776,11997
8362,11978
6776,11995
11005,11979
11005,11985
10477,11979
10477,11978
435,11985
1228,11979
10477,11983
6778,11980
6778,11979
6778,11978
6778,11983
6778,11982
6778,11981
6778,11988
6778,11987
6778,11985
6778,11990
7835,11991
6778,11995
6778,11993
6778,11999
9950,11979
436,11998
9950,11985
6779,11980
6779,11979
6779,11978
6779,11985
6779,11983
6779,11988
5722,11985
6779,11993
9950,11990
6780,11978
6780,11981
6780,11980
6780,11979
6780,11985
6780,11983
6780,11988
6780,11993
9952,11979
9952,11978
9952,11988
9952,11983
9952,11985
9952,11986
9952,11995
10481,11979
9952,11993
10481,11978
10217,11983
10217,11979
6782,11980
6782,11979
6782,11978
11010,11979
6782,11983
6782,11982
10217,11993
11803,11979
6782,11987
6782,11985
10482,11982
6782,11989
10482,11978
6782,11993
10482,11990
11275,11985
969,11979
11275,11978
10482,11987
11275,11980
10218,11979
10482,11998
11275,11993
6783,11981
6783,11978
10482,12001
9690,11979
11803,12022
11276,11978
9690,11985
9690,11997
11012,11978
9690,11993
11276,11979
9690,11996
11012,11983
11012,11980
9955,11979
6784,11980
6784,11979
6784,11990
10748,11979
442,11985
1235,11979
11013,11978
6785,11979
11013,11985
6785,11978
11013,11987
6785,11983
11013,11980
6785,11981
6785,11980
6785,11987
11013,11993
6785,11985
9428,11978
11013,11988
6785,11989
6785,11988
11013,11990
6785,11995
11278,11978
6785,11993
10221,11979
9428,11985
10221,11978
9428,11979
9428,11980
9428,11991
11014,11978
972,11980
9428,11993
11014,11979
1500,11998
9428,11988
10221,11983
9428,11990
10221,11993
11014,11985
9428,12001
9428,11995
10221,11988
9428,11997
9429,11978
10486,11979
11014,11989
10486,11985
9429,11985
10486,11987
9429,11987
9429,11980
11014,11998
10486,11981
9429,11993
11279,11985
10486,11991
6787,11981
6787,11980
6787,11979
6787,11978
6787,11985
6787,11983
6787,11982
6787,11988
6787,11987
6787,11986
6787,11993
10486,12005
11279,12001
6787,11990
11280,11980
6787,11995
6259,11979
10751,11991
10751,11990
9429,12020
6788,11978
6788,11982
6788,11981
6788,11980
6788,11979
6788,11985
446,11978
6788,11983
11280,11993
6788,11990
6788,11988
6788,11987
6788,11993
6788,11991
6788,11998
6788,11997
6788,11995
6788,11999
11017,11982
5996,11979
6789,11979
6789,11978
7846,11979
11017,11979
7846,11978
11017,11978
11017,11989
9696,11979
6789,11983
10753,11980
6789,11980
11017,11990
7846,11981
5996,11987
11017,11985
6789,11987
6789,11985
11017,11987
9696,11978
6789,11990
6260,12005
6789,11989
6789,11988
11017,11998
11017,11993
10753,11987
6789,11993
10225,11980
5732,11998
10225,11978
6790,11980
10225,11985
6790,11979
6790,11978
6790,11983
1505,11979
10225,11993
6790,11988
6790,11987
6790,11985
10490,11983
6790,11995
10490,11979
6790,11993
10490,11989
977,11979
10490,11985
10490,11997
11812,11978
11019,11978
6791,11980
6791,11979
6791,11978
10490,11995
6791,11985
9698,11981
9962,11990
9962,11991
11019,11993
6791,11982
11812,11980
6791,11989
6791,11988
9698,11980
11019,11988
6791,11993
9962,11999
10491,11985
11284,11978
11812,11993
10491,11978
6791,11995
11812,11990
10491,11980
6791,11998
9962,12001
11284,11979
7849,11979
10491,11995
11284,11987
3884,12022
9699,11985
9699,11978
6791,12020
9699,11979
11284,11998
9699,11980
8642,11980
979,11979
11021,11979
11021,11978
10492,11993
10228,11979
10492,11990
11021,11985
715,11979
11021,11987
11021,11980
6793,11980
451,11978
13664,11979
6793,11985
13664,11980
11021,11988
13664,11978
13664,11989
13664,11987
13664,11988
11021,11997
13664,11985
13664,11983
11022,11978
11022,11980
11022,11979
9965,11979
13664,11993
13664,12005
11022,11985
11022,11988
11022,11982
11022,11983
11022,11993
10494,11979
11287,11979
10230,11978
11287,11978
10230,11980
11287,11981
11287,11980
10230,11979
12608,11985
11287,11987
10230,11985
10230,11988
11287,11988
10230,11987
10230,11981
11287,11982
11287,11985
10230,11983
11287,11995
10230,11993
10230,11996
11287,11996
11287,11993
10230,11991
10230,12001
10230,11999
9174,11985
9174,11989
454,11979
8118,11979
9968,11982
8118,11983
9968,11988
13668,11978
9968,11990
9968,11983
9704,11987
13668,11985
13668,11980
13668,11988
11026,11978
11026,11979
9177,11980
9177,11981
9177,11982
10234,11978
9177,11978
10234,11980
10234,11979
9177,11979
9970,11982
9177,11991
9970,11978
9177,11985
10234,11985
10234,11988
9970,11979
10234,11987
9970,11980
10763,11985
9177,11998
9970,11985
10763,11979
9177,11993
9177,11995
9177,12005
3892,11998
9970,11993
11556,11980
11556,11979
11028,11980
458,11979
11028,11993
11028,11987
7593,11982
7593,11985
3365,11985
9179,11983
11293,11987
9179,11985
9179,11978
11293,11980
9179,11979
11293,11983
9179,11980
11293,11993
9179,11990
9179,11993
9179,11987
9179,11989
9179,11998
12615,11980
12615,11981
10501,11979
12615,11978
12615,11979
11293,11996
12615,11988
11294,11980
10501,11986
12615,11985
10501,11983
10501,11982
12615,11983
6009,11979
12615,11997
988,11980
11294,11988
12615,11993
6009,11982
11294,11993
988,11993
10501,11998
11295,11979
12615,12020
11295,11978
11295,11981
10238,11979
10238,11990
11295,11993
10238,11999
5218,11979
9975,11979
9975,11981
9711,11978
9711,11979
9975,11988
9975,11983
9975,11985
9447,11987
10769,11981
5748,11979
1256,11979
10505,11979
10505,11985
1521,11978
7863,11983
1521,11979
1521,11980
1521,11982
1521,11983
9449,11980
11563,11985
11563,11979
11563,11978
9449,11978
9449,11979
11563,11990
11563,11987
9449,11985
10771,11985
10771,11979
10771,11978
9450,11981
465,11985
9450,11983
9450,11978
9450,11979
9450,11980
9450,11990
9450,11985
9450,11987
9450,11988
9979,11978
9450,11993
3637,11979
9979,11991
9979,11993
9979,11988
10244,11978
9979,11995
10244,11983
10244,11985
10244,11979
10244,11987
9452,11978
996,11979
2053,11985
9452,11989
1525,11979
10246,11978
11303,11979
11303,11978
10246,11980
10246,11979
11303,11987
10246,11985
9982,11978
10246,11988
9982,11979
10246,11987
9982,11980
11303,11983
10246,11983
11039,11987
10246,11993
11303,11996
10246,11995
11303,11993
11039,11985
11303,11998
10247,11979
10247,11978
4169,11980
10247,11987
10247,11988
10247,11985
10247,11993
470,11979
7869,11985
10512,11980
10512,11979
470,11982
5491,11979
10512,11978
10512,11988
11305,11980
11305,11979
10512,11985
11305,11978
11305,11986
10512,11993
11305,11993
11305,11995
9456,11980
9456,11978
9456,11988
4171,11979
10249,11979
9456,11985
11305,12020
11042,11983
10249,11985
9985,11978
9456,11993
9985,11979
11042,11979
9721,11983
11042,11985
9985,11985
11042,11988
7607,11979
11042,11987
9721,11979
9721,11988
3115,11979
10250,11979
11043,11985
11043,11979
11043,11978
11043,11981
11043,11993
10779,11985
10779,11979
10250,11993
10779,11978
10779,11980
11572,11985
10779,11987
11572,11980
11572,11979
9458,11979
10779,11988
9458,11980
10779,11999
9194,11981
9458,11985
10251,11978
9194,11980
10251,11990
9194,11985
10250,12020
7609,11979
9194,11993
10252,11978
11309,11978
7609,11990
738,11998
9459,11980
10252,11983
10252,11985
10252,11980
10252,11979
9459,11998
10252,11988
9989,11978
9989,11979
3911,11979
9989,11985
10518,11978
10518,11980
10518,11988
6290,11985
10255,11979
8405,11985
9463,11979
9463,11980
478,11983
9463,11988
11313,11979
9463,11985
11313,11985
9728,11979
9728,11978
9728,11987
5765,11978
5765,11980
1009,11979
10787,11983
10787,11985
10787,11978
9730,11979
10787,11993
1274,11979
9730,11985
10787,11988
8145,11979
11581,11979
11581,11978
11581,11985
11581,11986
11581,11993
11581,11991
11581,11996
9204,11978
11054,11978
11054,11980
11054,11979
9204,11980
11054,11986
11054,11985
9204,11993
10790,11979
9204,11988
10790,11985
11054,11989
9205,11979
9205,11985
484,11998
9204,12020
9205,11997
11056,11983
9471,11978
9471,11979
9471,11988
9471,11985
9471,11993
10794,11983
10794,11978
10794,11979
10530,11983
10794,11985
10530,11980
10530,11979
10530,11987
10002,11981
10002,11978
10002,11979
7888,11980
10795,11985
9738,11983
10795,11978
9738,11978
9738,11979
9738,11980
9738,11990
9738,11991
10002,11999
7888,11991
9738,11985
10795,11988
10531,11991
10531,11990
9738,11993
10267,11980
10531,11999
10267,11993
10531,12001
10267,11987
10267,11988
3927,11980
3927,11979
3927,11993
10534,11979
6834,11985
10006,11978
10006,11980
3928,11979
757,11979
10006,11985
5778,11979
757,11983
3928,11987
9478,11978
9478,11979
7628,11979
10006,11989
10006,11991
7628,11983
9478,11985
7628,11993
10006,11999
7893,11979
10272,11980
10272,11979
6308,11979
10535,12022
10272,11985
10008,11998
6045,11979
7895,11981
7895,11985
7895,11983
10274,11990
3932,11979
10274,11999
1554,11982
1554,11983
13182,11979
13182,11980
13182,11978
9482,11985
9482,11986
1554,11998
13182,11988
13182,11985
11332,11993
13182,11983
233,11998
10276,11979
10805,11985
9220,11983
9220,11985
9220,11980
764,11978
10806,11978
9749,11979
10806,11988
9749,11980
10278,11978
9749,11993
4200,11979
7635,11997
10014,11978
10014,11979
10278,11981
10278,11983
10014,11985
10014,11983
10014,11993
9486,11979
9486,11980
9486,11985
9486,11983
10544,11979
11337,11983
10280,11978
11337,11978
10544,11985
11337,11988
11337,11997
10280,11995
11337,11993
11337,11995
9488,11979
11602,11978
11602,11980
11602,11979
11602,11985
9224,11978
9224,11985
10810,11982
10810,11983
10810,11979
9489,11980
9753,11985
9489,11978
9489,11979
9753,11993
9489,11987
11076,11978
10283,11979
7905,11979
11076,11985
7905,11983
11076,11979
11076,11993
11076,11988
11076,11987
7641,11985
11341,11978
11077,11979
7641,11993
10284,11985
10284,11979
11077,11985
11077,11983
11077,11993
11077,11997
11077,11996
10284,12022
11341,12022
7643,11981
7643,11979
11871,11989
9229,11978
3943,11998
9229,11979
10286,11979
773,11985
3680,11979
11344,11979
11344,11978
10023,11978
10023,11979
10023,11980
10023,11987
10023,11988
8173,11995
10023,11985
10023,11993
7647,11979
10819,11985
9234,11981
9498,11990
11084,11978
9234,11983
10819,12001
9498,11991
9234,11979
11084,11983
10820,11978
9498,11999
11084,11985
11084,11979
9234,11997
1571,11978
11084,11991
1571,11979
1571,11980
10820,11985
11084,11993
11084,11988
10820,11979
1571,11985
5535,11979
10820,11993
9499,11985
10820,11988
9499,11978
10820,11987
10820,11990
9499,11993
10820,11997
9764,11978
10028,11991
10028,11993
9764,11979
10293,11979
251,11985
10293,11985
10293,11993
9501,11980
9501,11982
10030,11978
10030,11988
13730,11983
7916,11990
10559,11978
13730,11981
13730,11979
11087,11990
13730,11980
13730,11978
10559,11987
13730,11988
13730,11985
13730,11993
10559,11998
13731,11983
13731,11980
518,11985
13731,11981
13731,11978
13731,11979
10296,11979
13731,11993
13731,11988
11089,11983
7918,11979
11089,11979
11089,11978
9768,11979
11089,11989
11089,11988
13732,11978
9768,11982
11089,11985
1576,11979
11089,11987
9768,11978
10296,11993
13732,11985
9768,11989
13732,11983
11089,11993
13732,11981
9768,11985
13732,11979
13732,11980
13732,11993
13732,11991
13732,11989
13732,11990
13732,11988
10297,11990
13732,11997
8711,11998
11354,11985
13732,11995
13732,11996
13733,11978
13733,11979
12676,11978
13732,12005
10826,11980
13733,11987
13733,11985
10297,12001
13733,11983
13733,11980
12676,11980
11355,11978
13733,11988
11355,11980
12676,11988
13732,12020
13733,11989
10034,11981
11355,11993
11091,11979
11355,11987
11091,11978
10034,11978
10034,11979
10034,11980
12677,11978
12677,11979
13734,11980
13734,11978
11355,11995
10034,11985
10034,11988
13733,12005
13734,11988
13734,11985
12677,11985
12677,11983
12677,11980
13734,11981
12677,11981
12677,11993
11356,11979
12676,12022
12677,11988
10563,11999
10828,11978
12677,11996
3693,11979
12677,11997
10828,11983
10828,11985
13735,11979
10828,11979
10828,11991
10828,11993
10828,11987
9507,11979
13735,11985
9507,11980
13735,11982
10828,11995
10828,11997
9772,11978
10036,11979
1315,11998
13735,11998
7658,11979
10565,11979
13736,11979
13736,11980
9772,11980
13736,11978
7658,11983
10036,11990
11358,11978
13735,12020
259,11979
9772,11993
11358,11979
13736,11988
13736,11985
13736,11983
11358,11985
10037,11978
10037,11979
7658,11993
13736,11993
9772,11997
13735,12022
10037,11985
9773,11979
10037,11993
13737,11983
13737,11980
13737,11981
10037,11988
13737,11978
10037,11989
13737,11979
11359,11979
11359,11980
13736,12020
10037,11999
13737,11985
11095,11979
11095,11978
10038,11979
13737,11996
13737,11997
13737,11993
10038,11985
10831,11978
10831,11980
11095,11985
10038,11993
13738,11983
10567,11978
13738,11982
13738,11979
10831,11982
13738,11980
13738,11978
10567,11988
13738,11985
10039,11978
11096,11980
13738,11998
10831,11998
10303,11995
11096,11983
10303,11993
11096,11985
13739,11985
13739,11983
13739,11980
9775,11983
13739,11981
13739,11978
13739,11979
13739,11993
13739,11988
9512,11979
9512,11982
13740,11979
9512,11978
13740,11993
8191,11978
13739,12022
9512,11985
5813,11979
8191,11983
13741,11978
13741,11979
5549,11979
13741,11986
11627,11985
9513,11983
13741,11985
13741,11983
13741,11980
11627,11980
9513,11979
13741,11981
13741,11993
13741,11988
9513,11997
13741,11996
13741,11997
13742,11980
13742,11978
13742,11988
13742,11985
13742,11986
13742,11983
13742,11981
13742,11993
9778,11993
9778,11995
13741,12020
7665,11979
13743,11978
13743,11979
13743,11988
9515,11978
13743,11985
13743,11983
13743,11995
13743,11993
13742,12022
8194,11985
13744,11979
13744,11980
13744,11985
13744,11983
13744,11997
13744,11993
9781,11979
13745,11983
13745,11980
13745,11981
9781,11980
13745,11978
13745,11979
9781,11983
10310,11978
13745,11988
10310,11979
13745,11985
10310,11985
10310,11981
10310,11983
13745,11993
10310,11993
9782,11978
9782,11979
9782,11985
13746,11979
13746,11980
9782,11983
13746,11978
13746,11987
13746,11988
13746,11985
13746,11993
13746,12005
7669,11979
6347,11998
13747,11985
13747,11983
13747,11980
13747,11981
13747,11978
13747,11979
9255,11979
10312,11979
13747,11993
13746,12022
13747,11988
7669,11995
10312,11978
13747,11986
10312,11988
10312,11987
10312,11995
9784,11981
9784,11978
10312,11993
9784,11988
10312,12005
13748,11981
13748,11979
13748,11980
13748,11993
13747,12022
13747,12020
10312,12020
9784,11999
11370,11985
13748,11995
9785,11980
13749,11978
7935,11985
13749,11979
10842,11983
9785,11978
9785,11988
13749,11986
9785,11989
7935,11991
