diet_1,diet_2
6783,13029
3967,13029
3859,14329
4214,14329
465,14329
540,13029
3381,13029
1457,13029
11862,13029
6321,13029
1292,13029
995,13029
4290,13029
1086,13029
1053,13029
5950,13029
7048,14329
3861,13029
3473,13029
3085,13029
6091,13029
4290,14329
3564,13029
5934,13029
7726,13029
7751,13029
4059,14329
1384,13029
8246,14329
517,13029
7908,13029
484,13029
1219,13029
3845,13029
3861,14329
509,13029
3259,13029
8792,13029
781,14329
4250,13029
649,14329
7925,13029
3862,13029
996,14329
1360,13029
5489,13029
270,13029
8041,13029
12393,13029
3804,14329
7017,13029
8107,13029
5976,14329
4250,14329
5762,13029
3862,14329
8792,14329
1311,13029
658,14329
5489,14329
1402,13029
5655,13029
3706,13029
6233,13029
535,13029
8091,13029
1195,14329
7670,13029
1427,13029
3888,13029
3954,13029
6663,13029
3145,13029
4260,13029
3863,14329
5573,13029
5812,14329
6977,13029
5218,13029
3740,13029
635,13029
7902,13029
858,13029
3674,13029
1304,13029
1130,14329
3187,13029
6102,13029
4260,14329
4079,13029
7729,13029
5829,14329
6176,14329
809,13029
4071,13029
6243,13029
5698,13029
702,13029
1338,13029
7994,13029
3221,13029
5236,13029
1074,13029
1041,13029
3378,13029
3370,13029
4039,13029
1404,14329
6723,13029
7813,13029
3651,13029
3329,13029
4064,13029
1025,13029
11942,13029
3618,13029
1438,13029
7995,13029
1240,13029
472,13029
984,13029
5914,13029
5369,13029
5575,14329
6005,13029
753,13029
3858,13029
1488,13029
3825,13029
7698,13029
3329,14329
4064,14329
332,13029
7822,13029
8226,14329
1438,14329
3594,13029
1480,13029
4329,13029
1414,13029
1092,13029
5312,13029
3553,13029
6005,14329
1150,13029
382,13029
861,13029
539,13029
3693,14329
6187,14329
12125,13029
3578,13029
4205,14329
1175,13029
3859,13029
308,13029
4329,14329
465,13029
944,13029
6353,13029
589,13029
8393,13029
704,14329
11911,13029
5255,13029
