directed_by_1,directed_by_2
1751,6200
246,7799
2088,3946
1698,3748
2282,6129
2491,7845
5715,6202
5295,6935
2650,7011
5908,4320
1829,3796
1553,4161
5476,3380
5954,6999
5471,7640
2479,4135
2229,3693
2626,3682
2761,7689
3051,6901
1837,5626
2884,3889
2919,6905
1615,4320
2493,7825
2752,7988
6240,6356
2436,3450
5484,1120
2414,6181
2808,6255
2020,8155
2358,3823
5986,6047
2565,3552
2438,1348
5644,8455
2422,7988
6254,3881
2817,3936
2394,6811
2094,3823
2229,7833
2943,6181
2375,3309
1632,7917
1765,3796
5844,229
2458,6892
2624,3796
1695,5970
2179,3254
2746,8205
1924,7066
2232,3661
6198,7689
2659,6810
2349,4139
1816,6332
1708,3538
2941,8327
3011,8205
5750,3169
2657,6903
1786,3184
2103,3596
2373,3420
1574,3615
2759,7841
2174,3450
2039,3538
2292,7988
2566,7689
256,3527
2991,6811
3074,6286
1908,3522
6228,6822
2357,3946
1572,7802
2762,7777
1644,3532
2942,4255
1895,3946
2713,3170
2788,6991
2105,3588
5795,3892
2631,3674
5394,4038
5275,5684
5538,3674
1580,3496
2504,3532
5820,3142
3021,5944
3017,4023
3076,6298
5879,3376
5630,6999
2527,6937
1913,5490
2245,3393
2459,6999
2025,6116
1687,6356
5792,4038
2709,3355
1688,4286
6196,7900
2883,8205
5811,3450
2044,3496
2595,6900
1796,7094
6030,6914
2501,3674
1601,6999
5321,4320
2967,3569
2879,6298
5730,8029
2885,6114
1654,3317
2962,7825
1988,3208
2992,6900
3012,6282
1716,3450
2331,6914
5674,5684
2383,3254
2042,3585
1633,3978
2374,3538
2569,5684
2421,6181
1905,7841
2380,3355
2070,6824
2824,3931
2366,3796
2789,7066
1512,7747
2225,6129
3023,8016
2152,4303
1606,6901
2031,3966
2223,4161
1586,3434
2196,7054
6557,7033
2907,3450
3873,4231
2026,4149
2244,3538
3077,8435
2364,3913
2623,6129
5618,3393
1775,7841
1630,4144
2307,5684
6166,6892
2906,3501
2430,3921
5904,676
2846,3317
2977,3355
5330,4144
2201,6937
1647,5678
5357,3309
5597,6114
2967,3674
5938,7840
1773,3834
1626,6344
1875,6818
5273,3881
3080,6332
2418,8422
2401,6903
2770,3657
2531,6973
2793,7047
1969,5969
1901,3981
5548,3569
2447,5490
2895,7988
5788,229
2732,6900
2835,7802
5735,5969
2375,5684
1989,3317
1910,5768
2186,3355
2821,6200
6316,8447
2682,8466
1907,7917
2891,4038
1779,7792
717,3851
1778,7825
6066,8024
2652,5311
2972,3588
2120,3376
1582,5719
2798,6937
2047,3596
1803,7066
2423,4231
2304,3823
2106,3823
2530,7066
1923,3355
2839,3635
1925,3300
2578,3538
1839,3921
2764,5969
2257,3254
6362,7080
1701,6160
2238,3851
2816,8461
2983,3284
6209,3635
2830,8029
2912,3450
2757,4161
2299,4023
1774,3913
2180,3615
2956,4135
2116,5599
2651,3355
3042,3522
6272,7840
5372,7068
1545,6924
2518,5433
1510,5969
1676,6967
1764,6290
2649,3434
2114,3637
1549,676
2913,3450
2841,5684
2317,3496
1915,3674
1984,3596
5994,6268
2312,3674
1657,3501
2368,6038
1577,8030
2337,7001
1702,4161
2114,3680
2725,3170
217,3096
2572,7917
5533,4195
5445,6923
3045,3496
2754,4330
2726,3151
2119,3538
1985,3596
1789,3531
2542,676
1772,6114
2562,6202
1854,5626
1524,3569
2801,6991
2853,3337
2298,4157
2396,3170
1684,6810
5686,5626
2006,7069
2243,3823
2255,3450
1921,3569
2743,617
2248,3674
2048,7825
2588,3376
2540,6914
2210,6903
2771,3851
1945,6931
2036,6160
1583,7917
5621,5622
2535,7080
1812,826
6340,7911
1514,5969
5399,4320
5513,6931
2953,8466
1548,6967
1885,617
5620,3615
2828,6202
2031,4287
1726,7597
3035,3889
2435,6104
1734,5311
2182,7809
2768,3981
2660,3238
2712,3674
2708,5847
3007,6818
1929,5422
5712,6935
2635,4023
1793,7597
5250,6931
2677,676
5512,7006
2873,6892
5669,4184
2896,6181
2169,4144
1723,3635
2989,3300
1710,4042
2083,676
1844,6038
2046,7973
5357,5684
1990,3569
2279,6903
6106,7052
2637,6047
1573,8311
1979,5969
2406,926
2511,7911
3006,6905
2001,1201
2829,6255
1795,3496
1587,5850
2794,3254
2411,6937
5382,6999
6008,3978
2178,3921
1973,4135
5903,1086
2410,6972
2387,3588
1727,3569
2385,3657
2646,7853
2979,3674
2774,5933
1804,3238
1542,3169
1936,1201
1460,5719
1841,4149
2443,3921
5647,6999
1705,4275
6134,6244
5546,6038
2113,3921
2121,3674
2540,7069
2970,3981
5669,6332
2311,3936
5882,5883
1703,8455
1690,6810
1849,8024
2192,3538
2611,6935
2784,7717
1558,6815
5803,6290
2317,5817
2344,7027
1983,5933
2628,8466
2114,3921
2745,746
2125,3585
1733,3450
1848,3981
2303,8311
2324,3564
1721,7922
5363,3569
1752,6967
2258,3569
2262,3450
2505,6160
1806,3254
2372,4144
2316,3834
5820,7853
2517,5796
1976,6183
2590,3538
1991,3674
1887,6901
5506,3254
5586,6924
2967,4144
2212,7069
5603,8446
5566,3450
2086,6892
2305,4202
6338,6160
5452,6999
1840,8385
2037,8422
5708,3169
1717,4009
3037,8146
1886,6966
2711,3921
1918,8024
2509,4038
2785,3674
2698,8422
2314,3944
5738,4293
2599,3300
2336,5311
2112,6114
2900,4213
2920,7689
6027,3538
2478,7066
1905,8446
1819,7019
1730,3637
2905,6129
3030,4303
2208,3169
2185,5933
2607,3096
2589,7753
2549,6945
1532,7753
2513,3966
1916,4042
5432,7689
2911,5969
2388,7845
2055,3834
2444,6116
1512,4287
1560,6900
1730,3680
2175,6268
2701,4303
2574,4144
5387,906
1933,3538
2923,3569
5695,7747
2554,6818
3059,3450
2241,6282
2622,617
1810,5311
2480,7069
2310,4150
1659,3851
3048,5850
1650,6181
2585,3823
2133,7597
1595,3796
1658,3892
5810,4202
2489,6811
1691,6973
5869,338
2091,6865
2997,3355
5499,3615
2937,3169
3078,854
217,3531
2781,5969
2658,3637
2145,3160
5890,7900
3056,7689
1526,8017
1911,4275
2188,3881
5323,906
1783,6200
1776,8466
5261,6931
1868,3569
1888,906
2056,3892
1912,6310
5501,3596
2837,6310
5319,3095
2259,3748
5587,7080
1670,5626
1592,8047
6157,7845
1891,6973
2263,3637
2658,3680
2310,4231
2584,3936
2971,8323
5372,7630
2049,4144
2397,3596
2927,3552
5384,3160
1713,4330
5485,8228
2523,3796
6059,6824
2843,4125
2952,6892
3004,3232
3063,3450
1669,3661
2263,3680
2838,4293
1894,6935
3061,1478
2199,3629
1811,3372
6617,3894
5247,3355
1736,3658
6031,5684
2190,5969
2122,3981
2460,7841
1922,6092
2054,4048
1758,7080
2204,3496
2229,6818
2662,3637
2910,4145
2377,4286
6143,4275
2114,6298
5766,3679
2508,8422
1940,7597
5495,3892
1848,6355
1892,7039
2908,8311
1878,3380
2005,3538
2673,3317
2914,4038
2918,3913
2004,5626
3019,6936
2886,6966
1900,6818
2662,3680
2621,7001
2183,6244
2987,3851
2640,8466
2926,7792
2519,4027
1540,3657
1694,931
1877,3450
3052,7988
2647,4161
2379,4277
2379,4276
2099,6815
2376,8467
2114,4303
1747,3393
2205,3532
1830,6967
3047,4056
2534,5626
2643,6344
2003,3661
2202,3635
1876,7597
2136,3635
6093,3851
2295,6901
2735,3501
1538,7840
2229,6903
1960,906
6161,3796
2800,7640
2061,5973
2321,6104
2605,3450
2811,5256
6029,7900
5583,3300
1537,3796
2284,3170
1995,3936
2847,6200
2168,632
2733,3596
2254,6160
1939,3637
1768,6892
2142,3496
2319,6202
5544,435
1919,8365
5654,3169
2582,4195
3064,7689
1764,7033
2062,3946
2564,676
2645,6356
2252,4203
5234,8024
2786,4044
2325,6047
2350,3224
2728,3796
2343,5490
1939,3680
1634,6991
5977,3434
2756,7027
2758,6967
5957,8155
1740,7809
2270,3682
2194,6038
1743,3635
217,3839
1620,3355
217,3840
2786,4078
2390,6114
5886,6282
2528,5933
2719,6160
2233,6892
