disciplines_or_subjects_1,disciplines_or_subjects_2
12718,13363
12109,6640
6529,13735
6594,13767
12082,14132
6430,13735
6528,13767
13860,1515
6583,1833
13885,12531
13883,14127
6611,13767
13250,13792
6479,13767
12085,12531
12110,1515
7527,12517
14130,12632
12839,13741
12141,13363
13252,13735
7566,13363
6430,13767
6569,12529
12061,1515
12075,13363
12061,13284
13885,12551
12108,13363
12052,12551
12085,12551
12119,12531
12113,13228
14128,13228
12086,12531
6522,1720
12092,13363
6597,13735
14131,12632
13252,13767
12109,13363
6471,12531
12119,12551
13860,13363
7570,1515
12052,14129
6620,12531
12085,14125
6597,13767
12077,13363
12110,13363
13056,13732
12052,14132
6531,13767
6620,12551
12119,14125
12061,13363
7512,12551
6482,13767
12080,1515
6383,13767
6450,12202
12086,14125
12121,12531
12129,1530
14126,13363
13889,12514
6500,13735
12121,12551
6517,13735
7347,12579
6417,13767
7512,14125
6450,13767
6620,14134
12056,12531
13889,12551
7570,13363
6500,13767
12104,14127
7391,1515
12106,12531
6614,1543
7573,1515
12056,12551
12129,13363
6418,8656
12115,1515
13115,14034
12082,1515
12080,13363
14128,13363
6567,13767
12134,13228
6469,12202
12113,13363
13889,14125
6585,13735
12099,1515
6453,13735
13883,6640
6551,13767
12097,13363
14133,13747
6614,13363
13488,13767
6469,13767
6536,13735
7566,12531
12138,12632
12075,12531
6585,13767
13865,13363
6486,13767
12090,14127
7391,13363
12098,13363
12075,12551
7566,12551
7573,13363
6569,13767
6570,13735
12141,12551
6537,12202
6536,13767
12718,14127
14130,13363
12115,13363
12082,13363
13885,1515
13490,13767
14135,13739
12099,13363
6537,13767
12052,1515
6570,13767
12109,12551
13883,13363
12108,14127
12075,14129
12077,12531
7566,14125
14131,13363
7566,14134
12141,14132
6554,13767
12075,14132
12119,1515
6456,12202
12061,12531
12086,1515
7347,13767
6605,13735
12077,12551
12110,12551
6407,13735
6472,13767
12109,14125
6471,1515
13492,13748
12101,13363
12134,13363
6522,13767
7512,13284
12061,12551
6556,13735
13885,13363
6423,13767
6605,13767
12085,13363
6506,13767
7570,12531
12077,14125
12110,14125
12052,13363
6457,13767
13890,13228
6556,13767
12061,14125
7570,12551
12119,13363
12086,13363
7465,13767
12129,12551
14126,14127
6554,12318
13875,13736
12056,1515
12112,14124
6607,13767
6620,13363
12080,12551
7512,13363
12097,12551
12112,14127
12106,1515
12129,14125
12104,13363
6559,13735
6592,13735
6614,12551
7391,12531
13893,13730
6509,13767
12080,14125
7573,12531
12121,13363
12098,12551
6593,13735
12082,12531
6559,13767
7391,12551
6592,13767
12086,1667
6506,1591
12138,13363
12115,12551
7573,12551
12758,1833
12082,12551
14130,12550
6609,13767
12099,12531
6610,13735
13889,13363
6577,12202
12056,13363
12141,1515
12108,6640
12099,12551
6379,12202
6593,13767
12075,1515
13873,13363
6594,13735
6527,13767
12073,13363
6577,13767
13890,13363
13878,13736
6610,13767
7391,14132
6611,13735
12115,12590
12090,13363
