distributor_1,distributor_2
2238,3389
2773,3192
1692,12131
2766,3413
2617,12131
1963,3735
2374,3282
5548,3192
2063,12924
1718,3141
3034,3306
5744,13506
3052,6843
2756,3735
5795,3735
1731,6844
1713,3306
2379,3141
2340,8445
2908,3125
2352,12171
2393,6807
2353,12147
5432,6807
2473,8427
5810,3282
2094,3793
3019,3793
3040,3141
2855,12975
1710,3413
2706,13498
1962,3793
1578,3413
2110,3306
2649,7076
1814,4291
2378,3192
5417,3192
2246,3192
5542,3413
2771,3306
2353,12171
3015,12131
2639,3306
5811,3282
2095,3793
5546,3306
2116,3141
5530,3802
1976,3389
1711,3413
2901,3389
1852,3141
5266,3802
5288,3125
3054,6843
2645,3141
2904,3306
2349,4126
2758,3735
2247,3192
2122,7070
1847,3306
2772,3306
2790,6843
3037,3282
2228,3793
2840,13498
2752,12131
3042,3141
3034,3389
5229,13174
1651,13498
2576,13498
1966,3735
5949,3141
1760,1930
2380,3192
5544,3413
2576,13500
6540,13498
2505,3413
2444,13498
2646,3141
2316,13373
1848,3306
2491,3855
2241,3413
2312,13504
2906,3282
5769,12832
2260,6926
1849,3282
1852,3192
3004,8445
2645,3192
2709,13498
5809,3413
2097,3802
2686,1930
2510,3290
2793,6807
2119,3125
2742,4291
5795,3855
1590,3141
2374,3413
5484,13499
1806,12832
2256,7076
2211,8473
2181,13498
2626,3802
1850,3282
3035,3413
2780,3125
2785,7070
2842,13498
2907,3290
3023,3793
6192,3855
5435,6843
2710,13498
5779,8473
1723,3141
2375,3413
2625,3855
6096,6843
2516,3141
2257,7076
2384,3141
5227,13314
2911,3192
1719,3282
6014,13498
2904,3413
1675,12840
2779,3192
5683,3282
2265,6843
5424,3125
1817,8445
1848,3389
1583,3413
5820,3141
2099,3802
2115,3306
5419,3282
2649,3141
1983,3306
2628,3793
6354,7076
2315,13498
2112,3413
1987,3192
2263,6927
3014,4126
1862,7070
2263,6926
2051,13498
2512,3306
1831,12131
2787,7070
2398,6844
2648,3192
2655,7070
2874,8473
5403,3802
2513,3282
5751,13500
2645,3290
2782,3141
3041,3306
2249,3282
2642,3389
2795,6843
2127,7070
2394,6985
5816,3306
5355,13498
1738,6843
2777,3306
2113,3413
2910,3282
2645,3306
2264,6927
1594,3125
1700,12131
2649,3192
2774,3413
1819,8445
5421,3282
2756,12170
6081,3306
2524,7076
2581,13501
2628,3855
2928,6843
2630,3793
2665,6807
2778,3306
1986,3282
3043,3282
2916,3125
2664,6844
1989,3192
2191,13314
2350,4291
1727,3125
2115,3389
5818,3282
5387,8451
2400,6843
5821,3192
1983,3389
5275,3735
2926,6926
2515,3282
2643,3413
5689,3192
2926,6927
1569,12131
2388,3125
2118,3306
5699,6985
2386,3192
2254,3192
1865,7058
2393,7076
1854,3306
2797,6843
5225,13498
5432,7081
1722,3306
2501,3735
1990,3192
5954,3192
1608,6844
1865,7070
2124,3141
1719,3413
3022,12171
2917,3141
5760,13314
2384,3282
1860,3141
2137,6844
2387,3192
2481,8473
2663,6927
2663,6926
5669,3855
3011,8429
3045,3282
2913,3282
2916,3192
2605,12832
1859,3192
2781,3282
1923,13498
2892,12131
2848,13498
5309,6843
3050,3141
1595,3192
2517,3282
2527,7070
5309,6844
3063,6844
5295,3192
5839,6807
2121,3282
1966,12189
2390,3141
2353,4291
3060,6949
1592,3306
1610,6844
2103,3855
5424,3306
1853,3413
6050,8473
2271,6843
1596,3192
5756,13498
2919,3141
2210,12832
1843,3735
2514,3413
2764,3855
5536,12131
1956,8425
1973,3802
2386,3290
2382,3413
5839,6844
2502,3793
2391,3141
2668,6843
1868,7070
3043,3413
6214,3413
2518,3306
6082,3413
2894,12131
2386,3306
1604,7070
1597,3192
2718,13498
1873,6927
2897,3855
1743,6860
1873,6926
2661,7076
2387,3282
1607,6985
2383,3413
5294,3282
2501,3855
5392,8445
6192,4126
2784,3282
2740,12840
3061,6985
2652,3282
2405,6843
2128,3141
1855,3413
1996,3141
2523,3192
2516,3413
2657,3141
2191,13498
2348,12730
2120,3413
1988,3413
2103,12136
5695,3192
5560,3282
1958,8445
1599,3192
6093,3141
2202,13174
2498,12189
1842,3855
2142,6843
1712,3793
2260,3192
5424,3413
2637,3793
5495,13498
1580,3793
1878,6843
1998,3125
3060,7070
2918,3282
2375,3735
1729,3282
2135,7081
2407,6843
2103,12171
2465,13239
2853,13498
2499,12189
2257,3306
2667,6985
5760,13499
2258,3282
5957,3306
1579,3855
2924,3125
3061,7070
1862,3282
2061,13498
5561,3306
2522,3306
2356,8451
2915,3413
2131,3141
2488,8457
1858,3413
2356,8457
1960,8445
5281,3802
1601,3192
1665,13498
5792,8445
3051,3306
5699,3141
2259,3282
2262,3192
2919,3306
2104,3998
2255,3413
2276,6860
5435,3141
1863,3282
6164,13314
2609,12924
2788,3282
2923,3192
2798,7070
6228,3141
5562,3306
2270,7058
1599,3282
1602,3192
5566,3192
5691,3413
1868,3141
2904,3793
2898,12173
1736,3141
2638,3855
2806,6844
3056,3192
5811,3802
1864,3282
6338,3855
5417,3735
2063,13498
2988,13498
2792,3192
5960,3290
2481,12832
2660,3192
1603,3192
1978,3855
5692,3413
2139,7058
1737,3141
1963,8425
5303,3192
2389,3413
2939,6843
1882,6844
2921,3306
2905,3802
5846,6843
2522,3389
2406,6985
3064,7070
1716,3802
2125,3413
1868,3192
2266,3141
2525,3306
2658,3282
1956,12755
5957,3413
2526,3282
3036,3855
1738,3141
2015,6843
5301,3282
2772,3855
2776,3735
2492,8445
1733,3306
5663,8451
2126,3413
5663,8457
1876,7070
2244,3855
1730,3413
5795,8473
2655,3413
2901,12173
1602,3290
2462,13498
5413,12131
1702,4291
6094,3306
5302,3282
2678,6807
1872,3125
2002,3192
3059,3192
2659,3306
3070,6949
2245,3855
1740,3125
1995,3413
2991,13498
2545,6844
2249,3735
2012,6985
2136,3141
5810,12131
1731,3413
5960,3389
2396,3282
2531,3192
2595,13498
2399,3192
2533,3141
2005,3125
6096,3282
1735,3306
2925,3282
2364,4291
5832,3282
2137,3141
2942,6860
6031,13498
3041,3793
1984,3793
2019,6807
1618,6949
1604,3290
2397,3282
2596,13502
3057,3306
2529,3290
2645,3793
2943,6844
2136,3192
5401,8473
5965,3282
2929,3192
2529,3306
2993,13498
1582,12186
2861,13498
3068,7081
2665,3192
1733,3413
2237,4172
2809,6927
3069,7058
2813,6807
5565,3413
2465,13500
2812,6843
2403,3141
2201,13498
2130,3413
5966,3282
2514,3802
1866,3413
2666,3192
2284,6844
1734,3413
5705,3192
2598,13498
1968,8451
2402,3192
3043,3802
5816,3855
5373,13498
2927,3306
5538,4291
2277,7076
2801,3125
2796,3282
2249,3855
802,3656
2669,3125
5838,3192
2286,6807
2863,13498
6081,3855
1718,12131
2943,6927
2943,6926
5324,6843
2535,3192
2273,3125
1548,13314
2003,3306
2467,13498
2912,3802
5453,6949
1855,3802
2264,3413
5835,3306
2664,3306
2382,3855
2132,3413
2516,3802
2499,8425
3071,7076
1851,12131
2141,3141
2384,3802
5571,3306
5832,3413
1754,6949
1618,7070
2732,13498
6066,8451
1587,12131
1604,3413
2411,7070
2468,13498
1652,1930
3062,3282
2147,7070
5538,8445
2008,3192
2406,3141
2803,3125
3076,6949
2253,3793
2412,7058
2419,6843
2401,3306
2669,3192
2010,3141
2155,6843
2537,3192
3028,8451
2776,12170
2121,3802
