entity_involved_1,entity_involved_2
14308,12713
13094,7849
13590,8344
13568,13634
13572,195
13641,119
13625,6756
13592,11361
13596,6630
13593,6734
14308,7609
14288,14374
13591,13450
13570,12565
13575,6786
13641,6786
13579,11778
13587,13578
14288,14376
13590,187
13605,11498
13619,13624
13623,14010
13576,108
13612,16
13575,8328
13602,13634
13592,13432
13576,117
13572,7920
13571,13583
13589,11487
13594,11844
13577,6750
14288,9286
13592,10891
14050,7958
13625,141
13622,11498
13619,10055
13657,173
13570,13617
13618,11631
13575,11939
13606,11487
13576,6786
13614,6630
13576,141
13657,190
13605,13578
13621,7963
13612,14380
13606,10993
14288,92
13644,11861
13623,7902
13630,6
13625,11950
13577,6786
14288,118
13580,11819
13094,13574
13605,13605
13646,4155
13630,14379
13606,7956
13587,13662
13630,41
13572,13613
13577,7826
13627,6786
14307,14378
14288,13432
13577,8337
13600,8136
13579,11361
13630,50
13645,11361
13625,8397
14311,7609
13615,6654
14288,10891
13576,195
13627,150
13582,6676
13582,10257
14308,12328
13608,11498
14306,12907
13608,10993
13592,11487
13611,12435
13573,13613
13631,51
13607,7958
13572,13651
13645,10891
13630,90
13606,13634
13611,8356
14288,170
13577,193
13622,13659
13607,13613
13600,6655
13104,16
13630,108
13573,13651
13608,7956
13104,8218
14288,14010
13600,8
13594,194
13575,13583
13591,13599
13580,6786
14050,12694
13625,13578
13094,3928
13618,7649
13592,12565
13631,90
13604,8105
13610,7920
13627,13534
13627,7902
13600,35
13576,13578
13644,8396
13618,7677
13607,13651
14288,12506
13646,8344
13597,135
13605,13708
13576,13583
13627,7920
13568,21
13568,19
13644,7902
13574,3928
13596,11950
13644,13534
14288,11487
13615,12383
13597,141
13630,7835
13592,13617
13608,13634
13630,149
13580,11939
13623,11631
13631,133
13611,10993
13657,13656
13646,187
13601,11819
13594,11023
13568,51
13630,178
13589,8105
13616,97
13619,11778
13653,12784
13586,6670
13594,13588
13581,8356
13575,13662
13593,13617
13567,11863
13602,39
14288,11029
13641,11631
13610,13613
13600,12383
13608,11126
13596,11498
13626,13637
14288,13595
13587,6654
13600,108
13611,7956
13657,9614
13600,117
13576,13662
13593,13647
13094,7609
13603,13330
14050,14335
13572,7649
13590,12721
13600,7803
13619,45
13619,14381
13587,7704
13603,14375
13600,132
13644,13613
14288,13617
13630,5343
13094,7635
13615,8381
13610,13651
13616,8344
14288,13624
13621,8189
14306,13079
13600,150
13623,8136
13581,11487
13586,11844
13584,6786
13636,51
13603,6706
13603,7744
13605,6654
13653,14382
13602,92
13611,13634
13627,13651
13587,11819
13653,4155
13630,14081
13581,10993
13645,13617
13572,8
13601,6786
13568,7807
13596,13595
13619,11361
13592,10658
13625,7587
13644,13651
13644,13652
13646,13590
13571,11819
13616,198
13568,12435
13573,6644
14050,50
13636,97
13600,8381
13104,7881
13094,8189
13605,11819
13567,194
13614,11023
13581,11023
13570,11361
13621,7746
13127,13330
13602,141
13579,13655
13592,10689
13596,13635
13594,8065
13581,7956
13623,6655
13570,13432
14306,3928
13596,13648
13587,7780
14050,12383
13574,8189
13619,10891
13623,6684
13596,11618
13601,195
13630,13629
13601,193
13582,13595
13638,84
13570,10891
13630,13637
13615,7958
13587,8328
13614,13634
13580,13662
13587,6786
14306,13695
13586,11950
13127,7744
13601,12506
13094,7744
13622,7758
13592,9213
13590,4155
13653,8344
14308,13125
13571,6786
13577,8136
13568,11487
13633,7945
13572,119
13575,7704
13605,119
13587,11939
13605,6786
13623,11861
13577,9189
13644,8136
13610,7649
13570,14010
13627,7649
13127,12907
13608,39
13584,13583
13571,11939
13104,7997
13621,8353
13582,13658
13619,11487
13602,11498
13610,7677
13568,7956
13592,14377
13572,150
13574,11864
13573,119
13602,10993
13573,6786
13568,13595
14050,8381
13627,8181
14306,7609
13646,12721
13576,11819
13627,7677
13623,6777
13633,13632
13627,8
13592,9286
13625,11844
13593,34
14308,13710
13633,13643
14308,8075
13607,7803
13594,6670
13594,7691
13602,7956
13600,13650
14288,11778
13631,13713
13575,7780
13606,8356
13602,13598
13626,51
13582,11144
