ethnicity_1,ethnicity_2
5665,11843
6853,11883
8440,11832
4212,11831
7647,11842
512,11849
8044,11833
6194,11833
5798,11825
8176,11833
8308,11838
7780,11830
908,11873
3684,11833
3552,11831
5534,11829
5402,11825
7780,11842
3288,11829
7912,11848
910,11825
3156,11831
7911,11889
6063,11832
4081,11832
646,11825
8177,11833
5799,11826
1439,11826
910,11846
910,11849
3553,11836
7780,11873
778,11848
1043,11825
6723,11875
6064,11824
8178,11831
382,11840
1043,11832
647,11831
3685,11860
8046,11842
3686,11831
7914,11840
11878,11829
1438,11891
7781,11864
251,11825
5668,11832
8046,11849
3554,11833
646,11870
1176,11825
7650,11833
251,11832
6061,11945
5272,11833
382,11869
7782,11845
3422,11842
8311,11831
6990,11827
3422,11843
778,11890
5404,11854
6726,11830
8046,11870
5537,11831
1441,11832
4216,11826
384,11833
1041,11946
6858,11842
912,11851
6726,11842
3423,11839
8180,11833
9105,11831
1177,11840
1045,11837
4215,11873
3952,11831
3820,11831
3556,11829
7916,11842
517,11832
5406,11825
5406,11826
5802,11841
7784,11840
6726,11870
1310,11833
11880,11839
6726,11873
3820,11848
8312,11870
4085,11834
5802,11856
6992,11833
5670,11856
8443,11913
5671,11826
3689,11831
518,11830
8314,11824
3689,11836
3689,11838
1443,11833
3293,11829
8314,11831
3293,11831
4218,11832
7652,11872
8050,11830
8182,11836
6993,11831
915,11831
8182,11831
8314,11836
6331,11877
5672,11826
3954,11833
5672,11824
8181,11875
8313,11872
518,11858
6729,11830
5540,11829
519,11831
8050,11846
8447,11829
1045,11913
5540,11834
5540,11831
6729,11842
4219,11829
3426,11833
1048,11825
5540,11836
7786,11848
6068,11858
6861,11849
6201,11833
5936,11860
8050,11860
5805,11825
3955,11831
7655,11829
1445,11825
1047,11875
5541,11831
1445,11831
5541,11829
388,11831
7654,11865
1181,11829
5936,11879
8184,11826
8052,11831
1049,11833
7920,11827
3425,11913
520,11856
8316,11848
7788,11831
7920,11842
3560,11832
5806,11840
521,11833
1446,11831
6334,11854
3296,11829
3296,11832
3428,11835
6335,11831
7656,11840
785,11854
8184,11863
5675,11824
5807,11833
6864,11833
1447,11824
3693,11831
4089,11846
4089,11844
5675,11836
3296,11856
1447,11831
3693,11839
390,11832
4089,11849
5279,11829
1183,11827
11884,11870
3297,11830
6072,11826
8054,11826
6204,11829
1183,11832
5940,11825
1051,11832
8318,11842
3826,11831
3297,11846
8449,11875
3826,11834
655,11833
6204,11850
3297,11852
259,11825
4089,11882
7658,11836
5412,11830
391,11833
1184,11826
6337,11831
3296,11894
6337,11834
1315,11868
1052,11831
4091,11833
