executive_produced_by_1,executive_produced_by_2
2293,3733
2741,12375
1945,6330
1634,11880
2158,7923
2282,6129
2767,3388
5512,4313
1963,3738
5816,3082
3046,7035
3034,3318
1620,4144
1962,3786
2757,3717
2757,3718
1619,12375
2026,3856
1973,3450
2452,7035
2377,3219
1733,6798
2431,7689
3047,7035
2368,3510
2896,3528
2236,1459
2095,3786
2422,7988
2569,1384
2085,4107
2793,592
1959,3918
2412,4220
5275,3533
1629,3918
5341,3533
1991,7035
1862,6937
5876,1288
5280,3380
2505,5441
1964,3781
1636,3717
3076,12326
5876,3348
1636,3718
2296,3742
5750,3169
1698,3856
2528,6806
1973,7629
5615,1225
2826,3718
2826,3717
2460,6871
2436,3522
2832,3533
1707,7689
5989,3969
2233,3673
1619,6324
1516,3380
2879,12326
5795,3856
2721,6989
1908,3522
2448,3170
2360,3856
1707,7716
1558,4144
2929,559
1590,3157
5674,3533
3058,6810
5809,3450
2304,3561
2082,4302
2082,4303
2412,6365
5652,4233
5479,3450
1862,7035
1843,3533
2951,4002
2434,7743
2743,4313
5689,3096
1921,3171
5928,5933
2174,3522
1921,3172
2236,7749
3021,5944
2170,7749
2758,5907
5386,4313
2981,3096
1531,952
1646,3533
2326,7029
2167,7867
2913,3172
2556,4002
2691,3915
2104,3682
2221,4157
2595,6900
2528,6936
5674,7718
2120,3208
2962,7825
2956,3915
5810,3511
1718,3388
2927,6871
2626,3915
2963,3711
1562,6185
2705,3522
2296,3918
2107,3634
2228,3979
5394,4137
5954,3171
2225,6129
5954,3172
2328,7035
2375,3533
2427,6023
2293,4032
2111,3533
1843,7749
2592,7063
5733,3901
5329,4137
2224,4137
2445,5483
5928,4004
525,3570
2981,5259
2289,12375
1759,4233
2966,3682
2307,5684
2430,3921
5816,5457
717,3781
1971,3818
5809,3631
2885,4162
2125,3151
5876,3604
2169,5885
2233,3903
1892,4233
2435,3786
2132,7035
2994,6940
1909,3711
2434,5872
7579,6118
2295,4036
1673,6937
5245,6814
5280,3679
2502,3786
5590,4313
2895,7988
2732,6900
2432,3913
2457,3142
5275,3856
2841,3533
1806,6946
1671,7035
5341,3856
2775,3533
2965,3786
1520,3533
5621,3380
2699,3856
