family_1,family_2
7299,7268
7227,7201
7252,7193
7260,7201
7210,7219
7208,7286
7293,7212
7284,7242
7704,14446
7192,7286
7236,7201
7225,7286
7249,7309
7302,7201
7283,7285
14153,7309
7301,14153
7294,7201
7195,7204
7228,7204
7200,7309
7217,7294
7209,7286
7253,7201
7308,7294
7194,7242
7305,13538
7269,7229
7211,14153
7244,14153
8277,13101
7193,7285
7211,7249
8046,13101
7229,7201
7267,7309
7196,7204
7212,7219
7203,7249
7303,7219
7268,7285
7271,7191
7915,14625
7220,14153
7202,7286
7244,7263
7284,7309
7304,7201
7205,7201
7245,14153
7285,7280
7260,7294
7296,7201
7202,7303
7237,14153
7227,7294
6726,13101
13538,14153
14627,7796
7194,7309
7279,14153
7189,7219
7231,7201
7279,7249
7256,7193
7297,7201
7263,14153
7253,7294
7255,7232
7204,7280
7238,7249
7230,14153
7263,7249
7248,7201
7273,7193
7298,7191
7198,7219
7189,14153
7196,7280
7222,14153
7240,7201
7752,14625
7200,13564
7214,7247
7245,7309
7257,7193
14687,14687
7265,7204
7758,14449
7290,7204
7223,14153
6770,14628
7282,7201
7216,7203
7232,7219
7215,14153
14449,7758
7205,7294
7267,13564
7296,7294
7215,7242
7215,7249
7304,7304
7274,7210
7233,7204
7284,13564
14449,7769
7224,14153
7217,7201
7290,7242
13564,7309
7308,7201
7241,7229
7249,14153
7198,7286
7300,7201
7194,13564
7190,7285
7234,7201
8283,14625
7272,7309
7198,7303
7292,7204
7299,7242
7226,7201
7248,7294
7207,7285
7281,7294
8283,14628
7704,14665
7300,7219
7218,7201
7796,14627
7240,7294
7298,7285
7307,7267
7769,14449
7191,7285
7215,7309
