film_casting_director_1,film_casting_director_2
2980,7653
1766,3945
1912,3644
2435,3945
2519,3644
2658,3945
2431,3945
2972,7653
2105,7653
1948,3945
1882,3945
2906,3945
2448,7653
2002,3945
1603,3644
2531,7653
2151,3945
1891,7653
1730,3945
2523,3945
2387,7653
1747,7653
2961,7653
5620,3945
2994,7653
2420,3945
345,3761
6161,3945
1995,3945
2847,3644
1724,3644
2020,7653
2342,3945
2466,7653
2943,6181
2875,3945
1551,3644
1653,7653
2805,3945
2929,3945
1890,3644
2080,3644
1707,3945
2793,3945
1699,7653
1596,7653
1691,7653
1629,3945
1617,3945
2158,7653
2110,3644
