film_crew_role_1,film_crew_role_2
2211,12420
2210,12458
1682,12442
2741,12380
2210,12457
2210,12460
5911,12420
2740,12420
1682,12458
2213,12380
1682,12457
2211,12442
1687,12308
2213,12386
2740,12442
2211,12457
2742,12380
5911,12442
2743,12348
2211,12458
2211,12460
5911,12457
2741,12420
5911,12456
5911,12459
2740,12457
5911,12458
2740,12459
2744,12338
2213,12420
2741,12442
2743,12380
2742,12420
2741,12457
4327,12442
2213,12442
2215,12380
2741,12458
2741,12461
2741,12463
2741,12462
2213,12457
2742,12442
2213,12456
2213,12459
2213,12458
1687,12380
1686,12420
2743,12420
5387,12380
2742,12458
1692,12244
5386,12420
2215,12420
5916,12380
1686,12442
2745,12380
2743,12442
2745,12386
1687,12420
2743,12457
2743,12456
2743,12459
2743,12460
5392,12270
2215,12457
2746,12380
5386,12457
2744,12442
1687,12442
2215,12458
5392,12275
5916,12420
2745,12420
2218,12380
1687,12457
2744,12458
1687,12456
1687,12461
1687,12463
5916,12442
1687,12470
5387,12458
2745,12442
5392,12308
2223,12244
2746,12420
5916,12458
2745,12459
5916,12459
2745,12458
2219,12386
2748,12380
1691,12380
2747,12420
2746,12456
2746,12458
2218,12442
2746,12457
5394,12308
2218,12459
2748,12420
1691,12420
2747,12457
1690,12456
5392,12380
2747,12458
2221,12386
2748,12442
1691,12442
5394,12348
2748,12456
2222,12380
1691,12457
2748,12458
2748,12457
1691,12459
1691,12458
5392,12420
2749,12442
2223,12366
5392,12442
1692,12458
2223,12380
1695,12366
1692,12462
2224,12353
5392,12457
5392,12458
5392,12456
1692,12469
5392,12461
5392,12459
3809,12380
1695,12380
2221,12458
5392,12463
2751,12420
6978,12458
2224,12380
5927,12275
6978,12466
2755,12308
2223,12420
6979,12442
1696,12380
2751,12442
2754,12353
1696,12386
1695,12420
2751,12457
5396,12380
5394,12442
2223,12442
2751,12458
2757,12275
6979,12466
2224,12420
5394,12456
2754,12380
2223,12457
5394,12457
5394,12458
2223,12459
5394,12463
2223,12458
1697,12380
1695,12442
2223,12461
2223,12460
5394,12462
2223,12465
2224,12442
1695,12457
1695,12456
1695,12459
2758,12275
2225,12420
2224,12458
1696,12442
2224,12457
2224,12459
2230,12275
5396,12442
1697,12420
1696,12458
2225,12442
2759,12275
5396,12457
5396,12458
5927,12380
5396,12456
2756,12380
2754,12442
2225,12457
1697,12442
2225,12458
2225,12461
2225,12463
2228,12380
1697,12457
2754,12458
1697,12458
5398,12420
2232,12270
1700,12380
2755,12442
2757,12380
5927,12420
2232,12275
5399,12420
2228,12420
2756,12442
5398,12457
2758,12380
5927,12442
5398,12458
1699,12442
1701,12380
6986,12386
2232,12308
1701,12386
1700,12420
5927,12457
5927,12456
2757,12420
1699,12457
2228,12442
2230,12380
5927,12459
5401,12380
2756,12457
5927,12458
2231,12348
1699,12459
2756,12459
1705,12275
5399,12457
2228,12458
1700,12442
2757,12442
2228,12459
2758,12420
5928,12457
5928,12456
2757,12457
2757,12456
1700,12458
2229,12442
1700,12457
2231,12380
2757,12458
2757,12460
5401,12420
5400,12457
5400,12458
6986,12442
5400,12456
2758,12442
2229,12457
2760,12380
2229,12458
2229,12461
2229,12462
2229,12464
1703,12386
2759,12420
5401,12442
6986,12458
2232,12380
2230,12442
2758,12458
2758,12457
