film_regional_debut_venue_1,film_regional_debut_venue_2
2874,13372
5652,14292
2252,12687
2454,13084
5867,14292
5319,14383
1966,13372
3015,8503
2346,13372
2000,12833
5419,12833
1854,14292
2499,13240
5851,14292
2264,14383
7582,13372
1972,12687
2930,12687
2169,13240
5947,13372
1984,12833
1638,9227
2165,13372
2578,13372
2000,13372
2499,13262
2166,12833
2769,13084
2446,13372
2429,13391
1902,12833
1922,13240
2315,12834
1671,12833
1638,12833
5601,13372
1551,12980
2166,13372
2665,13262
2568,12687
1902,13372
1724,13262
2567,13240
1890,13240
1638,13372
1671,13372
5341,14292
6234,13240
2085,12833
5504,12833
5867,14383
1903,14388
5867,14387
6540,12980
5735,14383
1890,13262
5986,14292
2661,13431
2107,12687
2576,9414
2429,10389
2498,13372
1978,8500
2590,8476
3011,12833
5851,13372
2367,12833
2267,13372
1908,13240
2614,13372
2250,13391
1706,14383
6199,12833
2590,8488
2565,14383
2103,12833
1904,13372
2582,12833
1583,8476
5712,8476
1839,12833
3064,13262
2343,8476
6050,13372
2429,12980
2305,13240
5712,8488
3011,13372
2367,13372
2134,13431
1580,12687
5654,13372
1699,8488
2582,13372
1724,12833
1839,13372
2385,12833
1766,13084
2979,13372
2467,13372
2501,12833
5374,13372
2534,12833
5625,14292
7580,13084
2605,12687
6617,13240
2389,13240
2901,13240
2784,14310
3018,12687
1972,13372
2746,12934
2429,9451
2914,14383
1993,13240
2505,13240
6540,13084
5989,14292
2488,13262
2055,13372
5219,13084
1956,13372
2568,12833
2389,13262
1651,8494
5887,13372
1874,14383
2555,13240
1615,12687
1709,14385
5643,13262
1746,13240
2230,13084
3030,13372
2505,13262
2250,12980
2243,12687
5706,13372
2023,13372
2569,12833
5608,12833
5760,13240
2429,8475
6354,14292
2429,8476
2442,12687
1595,12833
1562,12833
5777,13240
2611,8476
2933,12833
3052,13240
2000,8476
1934,8476
5303,8489
2248,8476
2258,14310
2248,8475
5625,14383
2611,8489
5608,13372
3015,13372
2611,8488
5229,12833
2590,13240
2837,13262
2226,13262
1926,12833
2438,12833
2000,8494
5496,14292
1562,13372
2107,13372
2429,8513
2876,8488
2442,13240
2257,12833
1533,13262
1813,14310
5643,12833
1926,13372
2586,13391
7579,13240
1778,14384
1902,8494
5977,13240
5432,13240
2488,13372
5685,8475
6617,13372
5685,8478
1960,14383
2343,13262
2257,13372
5685,8480
1762,14383
6340,14292
2605,12833
5685,8488
5685,8489
5479,12833
2324,14383
2065,12687
2143,12833
2555,13372
1651,13240
2440,14383
1746,13372
2586,12934
5685,8515
2226,12833
7582,12687
3018,13372
2507,12833
2325,14383
1629,13431
5532,14292
1651,13262
5760,13372
1813,14388
2061,14383
2925,12687
2590,12833
2709,13240
2226,13372
1966,13240
2771,13372
5601,12687
2161,12833
3052,13372
5352,13240
1517,12833
1830,13372
5365,14383
2442,12833
2368,8476
2324,13431
2958,13240
5319,14292
6340,14383
2575,12833
7582,13262
1609,13084
2165,13262
2364,13240
2881,8476
6209,12833
2875,14305
6572,14383
2429,9700
2277,13391
1816,12833
6572,14387
2865,8476
5680,13372
1651,12833
2575,13372
6279,13240
2865,8480
1577,8475
2443,13372
2023,8475
1577,8476
2460,14383
2023,8476
5686,12687
2166,13262
2623,10361
5948,14292
1800,12833
1759,13084
1902,13262
1551,13391
5565,13372
2415,13240
5615,13372
2865,8511
1800,13372
2881,11605
2758,13372
5471,13240
2048,13372
2643,14383
2726,12833
3039,13372
2267,13240
