film_release_distribution_medium_1,film_release_distribution_medium_2
6199,7576
5274,7577
2103,7576
3028,7576
1971,7576
2896,7576
1839,7576
2764,7576
5803,7576
1707,7576
2632,7576
1575,7576
2368,7576
2368,7578
2236,7576
2104,7576
1972,7576
3029,7576
1840,7576
2897,7576
1708,7576
1708,7578
5804,7576
2501,7576
2369,7576
5408,7576
2237,7576
5276,7576
3030,7576
1973,7576
2898,7576
1841,7576
2766,7576
1709,7576
2634,7576
1577,7576
2502,7576
2238,7576
1974,7576
3031,7576
1842,7576
2899,7576
1710,7576
2767,7576
5674,7576
1578,7576
2635,7576
5542,7576
1578,7578
6203,7576
2107,7576
3032,7576
1975,7576
2900,7576
1843,7576
2768,7576
2636,7576
1579,7576
2504,7576
5411,7576
2372,7576
2240,7576
2108,7576
1976,7576
1844,7576
2901,7576
2901,7578
1844,7577
2769,7576
1712,7576
2568,1521
2637,7576
1580,7576
2505,7576
5544,7576
2373,7576
2241,7576
5280,7576
2109,7576
3034,7576
1977,7576
2902,7576
6073,7576
2770,7576
1713,7576
5809,7576
2638,7576
2506,7576
2305,1521
5545,7576
2374,7576
6338,7576
2242,7576
5413,7576
5281,7576
3035,7576
1846,7576
5810,7576
2771,7576
1714,7576
2639,7576
5546,7576
2375,7576
2243,7576
2111,7576
3036,7576
1979,7576
1778,1521
2904,7576
1847,7576
5811,7576
1715,7576
2640,7576
2508,7576
2376,7576
2244,7576
2112,7576
1848,7576
2905,7576
1716,7576
2773,7576
2641,7576
1584,7576
2440,1521
2509,7576
5548,7576
2377,7576
2245,7576
2113,7576
3038,7576
6209,7576
2837,1521
1981,7576
2906,7576
1849,7576
2774,7576
1717,7576
2642,7576
2510,7576
2378,7576
2246,7576
5417,7576
2114,7576
1982,7576
1850,7576
2907,7576
2775,7577
2775,7576
1718,7576
2643,7576
1586,7576
2511,7576
2379,7576
6274,1521
2247,7576
6211,7577
6211,7576
3040,7576
5947,7576
2908,7576
1851,7576
2776,7576
2575,1521
1719,7576
5683,7576
1587,7576
5551,7576
2512,7576
2380,7576
5419,7576
5419,7577
2248,7576
2116,7576
1984,7576
3041,7576
1852,7576
2909,7576
5948,7576
5816,7577
2777,7576
5816,7576
2645,7576
2513,7576
2381,7576
2249,7576
5288,7576
3042,7576
1985,7576
2910,7576
6081,7576
1853,7576
2778,7576
5949,7576
2646,7576
2514,7576
5685,7576
2382,7576
5421,7576
2250,7576
6214,7576
2118,7576
6082,7576
1986,7576
6214,7577
3043,7576
1785,1521
2911,7576
5818,7576
2779,7576
1722,7576
2578,1521
5686,7576
1590,7576
2647,7576
2515,7576
5485,1521
2383,7576
2119,7576
3044,7576
1987,7576
2912,7576
1855,7576
2780,7576
2648,7576
1522,1521
2516,7576
2384,7576
2252,7576
2252,7578
2120,7576
1988,7576
3045,7576
2913,7576
2781,7576
5820,7576
1592,7576
1460,7576
2517,7576
5424,7576
2253,7576
2121,7576
3046,7576
1989,7576
2914,7576
2914,7578
2782,7576
5821,7576
1725,7578
2650,7576
5821,7577
1593,7576
5689,7576
2518,7576
2386,7576
2254,7576
2122,7576
1990,7576
3047,7576
1858,7576
2915,7576
1726,7576
2783,7576
1594,7576
2651,7576
2519,7576
405,7576
5426,7576
2387,7576
5294,7576
2255,7576
2123,7576
3048,7576
1991,7576
2916,7576
802,7576
1859,7576
2784,7576
1727,7576
5691,7576
2652,7576
2520,7576
2388,7576
2256,7576
2124,7576
6019,1521
3049,7576
1860,7576
2917,7576
2785,7576
1728,7576
1728,7577
1596,7576
2653,7576
5692,7576
2521,7576
6617,7576
5560,7576
2389,7576
5428,7576
2257,7576
2125,7576
3050,7576
2918,7576
1861,7576
5957,7576
1660,1521
2786,7576
1729,7576
2654,7576
1597,7576
2522,7576
5693,7576
5561,7576
