film_sets_designed_1,film_sets_designed_2
3771,6557
3771,6044
3654,1737
3816,2096
7036,1605
3790,1879
6847,2349
6847,2603
3415,2244
3433,2457
3816,2359
3433,1688
3774,1872
3214,3873
6918,1690
3753,1758
6847,2359
7036,2388
6839,2606
3790,5738
3202,6557
3821,5803
3816,2374
3790,6254
3790,2925
3433,5803
4049,2579
6918,2734
3790,2948
6821,2175
3167,5878
3790,6280
6948,2843
3433,1737
3771,6362
3816,5738
3214,5711
3654,2567
3167,1538
3214,2897
3816,6254
3816,2925
3654,2830
3214,1624
3771,1764
6854,2196
3790,6302
3167,2830
3433,2010
3771,2031
3771,1776
4179,2188
3816,2948
3167,2843
6808,2357
3816,6280
3415,2070
4179,5273
6821,5545
3202,2535
3816,6029
3821,1780
3774,5288
3214,2423
3415,5669
3433,6134
6847,6030
3167,5938
3816,6302
3167,6196
6918,5380
3415,2866
3433,2567
3816,1708
3433,2317
3214,1683
3821,2578
3774,2246
3821,6166
3771,2602
3774,5330
3821,2081
6854,1756
3774,1748
3167,6228
3167,2391
6918,2334
3790,1768
3202,2332
6847,1719
3654,2145
3753,1895
3790,2540
6918,1574
3214,2992
3202,5669
3167,2917
3771,5440
6854,3049
6835,6203
6918,1844
6854,2551
3821,5695
6835,2632
6847,2515
3771,6225
3214,2502
3790,2567
6847,1756
3433,2377
3821,2640
8442,1723
6835,5975
3790,2838
3433,6228
6835,1632
3790,2843
3415,2183
3753,1688
6847,2030
3790,6177
3654,2457
6808,1708
3821,5730
3433,2145
3771,1914
6918,2410
6808,2244
3771,2953
3816,2838
3821,2682
3790,2118
3202,1914
3433,6272
3816,6177
6854,2628
