films_1,films_2
14034,2264
14052,1706
13084,3039
3743,5888
3306,3051
13172,8501
12593,1872
3998,6178
14033,2298
3192,2503
7042,1938
3192,2506
3192,2508
13541,5271
12189,2137
8473,2644
8473,2645
3998,2104
13109,2288
12995,1724
12593,5995
3306,3080
12980,2202
14384,7825
7151,2675
13641,2185
14036,2241
14384,7833
3192,2531
14310,1936
3855,6557
14305,2088
13630,2547
13923,1656
14052,1754
3192,2537
14034,2310
13373,2316
12593,1920
14034,2317
14039,2161
12840,2463
14040,2138
3192,2563
3192,2566
14386,7802
12980,2250
12834,2678
3735,2122
3998,2164
3855,2501
3192,2578
14305,6234
7042,2015
7835,2008
14312,1922
14028,2554
14310,2004
13352,3027
12593,1981
14049,1898
14053,1772
3855,2535
14039,2228
14292,2578
3192,2611
13752,2930
14384,7911
3743,1916
13806,5363
14305,6279
14028,2575
3743,1920
6926,1556
3192,2620
14049,1923
14030,2523
8478,2602
13541,5400
12593,2020
3192,2640
13414,5252
3743,1942
14039,2258
14029,2568
3855,2572
4013,1770
3192,2648
14030,2547
12593,2036
6629,2596
14386,3795
14040,2231
13541,5413
3743,1959
12980,2338
3855,2585
14042,2181
14032,2491
3192,2660
13104,2583
12173,2785
14046,6164
3192,2666
3192,2665
13752,2988
14310,2084
3192,2673
12189,2298
3855,2602
3192,2675
8510,5750
13109,2444
12593,2056
3192,2682
13391,1902
3192,2685
14040,2278
14029,2626
13630,2707
14032,2534
13104,2628
13752,3020
12593,2085
13414,5301
3855,2628
13414,5302
13638,2467
13923,1822
14030,2600
3192,2709
13621,3002
3743,6110
3855,2638
1769,1770
13630,2719
14034,2483
13630,2717
12189,2345
3192,2719
3192,2722
14029,2648
13752,3041
12573,2726
13542,5467
3192,2728
12976,2531
3192,2731
14048,2063
13923,1842
3192,2736
4013,1863
3192,2742
3855,2669
14032,2582
14386,3894
3192,2748
13630,2764
13109,2528
14034,2525
13094,2993
13777,2298
12980,2429
3192,2760
14036,2471
3192,2761
13541,5527
13544,5432
7835,2190
6807,5392
3743,2072
51,5935
14304,2359
12980,6540
1739,2763
14304,2374
13777,2322
12840,2710
3855,2713
14036,2495
13803,1526
1625,2211
14030,2679
14028,2741
14049,2091
14028,2742
13758,2918
3192,2792
14056,1886
13540,5592
13934,1570
12995,2016
3998,2389
12976,2611
8473,2943
14039,2427
12327,2246
3192,2818
13539,1549
3743,2126
12995,6132
13797,1751
3743,2132
9284,2399
13414,5442
13540,1534
14034,2601
12980,6617
12995,2055
13630,2850
13923,1957
12189,2462
3855,2772
13803,1579
13796,1810
14310,2258
3192,2851
3192,2854
13797,1772
12593,2244
13803,1599
14310,2275
14384,4078
14312,2214
12593,2253
8473,2993
13929,1792
14029,2788
13373,2645
13716,217
12593,2258
3192,2875
3855,2804
13109,2657
14043,2375
14309,2321
3192,2886
12189,2503
13803,5715
14384,4102
4126,2606
3775,5301
14384,8205
13543,5601
12980,2586
13542,1545
3855,2832
4291,1606
3192,2911
7042,2347
14037,2595
13104,2846
14029,2839
13540,1624
13797,1846
8105,2172
13539,1664
3192,2929
3998,2519
7058,1865
12834,3038
6949,5250
14032,2762
3192,2934
7081,5252
3192,2936
4013,2060
14028,2898
4126,2653
9840,5750
4013,2064
3855,2866
7589,1802
13084,7582
13084,7580
14031,2812
6949,5261
3735,2501
13925,6093
13542,1596
12834,3064
14028,2911
14030,2850
3192,2956
6926,1891
1625,2381
4291,5751
7844,2103
3743,2263
3192,2961
6927,1873
13545,1516
7042,2405
2031,2103
12980,2658
13543,5680
