films_art_directed_1,films_art_directed_2
6833,3037
3166,5868
3694,1538
3166,6134
3268,2459
7014,5384
3770,6362
3580,3037
3398,2535
3243,1711
3244,2960
7936,2918
3770,1764
6846,1648
3166,2830
3770,1776
4065,6196
3770,2031
3770,2804
4190,2838
6948,2843
3579,2838
3580,5882
3244,1708
4065,1605
3579,6177
3201,2535
4190,6177
3580,3074
7031,2591
4178,5273
3770,5635
6948,2603
4190,2096
3398,2332
4190,2359
4065,5730
3770,2332
4065,2917
3166,2628
4190,2374
3398,2866
3580,6184
3243,2551
3981,2970
3773,2506
3770,2602
8234,2459
7014,1879
6835,2562
3166,6228
3243,5890
3166,2391
3201,2332
3166,2145
3770,5440
6846,3014
6948,1648
4285,3049
4190,5738
6835,2078
3579,5738
3268,5654
4065,5776
4190,6254
4178,2792
3770,6225
7909,1564
4065,2461
3201,5440
4285,2303
3580,2910
3166,6272
3268,5925
7014,2188
3268,2855
4190,2948
4190,6280
3243,6199
4190,6029
3580,2925
3579,6030
6833,6280
3432,2145
3243,2119
3166,2457
6833,6029
3770,1914
4035,2917
3579,6302
3166,2214
4190,1708
3244,6199
3770,2953
3580,6030
7014,5820
3244,2374
3201,1914
6835,2159
3580,6302
3770,6044
3770,6557
8234,1810
3166,1737
4065,2540
3243,2171
3268,1908
6846,2606
3432,2457
4190,5587
4190,2515
4065,5878
3579,2515
3579,5587
3268,2174
3398,2244
