films_casting_directed_1,films_casting_directed_2
3761,345
3945,6161
7653,2961
7653,2448
7653,1691
3945,1948
3644,1551
7653,2972
7653,1699
7653,2466
3945,2342
3945,1707
7653,2980
3644,2080
3644,2847
7653,2994
3945,2875
7653,2105
6181,2943
3945,1730
7653,1596
3644,1724
3644,2110
3945,1995
3945,1617
3644,1603
3945,2002
7653,1747
7653,2387
3945,2523
3945,1882
3945,2906
3945,1629
3945,2658
7653,1891
7653,2531
3644,2519
3945,2151
3945,1766
3945,2793
7653,2020
3644,1890
3945,2929
7653,2158
3945,2805
3945,2420
3945,5620
7653,1653
3945,2431
3945,2435
3644,1912
