films_in_this_genre_1,films_in_this_genre_2
12574,2468
12563,2809
2018,2019
12593,1872
12577,2383
12474,5576
12555,3062
12556,3032
12562,2843
12474,5571
12555,3072
12580,2293
12559,2942
12559,2956
12474,5589
12567,2705
2007,2393
12556,3056
12580,2322
12474,5603
12581,2287
1509,1460
12591,1984
12591,1985
2007,2415
12474,5621
12474,5618
12559,2992
12564,2843
1509,1494
12560,2988
12574,2551
12577,2456
12570,2674
12573,2594
1509,1510
12585,2221
1509,1512
1509,1513
1509,1514
12594,1952
1509,1517
1530,867
1509,1519
1509,1520
1509,1522
12474,5666
1509,1524
1509,1527
1509,1532
1509,1533
12581,2368
1509,1535
12474,5683
1509,1537
1509,1538
1509,1539
12573,2613
1509,1540
1509,1542
12569,2749
1509,1544
12474,5689
12580,2404
1509,1548
1509,1549
1509,1550
1509,1551
1509,1552
1509,1553
1509,1555
1509,1556
12571,2705
1509,1558
12590,2114
1509,1562
1509,1563
12592,2048
1509,1564
1509,1565
12561,3020
1509,1567
1509,1570
1509,1572
1509,1573
1511,1512
12567,2843
1509,1575
1509,1577
1509,1578
12474,5721
1509,1579
1509,1580
1511,1519
1511,1520
1509,1582
1509,1583
1509,1584
1509,1586
1509,1592
1509,1593
1509,1594
1509,1595
12561,3041
1509,1597
12570,2774
1509,1600
1511,1538
1511,1539
1509,1602
1511,1540
1509,1603
1509,1604
1509,1605
1509,1606
1509,1607
1509,1609
1509,1610
1511,1549
1509,1613
1509,1614
1509,1615
1511,1555
1509,1617
1511,1556
12584,2351
1511,1558
1509,1621
1509,1622
2007,2571
1511,1563
1509,1626
1509,1627
1543,573
1509,1628
1509,1629
1509,1630
12474,5779
1509,1632
1509,1633
1509,1634
1509,1635
1509,1636
1511,1575
1509,1638
12574,2690
1509,1641
1509,1642
12575,2668
1515,1460
1509,1646
1511,1586
1509,1649
1509,1651
12570,2818
1509,1652
1509,1654
1511,1593
1509,1656
1511,1594
12574,2703
1509,1657
1509,1658
1509,1659
1509,1660
1511,1599
1509,1661
1511,1600
1509,1662
1509,1666
1509,1669
12566,2972
1509,1670
1509,1671
1509,1672
1509,1673
12586,2348
1509,1675
1509,1676
12474,5832
1509,1677
1509,1678
1509,1680
1509,1681
1509,1683
12573,2770
1509,1686
1509,1687
1509,1688
1543,636
1509,1691
12571,2840
1509,1694
1511,1632
1511,1633
1511,1634
1509,1696
1511,1635
1509,1697
1509,1698
1509,1699
1509,1700
12592,2198
1509,1702
1515,1516
12585,2412
1511,1641
1509,1703
12569,2906
1511,1642
1509,1707
1511,1646
1509,1709
1509,1710
1511,1649
1509,1711
2007,2656
1509,1712
1509,1713
1509,1714
1509,1715
1509,1716
1509,1717
1511,1656
2007,2664
1509,1719
1515,1535
1509,1721
1511,1659
1509,1722
1509,1723
1509,1724
12567,2997
12569,2935
1511,1664
1509,1726
1509,1727
1509,1730
1509,1731
1509,1734
1511,1672
1509,1737
1509,1740
1511,1680
1509,1743
12581,2573
1509,1748
1511,1686
1511,1687
1509,1751
1509,1752
1509,1753
1509,1755
1509,1756
1509,1757
1509,1758
1509,1759
1511,1698
1515,1574
1509,1760
1511,1699
1509,1763
12579,2664
1509,1765
1509,1766
12574,2817
1509,1767
1509,1768
1511,1707
