films_production_designed_1,films_production_designed_2
7936,5954
3213,1837
6835,5785
6499,2377
3432,5803
8469,2248
6834,2244
7742,2768
6835,1699
8418,1778
7742,2258
3244,1921
7734,2512
3773,2423
3268,2208
6821,2144
7909,2215
4049,2579
8237,1772
3244,1933
3213,1872
4049,2582
6499,2924
8469,2785
7657,1841
3268,5294
7657,1846
12130,1943
6499,2930
3773,1934
8469,2276
7742,5363
7909,2233
8234,2397
3773,2967
6948,2843
3243,2505
6835,1747
5455,2036
6835,5337
7936,2949
7742,2818
3244,2486
8469,2312
7734,3080
6917,2806
5455,2562
3268,2269
8442,2136
6835,2803
6835,2807
3213,2455
7014,1879
7936,1968
5455,1574
7742,1852
8234,2470
6835,5906
6835,5398
8442,2684
7909,2323
3166,5994
7742,1868
7936,3021
7936,5590
3244,1537
5455,2632
6821,1758
8234,1987
7936,5598
7936,3041
3773,2049
8442,2202
5455,5715
6835,2878
8418,2962
7909,2873
7909,1849
8264,2628
5455,6261
6917,2410
8442,1723
8234,2043
8442,1743
3244,2624
6917,2424
8418,2493
3773,5686
8469,5518
3244,1613
7909,2408
8469,2967
3213,6166
8469,2979
7734,2212
6821,2865
8234,1567
8442,2293
8469,2482
7734,1709
3773,1630
7734,1722
7936,2634
5455,2745
7742,2503
8264,2196
8234,2620
3244,2171
8442,2839
8418,2048
3773,2169
6499,2143
8418,2555
8234,2629
3244,2192
8442,2330
5455,2261
6835,2998
7936,2659
4190,3079
3398,2031
7936,5234
7742,1524
7657,1601
6917,3036
3244,2728
7936,2173
6835,6094
5455,5873
8469,2557
3244,2748
6499,1688
6834,3077
7909,3039
3213,1670
8234,1665
7936,1694
5455,2828
7936,5275
3432,2567
7742,2084
8234,5774
8234,2706
6834,2590
8237,2112
3773,5330
3773,1748
3773,2265
3213,5288
7909,2561
8469,2100
7936,2760
8237,2138
7742,1614
12130,1784
7742,5709
7936,2262
8234,2240
7909,2073
8469,2631
6931,5261
3201,1595
8234,1734
7936,5344
3166,2175
7742,1634
6835,5693
5455,5975
8234,1752
6834,1632
7936,2796
4049,5533
3213,2268
5455,2916
4004,5400
5455,2402
3213,1768
7936,5380
8234,2798
8234,1774
7657,1750
7909,2135
3244,2366
7014,5820
6499,2331
7734,1937
7742,2201
7909,2151
8234,2827
8442,2528
6917,1683
3432,1690
8234,2336
3213,3873
8234,2856
7657,2310
