follows_diet_1,follows_diet_2
753,14352
7822,14352
1360,14352
1488,14352
3863,14329
312,14329
5489,14352
270,14352
5812,14329
4214,14329
3594,14352
465,14329
4329,14352
7017,14352
3553,14352
6089,14329
5312,14352
3706,14352
5829,14329
6783,14329
7670,14352
6176,14329
1089,14329
535,14352
540,14329
1436,14329
944,14352
5623,14329
6663,14352
3145,14352
8393,14352
5218,14352
1420,14329
3084,14329
11911,14352
4260,14352
4104,14329
7902,14352
7048,14329
6783,14352
3674,14352
3740,14352
1057,14329
4290,14329
3381,14352
4059,14329
1404,14329
11862,14352
3997,14329
3187,14352
1457,14352
7028,14329
3861,14329
809,14352
781,14329
11942,14329
702,14352
1086,14352
996,14329
3329,14329
4064,14329
1153,14329
7842,14329
3804,14329
8226,14329
6108,14329
3221,14352
1074,14352
5934,14352
1041,14352
3473,14352
1240,14329
3127,14329
4250,14329
3370,14352
8792,14329
658,14329
4039,14352
1384,14352
6187,14329
6723,14352
3845,14352
11942,14352
7813,14352
1195,14329
1438,14352
423,14329
4250,14352
472,14352
3862,14352
704,14329
5369,14352
7925,14352
