friend_1,friend_2
8148,3989
3127,3478
5378,8452
4064,6176
6207,1183
715,1456
3370,3119
3370,559
3916,6168
925,5704
982,1378
3338,535
3184,5824
8152,3370
3412,3363
1298,292
3727,3328
753,3363
925,6224
5704,925
918,3370
8152,3371
5378,1302
5841,3338
5812,3725
1298,1322
3351,3728
783,3978
3892,783
1298,1329
3530,5866
3370,3145
6042,5824
5510,3370
3906,1386
3326,7079
7609,768
292,1298
3689,7609
3917,1052
1183,3377
1383,251
4115,555
8452,5378
5824,5441
3095,7609
925,6271
991,1157
3728,3351
3086,7893
3725,6013
5318,5782
3363,3412
4115,5704
7994,3728
5824,5462
8452,1312
3728,5420
3725,7048
3564,3338
3412,1393
5473,3552
1456,594
3478,3450
212,251
3728,7994
5475,1456
1141,1153
3989,416
1302,5378
3218,5378
1041,5793
1379,1459
1030,5623
1052,3917
6013,3725
1378,982
5704,4094
7964,8272
3181,3463
768,7609
1298,1419
4053,4081
3651,1183
3370,677
1041,3251
4094,8452
3412,3994
1021,3362
3978,783
920,1375
8272,7964
803,3467
4307,5950
5704,4115
3416,3370
5649,5824
3478,4008
8215,4106
5824,6042
559,3370
3119,3370
1298,1456
7609,3450
3989,8148
753,947
5420,3728
1419,1298
4008,3478
3363,947
5824,8114
5623,1030
5782,5318
1312,4115
4215,3728
3467,803
4301,5668
3994,3412
3264,7609
1021,3416
3599,3370
6271,925
594,1298
3370,5356
3728,3478
3778,3463
792,5407
3338,5841
3740,549
3740,7720
292,1456
5824,3538
5704,5217
549,3740
1386,3906
1456,715
3362,1021
3338,5866
6879,549
3370,270
677,3370
5668,4301
1322,1298
3724,3127
796,1225
3538,5824
3127,3724
3318,1390
251,212
7079,4094
7644,925
4250,1183
5704,6285
4124,3552
555,4115
1390,3318
4106,8215
8114,5824
6224,925
5824,5649
5950,4307
314,3917
3297,3095
5762,3478
549,6879
3450,3478
1021,7609
5782,5940
6285,5704
3478,3127
5866,3338
1456,1298
7609,1021
3251,7609
4094,7079
251,770
7951,3740
3370,3416
4115,1312
3989,5220
1225,796
1456,292
7720,3740
6346,5378
1456,1322
824,4018
7609,3095
8452,4094
1183,6207
1298,594
3450,7609
3552,5473
1183,3651
5378,5704
3377,1183
3917,314
1456,5950
3328,3727
1375,7951
5793,1041
6308,7609
6010,6097
3370,5510
792,5558
594,1456
947,753
5441,5824
270,753
3416,1021
715,1298
3370,3474
3095,3297
3478,5762
3370,918
5233,1021
7073,5420
5220,3989
5824,3184
1456,5475
5805,5824
5704,5378
3478,3728
1378,3293
5356,3370
3251,1041
5704,8452
8452,5704
6176,4064
3463,3181
4018,824
1322,1456
6097,6010
3725,5812
251,1383
5378,6285
947,3363
7609,3689
5378,3218
535,3338
5407,792
3532,5668
3474,3370
7893,3086
3355,3989
1183,4250
270,3370
925,7644
5940,5782
783,1298
1312,8452
3728,4215
5824,5805
3370,8152
5420,7073
3740,7951
416,3989
1298,715
1157,991
1329,1298
3145,3370
535,7994
1393,3412
7048,3725
783,3892
4081,4053
4094,5704
5217,5704
5378,6346
3371,8152
7609,6308
1459,1379
6285,5378
1153,1141
1021,5233
7609,3251
1375,920
7994,535
3463,3778
5558,792
3338,3564
5866,3530
3989,3355
3293,1378
3370,3599
5462,5824
7609,3264
5668,3532
3363,753
5950,1456
7073,4018
7951,1375
4018,7073
6168,3916
770,251
7079,3326
3552,4124
1298,783
753,270
