geographic_distribution_1,geographic_distribution_2
11881,141
14607,117
14609,5174
11931,126
14606,141
14607,110
11826,51
11859,5172
11876,50
11893,29
11868,5156
14609,5177
11868,5157
14607,132
14606,164
11872,176
11872,175
11876,51
14607,126
14607,127
14607,141
11841,127
11872,183
14606,166
14609,5206
14607,149
11872,198
11851,75
11827,51
11872,192
11845,17
11966,108
14606,183
11876,78
11845,14
11876,90
11844,51
11845,33
14607,170
11836,51
14606,198
14607,176
11828,51
11940,166
11893,86
11845,51
11876,110
11845,47
11920,8484
11837,51
11928,51
11846,5150
11854,51
11836,97
11893,117
11865,5095
11875,170
11865,5090
11872,6671
11863,51
11896,51
11918,10633
14606,12
11872,6683
11872,29
11830,51
11893,141
14607,6632
11845,104
11918,10385
11851,9137
11872,38
11865,5119
11865,5118
11865,5112
11836,126
14606,6683
11876,178
11845,114
14606,23
11913,51
11872,41
14606,35
11872,51
11872,54
11931,17
14607,3
11845,116
11856,8482
14607,12
11893,176
11893,175
11845,126
14606,51
11845,136
14606,1585
11865,5150
11865,5145
11865,5156
14607,29
11869,166
11865,5164
11872,86
14607,35
14606,61
11832,51
11841,6684
11865,5175
11838,118
14607,41
11845,169
14607,51
11865,5182
14606,78
11872,97
14607,61
14606,92
14607,58
11865,5187
14607,54
14606,86
11841,52
14607,66
11872,117
11896,135
11920,9375
14607,76
14606,108
14607,77
14607,75
11950,9227
14608,41
11833,51
14607,71
11893,9467
11872,127
14607,78
11825,51
14606,110
11940,6725
14607,6734
14607,92
11872,141
11883,51
14607,86
14606,117
11872,138
14606,132
14607,108
11841,95
14606,138
11848,127
11931,117
