geographic_scope_1,geographic_scope_2
12751,51
12721,82
14734,141
9463,9187
6731,51
12784,14011
14739,127
14634,51
14636,117
14333,51
13184,5203
6649,51
14742,179
13105,108
13268,176
12938,166
13200,108
13181,54
13253,127
12731,51
12706,8762
9463,9467
13140,8762
6641,9137
13001,141
13332,117
9463,9207
6758,9226
6637,9137
14736,6767
13257,9
14743,23
13344,141
14740,127
13030,141
14637,117
13184,117
14530,117
13330,6725
14745,108
14735,35
13060,117
6757,8762
14736,127
12861,141
12973,125
14340,6655
13209,117
13424,117
14633,141
13244,61
13393,51
6792,141
14638,117
13224,176
12813,117
12873,61
13183,51
13243,108
13446,86
13059,51
6713,51
14744,179
6627,13338
6649,117
13289,108
13308,29
13328,176
14738,127
13300,170
14737,164
13173,9
13188,51
13002,8762
6631,8762
13103,141
14741,179
14335,90
6695,127
13139,175
13345,8762
11316,11755
7160,51
13364,108
