guilty_of_1,guilty_of_2
13934,14643
13934,14644
13934,14450
14450,14644
13420,13934
13420,14059
14644,14643
1231,14645
12309,14645
13420,14645
1351,14645
14645,14059
5773,14463
261,14645
4237,14463
13934,13952
3740,14645
8292,14463
5367,14641
14643,13934
4157,14645
3928,14645
14645,13420
14059,13934
14059,13420
14643,14644
3513,14463
5233,14645
7073,14059
13952,13934
6796,14645
13952,14059
14059,14645
1288,14645
14059,13952
549,14645
13723,14641
7746,14645
14644,14450
13934,14059
13934,13420
5626,14644
14450,13934
14644,13934
