hud_county_place_1,hud_county_place_2
10069,9977
9371,9601
9506,9505
11698,11698
10050,10049
10437,9828
10642,10641
10666,10934
9805,9465
9915,10151
11150,11292
9326,9976
9809,9863
10528,11125
9371,10123
10224,9793
9935,11073
9295,10954
10682,9425
10650,9905
9371,10132
9809,9354
9534,9697
11403,11664
10163,10162
10099,10098
11059,11059
10371,10370
10838,10741
9246,11454
10843,9564
10237,10955
10099,11649
10630,11566
11269,11212
10480,10586
10120,10994
9165,10403
9246,9933
11565,9724
9588,10091
9266,9323
11086,10248
9170,9238
9591,9500
9986,11592
10338,9895
10843,11136
9540,9539
10068,10067
10598,11046
10313,11176
10660,10659
11300,11299
11037,10239
10012,10270
10309,10289
9371,10698
9462,10951
10414,10623
11493,11478
10516,10543
9865,9221
11285,11283
11150,10347
9935,10119
9935,10632
10222,10440
10149,9129
9534,9763
10485,10484
11696,11346
11449,9786
9839,10033
10240,10924
9935,10651
9949,9193
10337,9966
9165,10459
11503,10681
10178,10796
10817,11476
9815,9771
10642,10242
9371,9196
9689,11124
10968,10899
10212,10271
10950,10948
10776,11217
10760,10188
11548,9314
11552,11238
9181,9987
10923,9744
9302,9301
9865,10792
9462,9461
9935,11183
10838,10837
9377,8513
10630,10629
10582,10581
9588,9665
11306,10680
9192,11701
9371,9737
10464,10664
9548,11413
10068,10141
9483,10869
10745,9645
9574,11130
11608,10539
9369,11342
9834,9211
11723,10557
9170,9325
9483,11399
9865,10822
9371,10265
11578,9426
11782,10784
9767,9766
10743,10743
9607,9606
9181,10524
9783,9783
9239,9239
11242,10124
11449,10362
9805,10136
9371,9252
10414,9700
10400,9616
9935,9695
10485,11079
10529,9208
9935,10216
10547,10189
10050,9723
10408,10408
10552,10552
9384,9383
10520,10519
10012,10920
9534,10892
10400,11181
10916,11569
11027,9659
10259,10938
10480,9722
10867,8476
9462,10057
9371,10319
10968,10990
11758,11582
9371,10315
10068,10725
9371,9292
10012,10926
9600,11410
10564,10208
9344,9628
9574,9155
9371,11348
10369,9594
9165,10064
9861,9993
11065,11065
10361,10361
9241,9240
10222,8525
9865,9864
10969,10969
9689,9688
9529,9528
9225,9225
10425,10424
10873,10872
10916,11587
9600,11425
11562,11020
9644,8526
11288,10809
11347,9502
9590,9186
11233,11496
9911,9984
10419,10108
10400,9161
9384,10962
10155,10101
9676,11650
10582,9682
11695,9994
9590,9203
10369,10655
11509,10639
11584,9850
11300,10984
10550,10169
11432,10987
10052,11267
11490,10210
9626,9625
9590,10229
9642,9641
10618,10617
9226,9226
10485,10646
9165,10625
10502,10140
9590,10245
9543,9657
10377,11461
11508,11215
10467,9691
9865,10433
9574,11263
10485,10168
11163,11163
10582,9718
11643,11643
9611,9610
9563,9562
9339,9338
10395,10395
9803,9802
9451,9451
10731,10730
9588,9813
9371,9382
9580,10583
11562,11093
10761,10327
10745,9799
11456,9261
10485,10173
9563,10596
9862,10553
9935,9826
10467,10227
10598,9752
9371,10423
10485,10707
11770,10290
10052,9275
9803,9322
9548,9547
9244,9243
10012,10011
10076,10075
9363,9650
9692,9692
10412,10411
9834,10422
10259,10048
9170,9497
10582,10782
9371,11459
9563,9604
11603,10887
11103,9493
11377,11239
9834,10438
9165,9162
9333,9587
9574,10814
11195,9714
9860,10653
10963,10764
9181,9180
9949,9948
9757,9756
11069,11069
9309,9308
11613,11613
11037,11036
10349,10348
10605,10604
11246,9168
10190,9147
11766,9963
9843,10691
9244,10316
10967,11699
10084,9376
10630,11390
9865,10019
9192,9387
10226,10614
9803,11440
11534,11534
9854,9853
9406,9405
9246,9245
10733,9740
10590,10589
10827,9389
10068,10389
11645,11688
11210,10324
9574,9337
9371,10007
10233,10929
9192,10434
9165,9232
9582,11667
10127,11157
9887,9886
9295,9294
9935,9934
9231,9230
9371,8475
11223,9945
10419,9780
9312,10318
10693,9490
10485,10818
9128,9885
11024,9472
9600,11121
9563,9719
9377,10365
10868,9713
10642,11081
11265,11224
9398,9199
9165,10279
10816,9283
10412,9519
10068,9433
9538,9991
9626,10336
10817,11302
9424,9423
9184,9183
10400,10399
10528,10527
11138,11588
10582,9367
10504,9236
10503,9779
10073,9797
10613,9437
9865,11123
11119,10148
11516,10129
9371,10570
10419,10351
10767,9293
9377,9881
9590,10448
10412,9541
11490,11451
9165,10832
10620,10273
11169,10150
10241,10241
9921,9920
11201,11201
9809,9808
11745,11745
10705,10704
10068,10997
9834,8533
9371,9577
10137,10401
11431,10235
10222,9827
11261,10893
11253,11153
11742,11353
10966,10836
10715,11448
9246,11415
