impersonated_by_1,impersonated_by_2
3827,1235
3096,1112
8078,1296
5412,4326
6899,1235
6220,1296
5287,1296
7814,1296
646,1296
5634,1296
6139,4326
5956,1296
1028,1235
4086,6024
3928,3754
5857,1296
6939,1296
6237,1296
1018,1296
475,1235
3892,1296
8072,4326
3976,4326
4301,6024
6741,1296
5263,1296
3537,1296
5830,5224
5296,1296
8170,1296
5610,1296
5891,1296
5412,1296
5759,1296
961,1296
12093,1296
4033,1296
6048,1296
14017,1296
1242,1296
3416,1235
3538,1296
5999,1296
3251,1235
5710,1296
5677,1296
3362,5224
3976,1296
3497,1296
5289,1296
3928,4326
3416,4326
7835,5318
3862,4326
6049,1296
6875,1296
4026,1296
6041,1296
1367,1296
7752,4326
6099,1296
7891,1296
4051,1296
3184,1296
8325,6024
5897,6024
3296,6024
1384,1296
5257,1296
4127,4326
8197,1296
3614,1296
6042,1296
476,1296
4316,1296
3928,1296
856,1296
6067,1296
6290,1296
6250,4326
4215,1112
5902,1296
7661,1296
650,1296
394,1296
3623,1296
3674,4326
5722,4326
8289,1296
6072,6024
6266,1296
7835,1296
6076,1296
6167,1296
8917,1296
4086,1296
5296,6024
7794,1296
6291,1296
692,1296
6126,1296
1041,1235
6297,1112
7681,5318
3624,1296
6217,1296
8265,1296
6275,1296
7844,1296
3294,1296
5441,1296
4064,1235
1048,1296
4171,4326
3928,1112
3976,6024
5937,1296
4275,1112
8391,4326
8043,1296
6028,1296
14658,1296
5673,1296
5731,1296
5343,1296
1367,6024
7969,1296
1311,1112
6194,1296
7920,1296
1454,1296
5616,1296
8399,1296
3553,4326
5897,1296
5410,1296
4316,6024
3907,1296
8325,1296
3296,1296
7681,1296
6875,3754
3711,1235
7980,4326
6071,1296
1207,1296
3917,4326
7891,3754
8170,4326
5972,1296
