includes_causes_of_death_1,includes_causes_of_death_2
13333,13946
13333,13178
13950,13956
13929,13967
13333,13944
13950,13954
13950,13951
13333,13942
13019,13948
13333,13236
13926,13926
13333,13941
13950,14348
13934,13945
13950,13962
13333,12929
13926,13935
13019,13957
13950,14350
13950,13979
13950,13977
13952,13019
13950,13975
13333,13260
13333,12876
13950,13974
13333,13972
13950,13932
13952,13934
13333,13149
14639,13957
13950,13491
13950,13939
13333,13163
13333,12712
13019,14639
13952,14641
13954,13491
13950,14640
13333,13415
13333,13938
13929,13957
13950,13495
13950,13493
