influenced_by_1,influenced_by_2
6026,650
12642,12646
8023,8380
7700,6103
7680,6723
3685,3594
8173,11930
3553,7693
11911,6638
9092,8013
3538,8159
7812,6739
3553,7700
7632,12323
7906,7925
6138,5395
8312,7631
7905,7964
8949,4282
3889,5490
12643,12644
12643,12645
12643,12642
8170,3860
14733,13403
8175,11899
3274,8180
12124,8260
6714,8039
7782,7699
8312,7659
5507,402
1310,7631
8333,7010
6988,7739
4062,4238
7905,12087
7906,7957
12644,12642
7893,4270
5922,8031
1235,5870
8037,8007
7911,11911
5772,402
12125,8255
12340,5696
12135,7953
6723,11887
7910,11953
6723,11892
7774,7983
1235,5892
7896,12392
9092,3994
1041,3716
3685,3674
8170,3907
5960,2784
8342,6765
7632,12398
8214,6638
3232,1342
8309,11887
8031,12323
7911,11949
7911,11947
7896,8315
7946,6765
3553,11884
11862,8255
5407,7666
8295,8260
6838,4270
1125,1150
7896,8342
7904,8092
3553,3710
7911,7880
3685,3716
7911,11975
8031,8255
518,3594
8391,5287
5671,3594
8295,8272
7912,11956
6138,5509
8316,7631
8314,7693
7910,7927
11862,12393
7912,11960
5407,7700
908,7903
3674,8173
1150,402
7782,11898
908,7906
6862,3553
7015,7007
7087,8871
8170,8072
3917,650
8314,7700
11884,7631
7782,11911
7998,5214
8315,7680
9092,8170
6759,6765
3553,7844
8137,908
8314,7717
8023,12639
9092,8180
3823,7685
7782,11930
3353,5870
7880,8891
12392,12389
3674,8209
7016,7007
3671,8317
12393,12370
12079,5719
7906,8111
908,7964
5224,1150
12125,8405
5671,3685
6630,6723
7911,7977
7822,6638
6187,8170
7903,12325
1310,11906
8182,11862
7015,7083
899,4169
7015,7088
12392,8342
638,8170
7782,7889
3232,5584
3251,9092
8319,7631
8314,11884
5671,3716
12340,5870
8179,7884
1310,7837
7016,7083
8314,11911
8315,11887
7774,8173
7658,7680
7905,8214
8037,12310
8076,7008
908,8035
1041,8013
8314,11923
8316,11862
11884,7761
3116,1041
8807,8949
8170,8209
8037,12346
12135,8182
8309,8007
3880,6048
8182,11956
3465,2541
7957,6651
6723,8039
8299,8333
7019,7061
1235,6138
3685,8013
8173,8150
908,8092
8285,8780
3889,5796
8315,11947
8316,7822
3293,7893
7906,8256
8314,7889
7795,7605
7643,8218
6335,3716
899,8391
3412,8314
12340,5985
3553,8044
7776,4109
8315,11973
6162,9092
4038,1206
8315,7889
7782,8032
5267,8170
4216,7983
12135,12356
12135,8255
4053,753
8316,11956
6638,2541
8316,7880
7925,7709
1150,650
6736,7709
11862,12639
4077,4127
7905,8342
7828,2541
12135,12389
7643,12370
6739,7632
11884,11973
6862,3824
1052,3716
6735,7767
5679,7739
7024,7008
8312,8039
826,2541
6850,8312
3889,5892
8173,8255
7957,6765
8057,11862
1041,8170
6638,6699
7024,7023
8056,3710
7905,8393
7658,11953
7658,11960
8315,7970
5892,5263
7666,7620
8057,11887
5628,5263
3251,5224
7906,8380
3293,8023
8173,12389
7658,11975
8733,3221
6736,11887
8063,7620
6736,11892
4088,7964
7929,7683
3293,8037
8315,8007
12076,6103
3553,8173
8949,8829
3251,1150
8170,220
11923,6759
8063,7631
12135,8381
7828,6723
908,8256
6138,5870
7699,2541
7795,11853
5786,402
6811,5490
8093,6714
7699,6638
3889,5970
6138,5892
7910,12398
7782,8173
7643,8393
3685,8209
4077,4251
7668,7620
8179,8169
4077,8349
8063,7668
7795,7782
7786,8061
7892,8871
11897,7605
8057,11956
8319,7932
8949,8883
5507,9092
7927,11898
8093,6759
6736,11960
8056,7903
12325,2541
6335,8013
899,402
5684,7718
7008,7631
7911,8316
6736,11973
6845,402
7795,11911
5772,9088
11892,11887
8173,8393
8063,7703
8316,8057
7699,6699
8314,8119
5772,9092
12079,6092
5914,8792
11884,8037
9092,402
7061,6017
8949,8936
5679,7904
7932,7693
7699,6723
7008,7664
11898,7631
7010,7605
7782,8255
11892,11917
8182,8150
8318,8031
8312,12325
8046,8277
7967,2541
3530,826
7703,2541
3522,1079
7927,7889
7795,7883
8333,7594
11897,7703
3553,8314
7795,7889
6739,11953
8949,8972
7007,7739
7782,12389
5679,7957
7795,7905
6736,7970
11900,7632
12095,5679
7666,11911
6075,7983
8315,8182
8314,12310
8063,11899
8312,12370
7666,11923
6862,4077
7013,7594
7883,1102
739,1385
1041,220
499,638
8063,11911
7010,7700
8891,6735
7782,8342
7837,2541
7010,7703
8312,12393
3530,9088
7669,11855
3710,7605
8063,7837
11897,7762
8316,8182
5892,5509
8314,8255
1451,8013
4218,8255
7703,6714
4081,4315
8182,8255
7672,7693
8068,7703
8391,5892
8316,8214
7932,7837
8333,3596
7782,8393
6781,6663
11884,8218
11935,2541
7008,11911
8840,4273
7658,8149
352,5263
8063,7889
8156,908
402,3716
6739,7970
11895,7890
8314,8312
7008,11932
8204,7631
8316,8255
8333,7730
7788,12337
7795,8023
11898,7812
7893,9088
11892,8007
11912,3294
7669,11948
8057,8119
4216,8405
899,638
11900,11862
7666,7953
6783,6663
11900,11887
11898,11951
8068,11898
8316,8312
11884,12393
8104,6687
7912,12639
11897,7889
6086,3716
11898,11956
3889,6286
518,8391
8204,7693
7668,7927
8333,11897
7013,11853
3710,7762
8337,7680
7010,11958
3450,3538
11900,11924
8056,8212
8333,11911
1041,402
3889,6325
5914,9092
8647,6287
6862,4282
3710,11884
3552,402
8370,6696
11900,11953
8318,12398
1457,3909
11900,11960
7795,8141
8057,8214
7013,11911
7670,7932
8316,8393
8068,7890
3685,402
3716,3537
7942,7703
7925,12325
7976,6648
7927,8173
7795,8167
3710,11923
7795,8173
1102,6759
8333,7883
7967,6941
8600,11899
3710,7837
8342,7605
8057,8255
6356,7737
7932,8032
4235,7957
8170,663
7932,8039
3710,11951
7668,12135
8127,6103
3710,11960
402,8013
8240,6696
8342,7631
7019,3596
4077,8780
3635,6103
8295,908
7669,8031
7661,8277
7658,8380
8342,7659
7015,11932
9029,6838
6735,8322
8209,3594
7680,7709
13403,14611
8240,6739
11892,12313
8240,6736
8337,7826
8057,8316
7815,7631
7927,8255
11911,7631
5684,8159
8182,12639
7013,7927
11892,12323
402,8070
8068,3900
5224,6048
8342,7693
3530,5318
7010,8031
8600,7889
3710,7932
7666,8173
8315,12639
7942,11911
8342,7703
3251,5786
6759,7631
3981,7737
8112,6651
1342,3532
7664,12354
7664,8256
1457,4077
8240,6794
7019,7782
5833,3594
1457,4081
8342,7739
8073,7880
11933,7010
6811,6047
6759,7659
7683,7693
8209,3674
5892,5870
8212,7680
8871,3633
8733,3824
7946,7739
8871,3645
5224,6109
6739,12393
8209,3685
7680,11892
8080,7693
7019,11911
7670,8119
7010,8099
8600,7964
8342,11862
11912,3594
7795,8342
8330,8150
1055,8391
7666,8255
6759,7699
1206,7814
6221,12093
7812,11924
8342,11884
8871,3671
8346,7659
1465,3889
8000,6103
7983,2541
7680,7837
816,3532
7946,7782
8342,11887
8063,8256
8063,8255
8342,11899
7666,8273
9002,3721
7015,7984
6662,6638
7932,12323
3752,6739
8063,8273
7927,8393
7946,11899
1106,6850
7946,11898
7812,11956
7683,7762
12093,6221
11911,11862
7812,11960
8342,11911
1034,9088
6335,402
6862,8647
3574,4077
7680,11960
8342,11924
8112,6759
8342,7828
6103,7605
6794,6662
402,8209
8209,7860
7815,7782
7680,11973
5772,5584
6893,7703
4020,6651
8967,8949
7668,8255
7942,7953
6811,6160
11912,3674
7946,7837
8342,11953
7013,8093
12935,12930
8342,11956
816,3594
1342,3674
8342,11951
3530,1385
8083,7700
11897,8255
7815,11911
6759,11878
11949,2541
6662,6698
3710,8099
14731,14611
12935,12956
11911,7837
11912,3716
8342,7889
12804,12930
11897,8273
12804,12935
8057,12639
11898,8255
6794,6736
5892,6026
8214,11862
4020,6714
7683,11949
3594,3537
11911,11956
7946,7889
5628,6026
5786,5224
7024,11899
6335,497
4275,7010
6862,8733
7953,7680
6759,7837
8081,11916
11906,8029
7669,12398
8342,7924
7670,12370
12804,12956
12804,12967
8342,7932
11897,8312
11917,7694
5786,1150
11898,12389
6287,6103
7683,7889
7672,12325
12365,6103
7024,11932
7946,7932
7010,8273
4319,5679
7008,8342
11898,12393
7587,6781
8212,7889
3645,6103
8212,7890
8087,7668
8112,6893
8068,8255
8346,7837
3674,5214
8779,6699
5671,650
3716,8013
7680,8007
3465,7605
11900,12356
908,856
8068,8273
7946,7957
7946,7964
816,3711
6893,7837
6893,11932
11911,7932
4144,7043
7683,7927
8333,8255
3145,1150
4144,7044
7010,8314
8214,11956
8840,8928
11899,12404
6845,1150
8779,6735
8087,7703
7946,7984
14731,14733
7953,11862
7024,7893
14731,14732
8214,11960
12313,7781
11892,12639
3710,12325
579,6990
7023,7932
7946,12087
8112,6941
7024,7906
7024,7905
7947,7964
11953,6663
4092,8689
3251,6086
11897,8405
6862,8840
8068,8316
3710,12346
7023,7947
8346,7903
3465,7658
14732,14733
11917,11887
7594,2541
4109,8180
11911,7983
8255,2541
7024,7932
7083,6103
8342,8032
8342,8037
7953,11911
11898,8393
8342,8039
7670,8393
7024,7946
6862,8871
6811,6356
12340,6990
8840,8994
6105,3674
8342,8057
5490,6356
7953,7828
14733,14732
5260,1206
7023,12087
7826,7680
8093,7594
7024,7964
8333,8342
8204,8256
6103,7847
7015,8256
8093,7605
6893,7947
11954,6698
8600,8272
7015,8260
11956,6638
7024,12076
11956,2541
7957,7739
8068,8393
3198,3716
7019,4046
8087,11906
11906,4109
8255,6699
6092,8212
7024,12087
5628,6221
7024,8000
5528,5224
6893,7964
6221,8316
7683,8056
7953,11973
8867,4127
6862,8938
7822,11956
8170,5263
5528,1150
7015,8299
6893,12087
6862,8949
6638,7709
3917,6048
753,5830
12078,7007
6103,7924
3596,11911
8209,8170
12354,6651
12448,11942
7828,7709
11954,6783
11957,6696
8600,4270
8733,4237
11915,12093
8093,7703
4109,4238
11923,7762
6638,7767
7942,8316
8733,4270
7680,12346
7815,8159
6862,9029
5671,9092
7685,8099
7828,7761
11923,11884
3465,11947
8087,7927
1040,1106
8342,12310
11923,3710
12313,8007
6124,3251
6759,8150
6893,8099
907,1150
11960,6663
8093,11853
1485,11906
7016,8380
8225,3674
11924,11887
5638,6048
7023,8167
11917,8007
8342,12346
6105,7967
6845,5507
3917,6160
12354,6765
7883,6103
8342,8256
7957,7904
3465,7896
6103,12135
8260,6714
7953,12135
7946,8256
7730,6759
7826,11973
3594,3907
1445,9088
7703,7605
7602,2541
11924,11917
6638,11960
1041,1150
6017,2541
7019,8342
8093,11911
7967,7631
7942,8405
5719,7687
7683,8249
6765,8032
8386,6941
7703,7631
8093,11930
11911,8255
7024,8204
1041,5263
6335,9092
8214,8182
6335,899
8342,8312
7815,8272
12323,11887
7946,8312
7967,7659
8260,6765
5914,5772
11964,6638
6187,5509
854,6990
11911,12389
3685,1150
11930,7699
9002,4270
12573,8255
7019,8405
6677,6723
7946,8342
12093,6759
11923,7933
7024,8256
11911,8316
12310,12325
7024,8260
8093,7889
7967,7703
4127,3862
7700,11884
6759,12389
8170,5509
8124,6941
7024,8272
7700,11898
8121,7043
8080,8314
8214,8255
8121,7044
7946,8380
8346,4169
6893,12354
3994,8013
6893,8256
7694,8007
8921,6838
6893,8260
6735,9070
7953,8182
3198,4039
3994,8034
11964,6723
4169,6714
3860,8100
7737,6696
3530,6048
8093,7953
7699,7884
5833,8391
7966,11899
7700,11951
7703,11862
7024,8342
1102,7605
8322,9070
11924,8007
3521,6356
6651,7631
402,650
1451,9092
7700,7889
3674,5719
3989,12340
6781,7709
3594,8209
6103,8255
7967,11911
7703,3710
3345,3645
7953,8255
1041,1342
8137,6651
7605,6759
8231,11932
7837,7761
11915,8317
549,4315
7953,12356
6783,7670
7967,7837
5974,8180
3532,6057
7812,12639
12956,12930
7964,7932
7680,12639
7739,6714
7703,7837
11958,7010
826,8034
7967,7847
12956,12935
7967,11951
5439,8405
5974,8209
12323,8007
8139,2541
1446,5224
12093,6941
6103,8314
7967,11975
7953,8312
8370,7680
11917,8309
8342,12639
3716,402
7967,7889
11935,7762
7703,7889
7967,7896
4124,12340
7837,7828
6781,11892
1206,402
8209,402
3439,827
4127,4077
1457,832
6651,7761
4270,7844
7693,12325
535,753
5719,7983
8405,6638
8087,8312
11935,3710
3442,8949
3862,4127
899,5870
7693,12346
7953,8380
11973,6638
7694,12313
7967,7953
7998,6990
8928,6838
8023,6221
7970,11960
12370,6638
6103,8405
11912,352
7970,11973
6124,3674
1102,11898
8871,8624
11923,12325
4127,8243
1106,3594
8370,11887
7709,11892
8139,6759
842,3594
3465,12392
5457,3889
11973,6698
12095,7007
1441,5509
3232,3238
11930,8039
11935,7884
11975,6638
11923,12346
1235,3711
8273,6714
11912,402
8370,11900
12076,7605
6783,11953
8273,6726
7709,11917
8370,11911
7700,8099
8141,6723
11924,12323
6783,11956
8871,8664
11932,12087
6124,3716
8240,11862
3862,8314
1489,8150
7967,8039
7964,12231
402,9088
8370,11941
8111,7680
9002,8734
7703,8039
8240,7782
402,9092
11924,12356
4169,7007
11923,12389
8240,11884
8273,6765
8093,8249
8093,8255
12076,7664
8370,11960
8240,11887
6651,7904
11975,6696
3669,6141
12095,7083
12095,7082
8370,11962
8240,11898
1041,5696
7700,8165
12323,12313
7911,5719
8093,8273
12095,7088
4046,6759
1446,1342
3671,6103
7967,8099
7699,12310
6988,5679
7837,8039
11975,6739
4282,3553
3900,3109
8093,12389
1102,7932
923,1206
7976,11942
4270,8044
8240,11957
12323,12356
6794,7632
3716,650
7883,6638
7699,12346
9002,8817
8111,11862
8380,7620
8370,7932
8380,7632
8240,11973
1206,650
8240,11975
8891,8179
12340,3674
6335,5509
7964,12354
301,12340
8380,7655
7640,6017
5853,8170
8240,7896
3752,11862
832,4077
7700,8255
8225,4275
12325,12346
11947,7680
6794,7680
3145,6109
8112,7782
12967,12930
8137,7008
7700,8273
8111,7822
8137,7023
6651,8032
7709,8007
8137,7024
8111,7837
7983,7709
8871,8847
8093,8393
8112,11898
8099,12310
8370,8007
1102,8032
3752,11900
6794,7709
8282,2541
6105,402
1102,8039
8381,7680
6124,8013
6864,1457
8111,11956
7703,12310
7700,8314
7700,8312
7700,4238
3889,3594
3345,4081
7967,8255
8204,908
8380,7739
11951,7631
7967,4169
11947,11862
7703,8255
7983,11862
6794,11862
6138,3532
6783,8111
4282,3721
7967,12370
6335,5628
8380,7766
8112,7883
11948,11855
6646,8277
6699,6638
6794,11892
8891,8322
7703,12389
8111,7932
6638,12639
8112,7905
11947,11898
11947,11900
11947,11911
7967,8312
4156,7670
12105,7008
7967,8315
7889,2541
7703,8312
5477,3594
11853,2541
7703,8316
12956,13403
6794,11917
11924,12639
3889,3674
11948,11892
8076,856
8647,3645
7032,8647
1211,692
11954,7632
7967,8342
11935,12310
11947,11951
8118,11862
8380,7837
8779,7767
11947,11960
8249,11911
6794,11960
8124,7594
7587,11953
3889,3711
12076,7957
6662,11953
7592,7703
8112,7967
8255,7631
11947,11962
856,7631
11947,11975
8112,12076
11935,12346
6086,1150
11947,7880
11947,11973
9002,9069
7594,7659
6138,3641
8124,3522
12067,12354
3355,8000
7967,8393
12076,12087
11853,6714
8112,12087
7703,8393
8156,2541
8380,7889
8256,7631
7967,8405
5511,6714
1041,6026
6781,8309
7759,6662
11947,7912
6042,6648
6783,8255
6138,3674
8124,3553
11949,11951
8256,7659
1456,1367
4023,11906
3232,3662
4020,7904
8255,7699
7851,7932
