instances_1,instances_2
6612,7318
6612,7321
6612,7319
12729,7399
6612,7324
6612,7330
12729,7395
6612,7328
6612,7327
6612,7333
6612,7338
6612,7339
6612,7344
6612,7343
12729,7409
6612,7349
6612,7348
6612,7354
6612,7353
6612,7362
6612,7365
6612,7364
6612,7363
6612,7367
12979,14289
13113,7316
12979,14286
12979,14287
13113,7314
12979,14284
12979,14285
12979,14282
12979,14283
12979,14296
13113,7326
12979,14297
12979,14294
6612,7380
12979,14295
13113,7323
12979,14293
13113,7320
6612,7384
12979,14290
12979,14291
6612,7389
13113,7332
12979,14302
12979,14303
12979,14300
12979,14301
12979,14298
13113,7342
6612,7397
6612,7396
6612,7402
6612,7401
13113,7337
13113,7350
6612,7410
13113,7346
6612,7408
13113,7358
12729,7486
6612,7413
13113,7357
6612,7411
6612,7418
6612,7421
6612,7420
12729,7491
6612,7424
12729,7488
13113,7374
6612,7430
6612,7428
13113,7369
6612,7438
13372,13431
13113,7379
12729,7504
6612,7439
13113,7377
12979,14616
12979,14617
12979,14614
12979,14615
12979,14613
13113,7385
6612,7452
12979,14620
13372,13189
6612,7457
12979,14618
12979,14619
6612,7463
6612,7470
6612,7468
6612,7474
6612,7473
6612,7472
12979,14390
6612,7482
12979,14389
6612,7479
6612,7484
6612,7483
6612,7489
12729,7310
6612,7492
6612,7498
6612,7502
6612,7514
14712,14713
14712,14711
12729,7334
6612,7516
6612,7530
13372,14292
6612,7542
12729,7359
6612,7539
13240,14309
13240,14305
13240,14304
12729,7361
12729,7372
12833,14386
14710,14311
12833,14384
13240,14312
6612,7313
6612,7312
6612,7311
