instruments_played_1,instruments_played_2
9115,7294
3567,7246
3567,7249
8589,7219
4097,7201
8589,7212
8192,7233
7929,7203
6872,7201
6343,7215
8058,7303
6872,7203
6342,7249
7989,13535
7662,7296
8589,7233
7662,7294
8589,7235
4097,7217
6872,7212
8192,7249
6872,7211
3701,7212
793,7249
6872,7215
6872,7222
6872,7220
8589,7249
6342,7269
4230,7212
3702,7196
8326,7219
7798,7198
4098,7215
6872,7237
3702,7201
4098,7219
4098,7217
4097,7249
7798,7212
8195,7198
6872,7249
4097,7259
7798,7215
7929,7249
6741,7212
3702,7215
8195,7201
3701,7249
7798,7219
3702,7219
6078,7294
6345,7215
3437,7249
8459,7212
8326,7249
6345,7219
6345,7217
8856,7201
8192,7305
8195,7212
8856,7212
8195,7219
8856,7215
1457,7212
3702,7249
6741,7249
7798,7249
7800,7194
6346,7211
268,7215
6872,7294
3438,7249
7798,7259
8195,7235
6345,7249
8857,7201
3836,7212
6875,7212
6872,7303
8389,13536
7800,7215
8725,7219
8856,7249
7800,7219
4098,7294
5819,7201
3702,7294
3176,7215
3176,7217
3176,7219
8856,7266
3837,7212
3837,7215
3837,7217
6875,7249
6345,7294
7801,7213
3836,7249
8195,7294
3837,7220
8725,7249
7800,7249
3705,7219
8857,7249
3837,7224
3705,7220
3441,7216
3706,7198
535,7197
8066,7212
3836,7268
3176,7249
7800,7267
3706,7210
8990,7249
3706,7212
3837,7249
3176,7259
5819,7249
3706,7215
3705,7249
3706,7217
3706,7220
7801,7249
3706,7219
8992,7198
8992,7191
3706,7222
535,7219
3837,7259
3441,7249
8992,7203
3178,7212
3706,7230
8992,7211
3706,7235
3178,7219
8992,7220
8992,7215
3176,7294
3441,7270
3706,7249
535,7249
8992,7224
8992,7235
5425,7219
3312,7191
8993,7215
3312,7193
3706,7270
3312,7196
4104,7219
4104,7220
8069,7191
6348,7294
1330,7201
4104,7230
8992,7249
8069,7193
8993,7219
3312,7207
1330,7212
7012,7201
1330,7217
8201,7215
3312,7217
3312,7219
8993,7235
8992,7266
8201,7220
4104,7249
7012,7212
7012,7217
8201,7217
3841,7212
4238,7193
7733,13536
3312,7233
8201,7224
8202,7201
3312,7245
1330,7249
8202,7215
3312,7249
7806,7197
8202,7212
4237,7249
7938,7212
4106,7219
7012,7246
4106,7220
1330,7259
4239,7191
7012,7249
8201,7249
3312,7259
8202,7219
