item_1,item_2
14518,6715
14519,12826
14521,6619
14518,6709
14517,12884
14520,518
14519,1568
14516,2683
14518,6718
14516,5769
14515,12969
14517,6763
14518,6727
14515,12965
14518,6728
14517,12901
14517,6757
14516,5777
14519,12851
14518,6737
14516,5776
14517,12911
14518,6733
14519,12861
14515,12984
14518,6748
14517,12922
14518,6745
14519,12858
14520,535
14518,6755
14515,3775
14518,6754
14518,6751
14517,12925
14518,6749
14518,6764
14518,6761
14519,12871
14518,6758
14518,6771
14518,6772
14519,12884
14518,6769
14516,1709
14518,6768
14519,12879
14516,1708
14518,6766
14518,10875
14518,6780
14518,10874
14516,1719
14518,6775
14518,6776
14518,6773
14519,12887
14519,12901
14518,6787
14518,6788
14518,6785
14516,1727
14517,12961
14520,6719
14520,7744
14517,12969
14518,6791
14518,6789
14518,6790
14518,9875
14515,13035
14519,12911
14516,1740
14520,7759
14519,12925
14517,12984
14520,5722
14516,1748
14516,5855
14515,13053
14515,13051
14515,13065
14516,1764
14516,2809
14516,5878
14516,1780
14519,12961
14517,13035
14519,12969
14517,13037
14517,13051
14515,13111
14516,2838
14519,12984
14515,13107
14516,2850
14518,12002
14518,12000
14516,2843
14516,2844
14517,13065
14518,12008
14516,2865
14516,2866
14516,5935
14516,2864
14516,1837
14518,12013
14516,1846
14515,13140
14516,2876
14519,13035
14517,13096
14518,12040
14517,13107
14516,1871
14516,1872
14520,7891
14515,13177
14519,13051
14517,13111
14516,1877
14515,12156
14516,2910
14516,2908
14516,2919
14515,12167
14520,7915
14515,12166
14516,2917
14515,12164
14515,12163
14516,2925
14515,12172
14516,2923
14516,2924
14515,12184
14516,2938
14515,12179
14517,13140
14516,1908
14515,12192
14520,5892
14515,12187
14516,1915
14516,2953
14518,11084
14515,13219
14516,2948
14515,12194
14519,13107
14518,11089
14516,2960
14515,13230
14516,2958
14516,6030
14516,1934
14516,6027
14519,13111
14515,13234
14517,12163
14517,12159
14515,4029
14516,2971
14516,6044
14517,12166
14515,13251
14520,3880
14519,13140
14515,13263
14515,13259
14516,3001
14515,13270
14516,2995
14517,13219
14517,12194
14516,3006
14515,13276
14515,13274
14516,3017
14520,8010
14516,3014
14517,13234
14516,2010
14520,3927
14518,11172
14517,13251
14519,12163
14519,12159
14517,13259
14515,13320
14516,3045
14519,12166
14516,2031
14515,13327
14519,12179
14517,13263
14519,14236
14517,13274
14519,12187
14516,3064
14517,13270
14519,12184
14516,2036
14516,3074
14519,13219
14516,3072
14519,12194
14518,10175
14517,13277
14517,13276
14515,13358
14518,9177
14516,2070
14518,10198
14516,6177
14516,2081
14519,13251
14518,10206
14516,2076
14519,13259
14515,13380
14516,2098
14516,6192
14517,13327
14519,13263
14516,2092
14520,944
14515,13401
14519,13276
14516,6199
14519,13274
14518,10230
14519,13270
14516,6196
14518,10252
14518,11275
14517,13358
14516,2123
14515,13418
14518,11287
14515,13426
14516,6228
14518,10276
14517,13375
14515,13448
14518,9255
14517,13380
14519,13327
14520,1021
14516,2169
14518,10296
14518,9280
14516,2174
14518,11337
14518,9288
14516,5251
14516,2194
14515,4269
14519,13358
14516,2188
14516,5273
14520,3096
14519,13380
14518,9313
14516,2205
14520,6190
14516,5288
14518,11378
14518,10359
14516,6338
14515,3295
14518,9355
14519,13418
14516,2245
14516,2244
14516,5330
14519,13426
14516,6362
14517,13508
14518,9397
14516,2303
14520,1156
14518,11467
14519,4269
14518,9415
14518,10450
14516,2317
14519,3249
14520,1183
14516,2331
14516,2349
14520,8369
14516,2347
14518,10477
14520,5296
14518,10486
14516,2368
14516,5440
14518,9471
14518,11519
14519,3295
14516,2377
14518,3340
14516,2391
14518,11563
14516,6503
14516,2417
14520,3318
14515,12693
14515,12703
14515,12701
14515,12700
14515,12706
14515,12719
14516,2456
14516,6557
14518,10591
14516,5545
14518,10603
14516,5542
14520,3381
14516,2480
14515,12757
14516,2486
14517,12693
14517,12706
14515,12768
14517,12700
14516,2506
14520,3403
14518,9615
14517,12717
14518,11662
14518,10647
14516,2515
14516,5587
14516,5597
14515,12795
14516,2538
14520,1390
14515,12808
14516,2535
14516,2536
14516,2533
14519,12693
14516,1516
14519,12701
14519,12700
14518,9658
14519,13721
14515,12819
14515,1568
14517,12768
14519,12706
14516,2558
14515,12826
14520,3470
14516,1544
14516,1540
14516,5644
14517,12795
14516,5654
14515,12852
14515,12851
14516,2593
14516,2591
14515,12861
14515,12858
14516,2602
14515,12872
14515,12871
14517,12808
14516,1573
14517,12819
14515,12879
14515,12878
14517,12816
14516,2605
14516,2606
14517,12826
14515,12887
14518,6650
14520,7609
14519,12761
14515,12884
14518,6659
14517,1568
14516,5695
14519,12768
14520,5580
14515,12901
14515,6757
14516,2628
14518,6675
14517,12851
14516,2642
14520,7635
14515,12911
14518,10769
14516,2640
14515,6763
14517,12858
14519,12795
14518,6682
14517,12852
14516,1633
14518,6692
14516,5730
14518,10787
14515,12927
14515,12925
14517,12861
14518,6697
14517,12872
14517,12871
14519,12808
14518,6693
14518,6707
14519,12819
14515,12943
14520,3569
14517,12879
14516,2669
14518,6701
14516,1644
