jurisdiction_of_office_1,jurisdiction_of_office_2
13512,13
13512,14
13511,42
13512,12
13509,105
13511,40
13509,103
13512,21
13512,22
13511,50
13511,51
13512,20
13512,17
13511,49
13512,18
13511,46
13511,47
13511,60
13512,29
13512,30
5121,51
13511,58
13512,27
13511,59
5187,51
13511,56
13511,57
13512,23
13511,54
13512,24
13511,68
13512,37
13512,38
13511,67
13512,33
13512,34
13512,31
13511,62
13514,10210
13509,125
13512,45
13511,76
13511,77
13510,108
13510,105
13512,43
13511,74
11462,108
13511,75
13512,44
13512,41
13511,73
13513,9
13511,71
13512,53
13511,84
7897,35
13512,54
13511,85
8356,141
13511,82
13514,10229
13511,83
13512,52
13511,80
13512,49
13511,78
13512,47
13511,79
13514,10239
13511,92
13512,61
5122,51
13511,90
13512,59
5188,51
13513,29
13509,153
13511,91
13513,26
13512,57
13511,88
13511,87
13509,149
7897,51
13514,10248
13511,98
13514,10245
13512,67
13512,68
13511,96
13512,65
13513,34
13512,66
13511,97
13511,94
13510,126
13512,78
13511,109
13511,106
13512,75
13511,104
13511,10345
13509,167
13513,54
13511,116
13512,85
13512,86
13512,83
13511,114
13512,84
13512,81
13511,112
13512,82
13512,79
13511,111
13512,80
13511,124
13512,94
6770,195
13511,122
6770,194
13511,123
13512,92
13513,61
5123,51
13512,89
13511,120
13511,121
13511,118
13512,102
13515,9
13511,133
13512,99
13512,100
13511,131
13511,128
13512,97
13511,126
13512,95
13511,127
13512,109
13511,140
13512,110
13512,107
13523,10007
13512,108
13511,136
13512,103
13512,104
13511,135
13512,117
13512,118
13511,149
13512,115
13511,146
13512,116
13511,147
13511,144
5190,51
13512,114
13514,10289
13512,111
13515,18
13511,142
13511,143
13512,112
13523,10011
13512,125
13511,156
13511,157
13528,9870
13512,126
5124,51
13512,124
13515,31
13511,155
13511,153
13512,122
13511,151
13511,164
13512,133
13511,165
13512,134
13511,162
13515,38
13512,132
13512,129
13515,37
13512,130
13511,161
13511,158
13512,128
13511,159
13511,172
13512,141
13512,142
13511,170
13513,108
13511,171
13515,44
13512,137
13512,138
13511,169
13514,10316
13515,45
13509,10471
13218,5156
13511,166
13515,43
13512,136
13511,167
13511,181
13512,147
13511,178
13511,179
13511,176
13512,145
13515,53
13511,177
5125,51
13512,143
6711,35
13511,175
13512,144
5191,51
13511,188
13512,157
13513,127
13515,65
13512,158
13512,155
13511,186
13511,187
13512,156
13511,185
13512,154
13515,61
13512,151
13511,182
13511,183
13511,196
