label_1,label_2
7995,13342
8786,13397
8798,13026
3502,13360
3257,12764
9057,13185
8917,13442
1360,14238
8936,12850
4297,13304
1260,13245
7074,13233
7862,13386
8655,13386
6285,13131
8142,12902
8940,12740
8012,12838
8921,13342
7995,13377
6118,14220
1387,13423
4030,13412
4306,13045
4295,13386
6939,13342
6155,13076
7600,13342
4031,13386
3377,13185
8377,13836
6947,13108
6149,13269
5325,14236
8657,13350
8893,14227
4297,13342
3514,13038
3906,13175
8920,13386
8661,13233
3645,13076
7864,13360
5880,13423
8936,12902
9057,13241
3920,12747
6144,13442
7733,13334
7619,12770
8761,14239
6251,14222
3906,13190
7864,13378
7733,13342
4005,14220
4295,13423
6939,13378
6162,12896
8266,13203
6013,13423
8128,13397
6879,7055
6155,13114
5224,13304
8399,13185
4311,12946
6947,13151
7090,12814
8668,13045
8664,13170
7072,13378
7601,13361
4050,12849
4270,14221
8807,12850
6939,13412
6938,13442
1260,13334
3841,7055
8398,13249
3906,13233
4270,14238
7740,13170
7733,13386
3874,14229
6939,13423
332,13442
7079,13185
3768,13423
8677,12803
8657,13423
7706,14235
7733,13397
8792,13342
7706,14233
7046,14220
4297,13423
6287,13170
4173,13175
7093,12765
6153,13233
8399,13245
6881,7055
7074,13360
7971,14220
8261,13423
8928,13226
3777,13170
8798,13170
7971,14226
3906,13271
8932,13108
4050,12902
8896,14226
3645,13170
6942,13367
308,14220
3645,13175
6943,13334
6817,13151
6353,7055
6149,13378
4189,12703
7074,13378
8807,12902
6149,13386
4174,13175
3508,13342
4168,13360
8792,13382
3645,13190
8142,13045
6947,13233
8792,13378
4306,13185
9057,13361
4182,12937
6283,13342
8802,13076
6962,12779
8132,13377
6812,13331
7619,12896
8004,13245
3514,13175
6287,13233
8765,14239
8945,12765
7862,13566
4175,13175
3638,13442
8263,13423
6155,13245
8661,13386
8672,13046
5775,12740
3508,13386
7087,13026
3396,12764
3647,13175
3349,14220
6955,13026
8792,13423
4059,12697
5378,12765
8132,13416
8673,13031
3508,13397
206,13360
8800,13185
3396,12779
3256,13026
9057,13422
3780,13170
8794,13378
3614,14221
3647,13203
6947,13304
8767,14235
3776,13304
3382,13233
7876,13185
8400,13334
8664,13342
3906,13378
8266,13386
7870,13378
6300,12902
4059,12740
8810,12919
8398,13397
6257,14237
3508,13442
3640,13445
6947,13331
3776,13334
8800,13233
6257,14245
6153,13378
8664,13360
8664,13361
8802,13185
6944,13445
8913,13853
5909,12765
8012,13108
6155,13334
8398,13442
7878,13175
3377,13442
7614,13170
8664,13386
3909,13342
6817,13304
8798,13334
6293,13175
4173,13360
4171,13423
7079,13386
3776,13386
4311,13185
3118,13304
5897,13175
4052,13026
8945,12902
8675,13075
753,12902
4306,13350
6287,13378
3221,14220
3617,14234
8802,13241
3221,14224
6294,13170
7074,13566
8862,3192
4052,13045
8949,12793
3485,14238
6287,13397
9067,13226
3909,13386
4174,13361
3645,13378
8805,13170
8639,14220
7087,13175
5233,13304
8807,13108
8949,12803
4053,13026
6958,13083
3776,13422
6955,13175
7740,13416
8676,13069
6294,13185
7846,14225
8687,12740
8144,13185
5775,12902
4317,13045
6564,13026
9036,14223
3256,13175
4053,13045
9084,12733
6817,13386
9067,13271
8932,13360
6308,12779
3382,13378
8936,13233
6564,13045
3645,13423
7086,13245
3645,13422
9067,13281
8933,13334
5897,13245
7715,14231
8800,13361
8211,7055
4306,13423
4175,13386
3751,14242
8810,13069
3777,13442
8668,13378
3884,14220
6296,13175
8932,13386
4062,12803
3647,13378
8810,13067
7980,14221
8278,13175
3884,14227
3382,13408
6817,13423
3647,13386
4064,12747
3646,13422
5233,13378
8802,13334
8807,13175
7618,13175
8158,12814
8773,14229
4061,12849
4248,7055
3780,13378
8805,13245
4281,14228
8773,14238
8933,13386
7090,13170
7618,13185
4188,13026
4281,14237
3256,13245
9067,13331
3647,13423
8938,13245
4188,13038
753,13026
8817,12902
8866,3192
8938,13241
3118,13442
7619,13175
8945,13026
4188,13045
1138,13386
8676,13185
9086,12764
5233,13422
7806,3295
8934,13386
753,13045
4018,14235
4050,13241
7086,13334
9086,12779
8940,13203
7057,14238
4050,13245
4176,13442
8807,13245
5897,13342
4311,13360
4311,13361
4061,12923
