language_1,language_2
2072,8536
1808,8536
2865,8536
6261,1571
1544,8536
2601,8536
2600,8574
1748,2217
2555,1777
2337,8536
2826,1576
2073,8536
2866,8536
1809,8536
2791,2672
2602,8536
1545,8536
5718,2053
2338,8536
6302,8536
2542,2217
2074,8536
5245,8536
1017,8536
1810,8536
2867,8536
5774,8536
2603,8536
1546,8536
5977,2251
2807,2217
7624,8536
2339,8536
2075,8536
2868,8536
2030,1745
5471,1571
1811,8536
754,8536
7585,1576
2604,8536
490,8536
6568,8536
2340,8536
7580,1745
2829,1571
5247,8536
2076,8536
2829,1576
1812,8536
2869,8536
5776,8536
1812,8544
2869,8545
2605,8536
1548,8536
5512,8536
227,8536
5512,8544
1020,8536
2077,8536
2281,2217
2870,8536
1813,8536
2341,8557
5777,8536
2255,3033
2606,8536
1549,8536
492,8536
2551,2053
5513,8539
2342,8536
5513,8536
2831,1571
2078,8536
2831,1576
2078,8539
1814,8536
2871,8536
2607,8536
1550,8536
493,8536
2343,8536
5250,8536
2079,8536
2568,1571
2872,8536
1815,8536
5779,8536
2304,1571
2608,8536
1551,8536
5211,1571
494,8536
5515,8536
2040,1571
6572,8536
2344,8536
3050,3033
1287,8536
5251,8536
2554,2032
2299,1745
2080,8536
2569,1571
6044,8536
1816,8536
2873,8536
5476,1571
2344,8556
5476,1576
1816,8544
1552,8536
2609,8536
12387,8536
2345,8536
5471,1745
5252,8536
2081,8536
5252,8540
2874,8536
5252,8544
1817,8536
2306,1571
2829,1745
2610,8536
1553,8536
2346,8536
1995,3033
3403,8536
1778,1571
2082,8536
2571,1571
1818,8536
2875,8536
2611,8536
497,8536
5518,8536
2082,8553
2347,8536
2814,2251
1779,1571
5254,8536
2551,2217
2083,8536
2876,8536
1819,8536
2308,1571
2308,1576
2612,8536
1555,8536
6576,8536
2348,8536
1555,8544
2293,2053
2084,8536
2612,8553
1516,1571
2084,8540
1820,8536
2877,8536
6576,8555
1556,8536
2613,8536
499,8536
2817,2217
1556,8540
2084,8557
2349,8536
2084,8568
2085,8536
2574,1571
1517,1571
1820,8563
2574,1576
2878,8536
1821,8536
5526,184
2263,3033
2614,8536
5785,8536
2878,8544
6274,1576
2878,8545
5989,2217
7580,2053
2350,8536
236,8536
2086,8536
6050,8536
1029,8536
1822,8536
2879,8536
5785,8561
2615,8536
1558,8536
501,8536
2825,2032
2351,8536
990,1576
237,8536
2305,1777
2087,8536
6051,8536
2880,8536
1519,1576
