languages_1,languages_2
1015,8536
949,8536
3922,8536
5255,2032
5468,1571
14759,14611
685,8536
3724,8536
762,2053
6180,2032
564,2053
421,8536
757,2217
355,8536
289,8536
12598,1745
7634,2032
1148,8536
12313,8543
5971,8536
11934,14142
7028,8536
14760,14611
5707,8536
12313,8545
554,8536
9037,1571
422,8536
1347,8536
224,8536
3329,8536
1215,8536
1149,8536
11929,2032
428,2217
1083,8536
1353,2217
951,8536
4067,2053
12325,2053
3858,8536
753,8536
8296,2032
621,8536
555,8536
6765,8536
489,8536
3528,8536
1480,8536
357,8536
912,1571
5378,8536
291,8536
5852,2032
5521,2053
5444,8536
3264,8536
846,1576
4189,8536
886,8536
5456,2032
6105,8536
6315,2032
820,8537
688,8536
2670,8536
5841,8536
8297,2032
622,8536
556,8536
6117,2032
3595,8536
5588,2053
5511,8536
424,8536
226,8536
1217,8536
6238,8536
8220,8536
5313,8536
4058,8536
6249,2053
4124,8536
953,8536
5974,8536
14759,14732
887,8536
3860,8536
821,8536
8749,8536
3728,8536
557,8536
491,8536
359,8536
912,1639
1020,8536
6107,8536
14760,14733
14760,14731
5843,8536
5605,1576
690,8536
8749,8568
7759,8536
1047,1571
3597,8536
1417,8536
5447,8536
6125,14142
6125,14141
7714,1745
5723,2032
6306,8536
228,8536
5657,2032
453,1571
3862,8536
11922,8536
14761,14733
5976,8536
14761,14732
757,8536
14761,14731
8313,1639
2541,8536
427,8536
361,8536
295,8536
5448,8536
5468,1777
11934,2032
1154,8536
6175,8536
7034,8536
8223,8536
890,8536
539,3033
6109,8536
12325,2217
824,8536
758,8536
14762,14733
14762,14732
8367,2032
5448,8561
5713,8536
494,8536
3599,8536
1485,8536
6908,2217
428,8536
1353,8536
4326,8536
230,8536
7760,8575
1155,8536
1155,8537
7918,1639
14759,12804
3864,8536
825,8536
693,8536
7762,8536
8317,1571
627,8536
561,8536
4002,2217
5582,8536
1486,8536
429,8536
440,2053
1354,8536
450,1745
5318,8536
8368,2053
5588,2217
3204,8536
1156,8536
14760,12804
958,8536
892,8536
3997,8536
826,8536
6045,8536
6904,8536
694,8536
14679,3033
6270,1571
496,8536
4002,2251
430,8536
5451,8536
298,8536
232,8536
1157,8536
11871,2032
8094,8536
304,2217
14761,12804
6971,8536
3932,8536
761,8536
5782,8536
6905,8536
8253,1571
563,8536
7974,2032
1488,8536
431,8536
8376,14143
3206,8536
13223,13403
12598,2053
12125,8536
894,8536
971,2053
762,8536
8182,1745
5611,1581
5849,8536
8245,14138
630,8536
564,8536
498,8536
12125,8555
366,8536
300,8536
7699,8544
234,8536
5605,1777
912,14142
5255,8536
912,14143
1225,8536
3273,8536
1159,8537
8120,1639
5874,1639
1027,8536
6180,8536
7790,1639
14759,12930
763,8536
261,1571
697,8536
6186,2217
762,8571
631,8536
5784,8536
7634,8536
7700,8536
14759,12935
12125,8574
433,8536
11874,2032
301,8536
3274,8536
3208,8536
12325,8536
14759,12956
7712,2032
1094,8536
4067,8536
1028,8536
5983,8536
3935,8536
6049,8536
5547,1571
14760,12930
764,8536
12325,8540
6908,8536
5719,8536
7634,8562
8779,1745
5283,1571
500,8536
8313,14138
14760,12935
2416,8536
12325,8561
368,8536
5521,8536
6076,1571
302,8536
8362,8536
6314,8536
4266,8536
1227,8536
1161,8536
14797,1571
440,2217
14760,12956
4002,8536
8296,8536
963,8536
14761,12935
5918,8536
831,8536
7041,8536
765,8536
461,1576
5786,8536
3738,8536
5852,8536
633,8536
14797,1581
14760,12967
369,8536
5456,8536
237,8536
6315,8536
1228,8536
7918,14138
4201,8536
6249,8536
14761,12956
4069,8536
898,8536
6117,8536
5264,2217
14761,12967
5456,8554
700,8536
5655,8536
8039,2217
568,8536
7703,8536
3541,8536
370,8536
304,8536
5457,8536
1295,8536
238,8536
6250,8536
8297,8562
5325,8536
1097,8536
12598,2217
1031,8536
899,8536
833,8536
14762,12967
5814,1581
6977,8536
8376,2032
3608,8536
1494,8536
437,8536
4161,1639
1230,8536
3146,8536
5260,8536
6317,8536
6119,8536
5806,14142
1236,2217
4005,8536
834,8536
768,8536
5723,8536
9037,2053
504,8536
12281,14143
912,2032
5657,8536
1495,8536
3543,8536
438,8536
372,8536
6318,8536
240,8536
3345,8536
1231,8536
6186,8536
768,8555
1033,8536
901,8536
835,8536
703,8536
6913,8536
13982,8536
8393,1571
439,8536
3478,8536
1430,8536
3412,8536
1364,8536
6319,8536
5874,14138
11952,14138
7790,14138
3082,8536
1034,8536
4002,2546
968,8536
7863,1639
6121,8536
836,8536
5791,8536
704,8536
5857,8536
506,8536
6518,8536
1497,8536
995,1571
440,8536
14797,1745
1365,8536
242,8536
