legal_structure_1,legal_structure_2
13267,14648
12148,14648
12755,14649
13327,14451
13110,14648
8473,14650
12852,14451
13176,14648
13325,14649
13296,14648
12861,14451
13026,14451
13505,14451
12151,14451
12190,14649
12157,14651
13408,14649
6843,14649
12995,14652
13503,14648
13214,14648
3998,14649
3131,14649
13051,14451
59,14649
12795,14451
4126,14650
13239,14649
8441,14649
12182,14648
12837,14451
13448,14451
7058,14649
13136,14649
6860,14649
12975,14649
4110,14649
13035,14451
13110,14451
7042,14649
8417,14648
13721,14451
12162,14649
6844,14649
13186,14649
13314,14649
12034,14651
13426,14648
12879,14451
13434,14650
12710,14451
12136,14451
13038,14649
12871,14451
12976,14649
12146,14650
13053,14451
12902,14649
8451,14649
4126,14451
13418,14652
13063,14649
12159,14650
13111,14451
13177,14451
12192,14648
13109,14650
3678,14653
3290,14649
12147,14648
3125,14649
6926,14451
13175,14649
13140,14451
12795,14650
12851,14451
12184,14648
12872,14451
6757,14451
13072,14650
12878,14648
13233,14649
13504,14451
6949,14649
13219,14451
12156,14648
13401,14451
13345,14651
13378,14649
6807,14451
