legislative_sessions_1,legislative_sessions_2
5090,5091
5089,5122
7731,5140
5090,5089
7731,5138
5090,5094
5089,5130
5090,5100
5088,5162
5090,5097
5089,5129
5089,5134
7731,5153
5088,5166
5090,5104
7731,5151
5090,5102
5089,5138
7731,5155
5090,5106
5089,5137
7731,5160
5090,5109
5089,5140
5090,5116
7731,5163
7731,5162
5090,5120
5091,5089
5089,5151
7731,5166
5090,5123
5089,5155
5089,5153
5091,5096
5091,5097
5090,5125
5089,5162
5089,5163
5089,5160
7731,5179
5090,5130
5090,5135
5089,5166
5090,5134
5090,5138
5091,5116
5089,5179
7731,5196
5091,5114
5092,5089
5090,5149
7731,5199
7731,5205
5092,5091
5091,5122
5092,5097
5090,5159
5091,5129
7731,5208
5092,5096
5091,5130
5090,5162
5090,5168
5089,5199
5091,5137
5090,5165
5089,5196
5091,5134
5091,5140
5091,5138
5092,5114
5090,5176
5089,5205
5089,5210
5093,5087
5089,5208
5092,5116
5093,5091
5092,5122
5091,5153
5091,5151
5093,5094
5090,5188
5090,5186
5091,5155
5092,5129
5091,5160
5092,5130
5093,5102
5092,5134
5090,5193
5093,5100
5091,5162
5091,5163
5092,5137
5093,5106
5092,5138
5093,5104
5091,5166
5090,5198
5093,5111
5092,5140
5093,5109
5093,5116
5091,5179
5092,5153
5093,5123
5093,5120
5093,5121
5093,5127
5092,5155
5093,5125
5092,5162
5092,5160
5093,5134
5091,5196
5092,5166
5093,5135
5094,5104
5092,5163
5093,5138
5093,5139
5091,5199
8397,5120
5091,5205
5091,5208
5095,5089
5091,5210
5093,5149
5095,5087
8397,5125
5094,5121
5095,5091
5095,5096
5094,5127
5095,5097
5093,5159
5095,5094
5094,5125
5095,5100
5095,5104
5094,5135
5095,5102
5093,5165
5094,5139
5095,5109
5093,5168
5095,5106
5095,5111
5093,5173
5095,5116
5095,5114
5093,5176
5095,5120
5096,5089
5095,5121
5093,5186
5095,5125
5095,5122
5096,5091
5095,5123
5093,5190
5094,5159
5096,5097
5095,5129
5093,5191
5093,5188
5095,5127
5095,5130
5093,5193
5093,5198
5095,5137
5095,5134
5094,5165
5093,5197
5095,5135
5095,5140
5095,5138
5095,5139
5096,5114
5094,5176
5094,5173
5095,5149
5096,5116
5095,5153
5096,5122
5097,5091
5095,5151
5097,5089
5094,5188
5095,5155
5094,5186
5095,5160
5094,5191
5096,5129
5096,5130
5097,5096
5095,5159
5094,5190
5095,5165
5096,5134
5095,5162
5094,5193
5095,5163
5095,5168
5096,5137
5096,5138
5095,5166
5094,5198
5095,5173
5096,5140
5095,5176
5097,5114
5098,5087
5097,5116
5095,5179
5098,5091
5096,5153
5097,5122
5098,5089
5096,5151
5095,5188
5098,5096
5095,5186
5096,5155
5097,5130
5098,5100
5095,5193
5096,5162
5098,5097
5095,5190
5095,5191
5096,5160
5097,5129
5095,5196
5097,5134
11969,5089
5095,5197
5096,5166
5096,5163
11969,5091
5098,5102
5097,5138
7609,5091
5095,5198
7609,5089
5095,5199
5098,5106
5097,5137
11969,5097
5095,5205
11969,5096
5098,5109
5097,5140
5095,5208
5098,5116
5099,5089
5098,5120
5097,5151
5095,5210
5096,5179
5098,5123
5097,5155
5099,5091
5097,5153
5099,5096
5099,5097
5098,5125
11969,5114
5099,5100
5097,5162
5097,5163
5097,5160
5098,5130
5098,5135
5097,5166
5098,5134
5096,5196
5099,5109
5096,5199
5098,5138
11969,5134
5096,5205
11969,5130
5099,5116
5097,5179
5096,5210
5099,5114
5096,5208
11969,5137
5098,5149
5100,5087
11969,5138
5098,5159
5100,5102
5099,5130
5098,5162
5099,5137
5098,5168
5097,5199
5100,5106
5099,5134
5097,5196
5098,5166
5100,5109
5099,5138
11969,5166
5098,5176
11969,5163
5097,5205
11969,5162
5097,5210
5099,5149
5101,5087
5097,5208
5101,5091
5101,5089
5100,5120
5100,5125
11972,5087
5100,5123
5101,5096
5101,5097
5101,5102
5099,5162
5101,5100
5099,5163
5101,5106
5099,5166
11972,5106
5101,5109
5101,5114
11972,5102
5100,5149
5102,5087
5101,5116
5101,5122
5101,5123
5101,5120
5101,5125
5101,5130
5102,5100
5100,5159
5101,5129
5101,5134
5101,5135
5101,5138
11972,5123
5101,5137
5102,5106
5100,5168
5101,5140
5102,5109
5100,5176
5103,5089
5102,5120
5103,5087
5101,5149
5102,5123
5101,5155
5101,5153
5103,5091
5103,5097
5101,5159
5103,5094
5102,5125
5103,5100
5101,5162
5101,5163
5101,5160
5103,5104
5101,5166
5102,5135
5103,5102
5103,5109
5101,5168
5103,5106
11972,5168
5103,5111
5103,5116
5101,5176
5103,5120
8143,5089
5103,5121
5101,5186
8274,5121
5103,5125
5104,5094
8143,5091
5103,5123
5102,5159
8143,5097
8143,5096
5103,5127
5102,5168
5103,5134
5103,5135
5103,5138
5103,5139
5102,5176
5103,5149
5105,5087
8143,5116
8143,5114
5105,5091
5105,5089
5104,5125
8143,5122
8143,5129
5105,5096
5104,5127
5103,5159
5105,5097
5105,5102
5103,5165
5103,5162
5105,5100
8143,5130
5105,5106
5103,5168
8143,5137
5104,5135
8143,5134
5103,5173
8143,5140
5104,5139
5105,5109
8143,5138
5103,5176
5105,5114
5106,5087
5105,5116
5105,5122
8145,5091
8143,5153
5105,5123
5105,5120
8145,5089
8143,5151
8274,5191
5103,5188
5103,5186
8143,5155
5105,5125
5105,5130
8274,5197
5103,5193
5106,5100
8143,5160
5103,5190
5104,5159
8145,5097
5105,5129
5103,5191
8145,5096
5105,5134
5104,5165
5103,5197
5105,5135
8143,5163
5106,5102
8143,5162
5105,5138
5103,5198
5105,5137
8143,5166
5105,5140
5106,5109
8145,5114
5104,5176
5107,5089
5106,5120
8143,5179
5105,5149
5107,5087
8145,5116
5106,5123
5105,5155
5104,5186
5107,5091
5105,5153
5107,5096
5105,5159
5107,5097
5104,5190
5107,5094
5106,5125
5104,5188
5107,5100
5105,5162
5104,5193
5105,5163
8145,5130
5105,5160
8145,5129
5107,5104
5105,5166
5106,5135
5104,5198
8143,5196
8145,5134
5107,5102
5105,5165
5107,5109
8145,5138
5105,5168
5107,5106
8145,5137
8143,5199
8143,5205
5107,5111
5107,5116
6297,5091
8143,5208
5105,5176
5107,5114
6297,5089
5108,5089
5107,5120
5107,5121
5108,5087
5106,5149
8143,5210
5105,5186
5108,5094
5107,5125
5108,5091
5107,5122
6297,5097
5107,5123
6297,5096
5108,5097
5106,5159
5107,5129
5107,5127
5108,5096
8145,5163
5108,5102
8145,5162
5107,5130
5108,5100
5107,5137
5108,5106
5106,5168
8145,5166
5107,5134
5108,5104
5107,5135
5107,5140
5108,5109
6297,5114
5107,5138
5107,5139
5108,5114
5106,5176
6297,5116
5107,5149
5109,5087
6297,5122
5108,5116
5108,5121
5108,5122
5107,5153
5108,5120
5108,5125
6297,5130
5108,5123
6297,5129
5108,5129
5108,5130
6297,5134
5108,5127
5107,5159
5109,5102
5107,5165
5108,5134
6297,5138
5107,5162
5109,5100
6297,5137
5107,5163
5108,5137
5107,5168
5109,5106
5108,5138
5108,5135
5107,5166
5107,5173
5108,5139
5108,5140
5107,5176
5110,5087
5108,5149
6297,5153
5108,5153
5110,5091
5109,5123
5110,5089
5109,5120
5107,5188
6297,5163
5110,5096
6297,5162
5108,5155
5107,5186
5110,5094
5109,5125
5107,5193
5108,5162
5110,5100
6297,5166
5108,5159
5110,5097
5107,5190
5107,5191
5108,5160
5108,5165
5110,5104
5107,5197
5108,5166
5108,5163
5110,5102
5107,5198
5110,5106
5108,5168
5110,5111
5108,5173
5110,5109
5110,5116
5108,5176
5110,5114
5110,5120
5109,5149
5110,5123
5108,5186
5110,5121
5110,5127
5108,5190
5109,5159
5110,5125
5108,5188
5108,5193
5110,5129
5108,5191
5110,5130
5110,5135
5108,5198
5110,5134
5110,5139
7622,5091
5110,5137
5109,5168
5110,5138
7622,5089
5108,5205
7622,5096
5109,5176
7622,5097
5112,5089
5112,5087
5110,5149
5112,5094
5112,5091
5110,5159
5112,5097
5112,5096
5110,5163
5112,5102
7622,5114
5112,5100
5110,5162
5110,5168
5112,5106
5110,5165
5112,5104
5110,5166
5112,5109
7622,5122
5110,5176
5112,5114
5112,5111
5110,5173
5113,5087
7622,5130
5112,5116
7622,5129
5112,5121
5112,5122
5113,5091
5112,5120
5113,5089
5112,5125
7622,5140
5110,5188
5112,5123
7622,5138
5110,5186
7622,5137
5110,5191
5112,5129
5112,5130
5113,5096
5112,5127
5110,5190
5113,5097
5113,5102
5112,5134
5113,5100
5110,5193
5113,5106
5112,5137
5112,5138
