locations_1,locations_2
13573,170
13614,9137
14288,6676
14296,9500
14284,10893
14285,10872
14289,9724
14291,9659
13576,89
14290,9700
13579,9
13569,9532
14288,6700
13569,9530
13602,13639
14297,10527
14293,10648
13582,9137
13581,9169
14297,8475
13630,6632
14282,9991
13604,8482
14296,8531
14298,10527
14293,9659
13577,104
14286,10893
14295,10614
13604,8484
13577,118
13577,116
14293,9665
14286,10903
14291,9724
14295,9599
14300,9451
14296,9587
14283,9991
13577,128
14298,8509
7164,8475
13576,170
12593,9137
14298,8513
7098,8492
13579,11361
14293,9700
13122,9137
7130,8532
7131,8498
7116,9991
13646,82
12593,11218
13608,11498
14300,9500
7466,10423
14289,10872
13630,6734
14301,8475
14299,8532
14285,9991
14296,9659
14291,9812
14289,10899
14297,10648
14301,9500
14298,10632
14303,9451
7100,8488
13607,9530
13630,9842
13587,9137
13610,9446
14307,125
14295,9724
7129,9659
14291,10872
13577,10474
13577,11498
13615,90
14303,9493
14301,8531
14302,8495
13653,11219
14291,10893
14287,9991
14300,9599
14298,9659
12593,51
12980,8532
14291,10899
14311,51
7109,9297
13122,51
13587,9187
7169,8475
14300,10648
13589,9137
14303,9528
13609,9536
14288,11029
13587,9207
14301,9599
14283,11181
14287,11069
14297,10754
14289,9991
13589,9156
14293,10899
14295,10832
7103,8507
14300,9665
14284,11184
14300,9659
14298,10754
14290,9991
13122,117
14304,8532
14301,9659
14284,11217
12593,149
13621,24
14295,10872
13603,6725
13620,54
13620,65
12593,9375
14284,11224
13572,6668
14286,10147
14305,8532
13569,9842
13084,8494
14286,10141
13122,9375
14287,10123
14303,10648
14300,9729
13625,10172
13594,11143
13653,97
12593,190
14285,11235
7181,10269
13127,24
13094,24
14283,11302
14303,9659
13592,9169
13623,17
13623,14
7139,8510
14050,90
14286,11217
14284,10256
14287,11184
14303,9665
14297,10872
13618,177
7540,10423
13616,9467
13621,97
14286,11224
14297,10893
13483,8475
14284,11302
13619,170
14283,10320
14313,170
13594,10172
13584,9467
13594,9157
13594,9156
13621,138
13609,6655
14295,10989
14301,10801
13569,1744
14306,9632
13590,82
14289,11181
7142,8487
13657,9284
7539,8475
7374,8476
13596,9137
14287,10245
14309,8532
14291,10123
14282,9389
13571,9924
14310,8532
13577,6672
13577,6684
13621,198
7143,8511
14301,10872
14287,11302
14288,10257
7111,8491
14285,10361
13189,8494
13587,9467
14298,10989
14297,9994
13586,8484
14288,32
14291,11217
13596,9207
13579,11778
14291,11224
13594,72
14293,10147
14283,11481
14312,8532
13571,9996
14290,10248
14290,10245
14290,10256
14284,11464
13591,176
14288,84
13607,14024
14285,9389
14284,11481
14282,9493
13104,10172
14285,9399
7179,8504
13596,35
14282,9490
13630,6
14303,10899
13127,9467
14290,10288
14293,11217
13592,177
14284,9457
14288,118
14286,9389
13641,14025
14300,9991
14283,9490
14308,6668
14290,9283
13568,9137
13600,11218
13589,8484
14283,8475
13568,10172
13597,55
14282,8513
14296,10141
14296,10140
13568,9156
13630,66
7314,8475
7121,10361
14296,10147
14288,156
14301,9991
184,141
13602,9137
13569,9137
14284,9500
13569,10172
14293,10256
13569,9153
12593,6655
14288,190
14295,11235
14297,10147
14285,9493
14282,9599
13602,13265
7150,8488
14287,9451
14289,9389
14296,11217
14297,11184
7183,8491
13657,9532
13104,51
13569,9187
13657,9531
14285,9528
13625,8484
14298,10147
13597,135
14284,8531
14290,10408
7147,10652
13569,9207
14283,9599
13596,176
13567,51
14295,10248
13618,6668
7118,8490
13631,133
14287,9493
14286,11569
13625,9530
7350,8475
14296,10239
14282,9659
14282,9660
12593,6734
14303,11069
14282,10691
14298,11217
14296,10256
14286,8531
7138,9953
7152,8500
13604,9187
14287,8495
13633,11361
14300,10140
13120,10893
13626,13637
13606,9137
13594,8484
14290,11481
14283,9659
7120,8488
14282,9700
14291,11481
14301,10147
14288,9523
14289,9500
14298,10256
14282,9724
14300,11224
14283,9700
14284,10691
14293,9389
14293,9399
14298,11302
13575,9137
14290,9500
13596,8484
7155,8485
13602,118
14290,8495
14303,10140
13569,126
13623,6645
14303,10141
13623,6642
13604,9278
13633,184
13431,8494
13604,59
13232,8532
14303,10147
13572,37
13570,97
7105,10058
14291,9500
14287,10648
13623,6655
13641,9169
14295,9389
14293,9451
14286,9665
13568,177
14284,9724
13622,10799
14285,9700
13604,92
14283,10801
14301,10239
14287,9660
14301,10248
14287,9659
14300,11302
7123,8512
13638,80
13120,9991
13630,13637
13605,90
13574,24
14285,9724
13127,6725
13602,9403
14292,8494
13623,6702
13644,9137
13611,9137
14295,11481
14298,10361
14293,9493
14290,9599
7125,8478
14282,10872
13607,50
14289,9641
13567,8484
13604,170
14294,9500
14296,11481
14303,10239
7159,8478
13572,142
14289,9659
13623,6750
14289,10691
13572,161
14295,9493
13569,9467
14297,9425
14291,10648
14288,6645
14288,6643
14286,10801
13572,177
14297,9443
13577,17
14283,9888
14289,9700
13641,92
14284,9853
14301,10361
13577,34
14296,9490
13636,9467
14298,9425
13577,33
14288,6664
