main_country_1,main_country_2
2032,176
2053,6694
8574,132
1576,110
8545,142
2672,59
1745,127
8545,6678
8546,6647
1581,95
14140,141
14143,176
2217,92
8536,51
8536,179
8554,133
8549,6688
8558,17
8536,61
8577,66
1571,170
8561,190
8575,13
14373,108
8578,6700
8536,194
8576,6643
2251,90
8549,181
8548,86
8569,84
8562,176
8579,156
2546,178
8545,198
8552,109
8578,67
8538,166
1777,90
8557,90
8578,80
8555,147
8549,79
8536,108
8547,23
14141,176
8551,23
8575,176
8566,71
8578,84
8572,6679
8563,175
8536,117
8544,126
2546,78
14139,117
8547,6684
8571,52
8539,6676
8565,111
8555,54
3033,97
2053,12
8540,11144
1639,175
1639,176
14138,176
8549,122
8536,141
8564,35
8542,6734
8573,141
14142,176
8578,6643
8568,179
8556,41
8545,120
8541,118
