major_field_of_study_1,major_field_of_study_2
11985,12529
10889,13739
11417,13755
11988,12438
11416,13785
10889,13749
9303,13758
11417,13760
9568,13747
7983,13730
9568,13748
11985,12550
11417,13768
9832,13752
9303,13769
10628,13664
10139,12438
10889,13766
11981,12677
11983,12615
6696,12677
9875,12429
11154,13749
10889,13775
3266,12517
6701,12550
6665,13664
10925,12677
11458,12550
11155,13752
1113,13759
9570,13741
11983,12677
11985,12615
9570,13752
10133,12677
11985,12608
5359,13228
10363,13746
11687,13664
10628,13732
5871,13748
10628,13733
10628,13743
10364,13733
9874,12550
11021,1571
11992,12429
10628,13747
6707,12429
6665,13730
6703,12550
9836,13738
11980,12809
13800,13732
9836,13733
10364,13749
6665,13732
13798,13801
9572,13733
10628,13766
6665,13746
10364,13769
13800,13748
9836,13749
11993,12429
11985,12677
10364,13772
11687,13730
7851,1571
11687,13732
11993,12438
6665,13766
9836,13766
11687,13738
13800,13771
11687,13734
9572,13766
11687,13736
12006,12050
6789,1745
4024,13737
11988,12615
4023,13767
10673,12429
6701,12677
6709,12429
9576,13664
6709,12438
10157,12050
9310,13737
10145,12429
10631,13747
9310,13739
11687,13774
6722,12050
11687,13784
13801,13798
10674,12429
9310,13752
9353,12429
10631,13772
8536,13182
10631,13766
11467,12429
11993,12517
12008,12050
6703,12677
11988,12676
10104,13738
6707,12550
11996,12429
11988,12677
9612,12615
9576,13733
7726,13741
11216,12050
11993,12550
10104,13759
11997,12429
13804,13767
9576,13766
10898,13738
11691,13732
9313,13732
10898,13747
1121,13738
4239,7191
6709,12550
8010,13182
11691,13760
9313,13745
9576,13795
10647,13363
1121,13759
9313,13764
10161,12050
1554,8536
1385,13776
10107,13737
11993,12615
12011,12050
10107,13732
10107,13743
10674,12550
9313,13782
10107,13744
11467,12550
9353,12550
13182,8536
11691,13796
10107,13759
10107,13758
858,13759
10107,13769
10501,1554
12000,12429
6675,13664
6727,12050
6709,12615
6707,12677
10673,12615
10107,13776
9883,12529
10901,13733
11468,12550
11993,12677
11998,12517
11997,12550
10428,12050
10901,13785
13809,13748
10374,13733
10902,13752
9052,13758
9749,8544
11978,13182
10673,12676
6675,13732
6709,12677
6675,13737
6675,13735
6675,13741
6675,13739
6675,13738
10375,13732
13810,13737
6675,13742
10014,8536
6675,13749
12015,12050
6675,13747
10375,13741
10374,13766
11206,12550
6675,13752
10375,13737
10946,12429
10375,13748
11997,12615
9486,8536
10946,12438
11979,13182
6675,13762
6718,12429
9583,13733
10375,13752
6718,12438
9847,13748
12000,12550
9955,2217
10695,12050
863,13738
6719,12429
11996,12677
7734,13736
862,13774
6675,13800
11980,13182
10375,13784
1127,13759
10376,13762
11602,8536
6732,12050
11997,12677
6720,12429
3506,13759
6720,12438
10375,13815
11978,13288
1165,12615
6150,13732
12002,12550
11014,2217
12000,12615
9640,12050
6697,13182
10946,12550
12000,12646
12007,12429
6682,13664
10908,13736
6718,12550
10908,13737
11172,13747
11983,13182
9869,13182
10908,13741
6680,13739
11980,13288
11982,13228
10380,13737
10380,13732
10908,13747
1131,13735
6680,13748
11172,13758
6680,13747
12008,12429
10380,13742
12004,12550
7780,12429
11984,13182
6680,13760
10380,13749
10645,13733
6680,13772
11981,13288
9324,13738
6152,13759
2053,1571
5359,13776
11192,13182
4039,13735
10645,13749
9324,13742
6682,13732
6682,13730
11985,13182
11979,13363
6682,13734
6682,13739
6682,13737
6682,13742
10645,13766
12022,12050
6682,13747
6682,13745
10645,13772
9589,13752
10382,13748
5359,13806
10382,13741
6682,13758
6722,12517
10647,13730
10647,13732
6682,13767
11980,13363
10382,13752
10647,13739
6682,13772
10647,13741
10382,13763
6682,13769
10647,13747
6682,13780
12023,12050
10647,13748
5362,13738
10647,13743
10946,12677
11981,13363
6682,13785
10647,13750
6722,12550
12011,12429
10647,13752
10647,13764
6718,12677
10647,13771
10647,13769
12008,12550
10647,13776
7780,12550
10647,13786
6727,12429
10647,13784
11177,13751
11177,13745
9327,13752
11988,13182
11177,13746
11177,13759
6727,12438
10647,13799
10647,13809
9647,12050
11983,13363
10913,13764
10139,13182
6722,12615
6728,12429
10121,13736
6728,12438
4307,13758
11707,13745
11707,13739
8536,13738
12010,12550
10121,13767
4307,13776
8536,13745
9912,12050
8536,13746
10915,13730
9900,12429
8536,13759
4307,13793
8536,13762
5366,13735
8536,13769
6727,12517
9372,12438
11178,13806
9649,12050
11985,13363
6730,12429
11988,13288
1571,8536
11988,13297
6727,12550
12017,12429
9332,13752
6732,12429
11711,13732
11749,12550
6732,12438
11978,13664
12014,12550
11978,13668
11994,13182
9640,12429
6727,12615
9874,13363
6733,12438
8405,1571
3913,1554
11979,13664
8540,13771
10919,13752
6730,12550
6692,13739
11980,13664
6692,13749
10128,13733
11978,13734
11978,13733
11978,13736
6727,12677
11978,13730
11980,13668
10128,13738
11978,13732
11978,13731
6693,13735
11978,13742
10447,12050
11978,13741
6693,13732
11978,13743
10296,8536
6693,13739
11978,13738
11978,13737
6693,13737
12020,12438
11978,13739
6693,13743
6692,13773
11978,13749
6693,13741
11978,13752
11978,13751
6693,13747
11978,13746
11089,8536
11978,13745
11978,13747
11978,13758
11978,13757
10960,12550
6693,13749
10128,13766
11978,13760
6693,13748
11978,13759
6748,12050
11978,13754
11993,13288
6693,13752
11978,13755
6693,13759
11979,13735
11978,13766
11979,13737
11978,13768
11979,13736
12015,12615
6693,13763
11979,13731
11978,13762
6728,12677
11979,13730
11978,13761
11978,13764
11979,13733
11979,13732
11978,13763
11979,13743
11978,13774
11978,13773
10432,12550
11979,13745
11978,13776
6693,13764
11978,13775
11979,13744
11979,13739
11978,13770
11979,13738
11978,13769
11978,13772
11979,13741
11979,13740
11979,13751
11979,13750
11978,13784
6693,13772
11979,13752
11978,13778
11979,13747
11978,13777
11979,13746
8015,13751
11978,13780
11979,13749
12550,12429
11979,13748
11978,13779
11978,13790
11979,13759
880,13759
11979,13758
11980,13730
11978,13792
12034,12050
11979,13755
