member_states_1,member_states_2
6706,52
6690,36
6706,51
6690,35
6690,6691
6690,6689
6706,6705
6690,40
6690,6694
6690,38
6690,37
6641,6676
6690,44
6690,6700
6706,59
6690,43
6690,42
6690,41
6690,47
6690,6702
6690,45
6641,6684
6690,52
6690,51
6690,50
6690,49
6690,1585
6641,32
6690,6705
6641,6694
6690,54
6690,60
6690,59
6690,58
6690,57
6641,6702
6641,45
6690,61
6641,6700
6690,6717
6690,68
6690,66
6641,6705
6690,65
6690,71
6641,52
6706,92
6690,76
6641,59
6690,75
6690,74
6706,89
6690,73
6690,79
6690,78
6690,6734
6690,77
6690,84
6690,81
6690,88
6690,87
6690,86
6690,85
6690,92
6690,91
6690,90
6690,89
6690,95
6706,111
6690,94
6706,109
6690,97
6690,103
6706,118
6706,117
6690,108
6690,106
6641,89
6690,112
6641,95
6690,111
6706,127
6690,110
6690,109
6641,92
6690,116
6706,132
6690,118
6690,117
6690,122
6690,121
6641,111
6690,128
6690,127
6641,109
6706,141
6690,132
6690,131
6690,130
6690,129
6690,135
6641,118
6690,134
6690,133
6690,140
6690,138
6641,127
6690,144
6690,143
6690,142
6690,141
6690,147
6690,145
6690,152
6690,151
6690,149
6641,132
6690,156
6706,170
6690,154
6690,159
6641,141
6690,157
6690,164
6690,162
6690,168
6690,167
6690,166
6690,172
6690,171
6690,170
6690,176
6690,175
6706,190
6690,179
6690,177
6690,183
6690,182
6690,181
6690,188
6641,170
6690,186
6690,192
6690,190
6690,196
6641,179
6690,198
6690,197
6641,190
6667,6644
6667,6647
6667,12
6667,6676
6667,23
6667,6679
6667,6684
6667,6689
6667,45
6667,6700
6667,6705
6667,52
6667,51
6667,61
6667,59
6667,78
6667,89
6667,92
6667,95
6667,108
6667,110
6667,117
6667,118
6667,127
6667,132
6667,141
6706,6642
6667,170
6706,6647
6667,179
6690,6639
6690,6644
6690,6642
6667,186
6690,6641
6690,6647
6667,190
6690,6645
6706,12
6690,6652
6706,6676
6641,6642
6690,3
6690,6664
6641,6647
6706,23
6706,6679
6690,5
6690,12
6690,11
6690,6666
6690,6672
6690,6671
6690,13
6690,6669
6690,6676
6690,20
6690,18
6706,6689
6690,6679
6690,23
6706,6694
6690,21
6690,6684
6690,28
6690,6683
6690,27
6690,26
6641,6664
6690,6681
6690,6688
6690,32
6690,31
6690,6686
6690,30
6706,6702
6690,29
6690,6685
6706,45
6641,12
