military_combatant_1,military_combatant_2
13573,170
7920,51
13609,13652
13600,108
13610,51
11861,6655
11939,141
13631,166
13600,117
7902,11631
13591,141
6756,51
13534,11631
13631,176
13569,50
8181,170
13569,51
8218,51
7945,13632
13582,170
7956,10993
13579,11778
8126,13656
8065,194
13609,11631
8078,51
13600,141
13582,9403
13609,118
8356,141
13609,119
7881,16
13625,141
13609,6777
13584,141
13616,177
13662,11819
13569,110
13569,11631
13616,187
13601,141
13630,6
13571,11819
7649,13651
13569,118
13609,155
13600,178
13636,97
7981,51
13580,11819
13569,141
13630,51
7997,13649
13579,11361
13620,10866
4156,13181
8396,12
13587,118
6670,13585
13094,51
8344,97
13569,170
13584,12506
8318,141
12383,90
13589,13648
13601,12506
13620,141
13584,11498
7958,50
13616,20
13591,27
13662,127
6670,51
13614,13648
13600,6655
13580,108
13636,177
13580,117
13571,141
13609,6655
7587,51
13573,89
7744,51
6646,51
13636,187
13582,9286
6630,39
13604,170
13104,51
13600,35
8397,51
13580,141
13104,7997
13590,97
13591,13635
13573,11631
13597,135
13571,170
13600,51
13609,6684
13573,118
13582,95
13573,119
13597,141
13569,6655
7803,51
13584,11819
13625,51
8105,170
13573,132
13633,13632
13600,78
8197,141
13569,12
12651,51
13601,11819
8396,119
13573,141
13589,170
7677,141
13616,97
8136,6655
8381,90
13600,90
13594,13585
