mode_of_transportation_1,mode_of_transportation_2
9155,14758
10914,14758
10648,14045
10648,14040
8509,14045
8486,14758
8476,14045
9700,14758
9659,14758
9451,14040
8511,14758
8478,14758
8526,14040
8485,14040
10832,14758
9443,14040
10632,14045
10632,14040
8526,14045
11598,14045
9451,14045
8477,14040
8495,14758
29,14040
8485,14045
9453,14758
8510,14040
9443,14045
29,14045
8512,14758
8487,14758
8510,14045
11559,14758
8477,14045
9990,14758
10436,14758
9528,14758
10864,14045
9551,14045
8504,14758
10864,14040
13044,14045
9551,14040
8494,14040
9700,14040
9155,14040
8496,14758
8494,14045
8486,14040
10914,14045
9659,14040
8511,14045
8488,14758
9487,14758
8486,14045
8511,14040
9700,14045
10947,14045
8478,14040
9155,14045
13061,14045
9859,14758
8513,14758
11585,14758
8480,14758
10632,13064
8478,14045
9659,14045
9453,14040
8495,14045
10832,14045
10832,14040
8495,14040
10436,14040
9331,14758
8530,14758
8520,14045
10568,14045
8487,14045
8520,14040
9453,14045
1585,14758
8487,14040
9876,14758
9990,14040
8522,14758
10058,14758
8512,14045
9199,14758
9990,14045
8512,14040
9514,14467
10436,14045
12914,14040
8504,14045
9528,14045
11799,14045
12988,14045
9528,14040
8504,14040
10843,14758
9264,14045
8496,14045
9999,14045
8496,14040
9264,14040
10387,14045
9999,14040
8531,14758
8498,14758
10736,14758
9859,14040
13162,14045
8488,14040
11585,14045
8513,14045
9514,14758
8490,14758
10984,14758
8480,14045
8513,14040
11585,14040
8480,14040
9859,14045
9331,14040
8530,14040
8520,13064
1585,14040
8530,14045
8507,14758
10058,14040
8522,14040
1585,14045
9331,14045
10058,14045
8522,14045
8532,14758
11622,14467
9264,13064
8483,14758
11555,14758
8531,14040
8498,14040
10843,14045
8475,14758
8498,14045
10703,14045
8490,14040
8508,14758
8531,14045
8490,14045
9514,14045
10984,14045
8507,14040
10210,14758
8532,14040
11315,14040
8507,14045
9746,14045
10648,14758
8532,14045
8509,14758
8476,14758
8483,14040
11555,14040
9451,14758
8508,14040
8475,14040
11679,14045
9350,14045
8526,14758
11555,14045
8483,14045
9443,14758
8485,14758
8508,14045
8475,14045
8492,14040
29,14758
8477,14758
10210,14040
10864,14758
10897,14758
8492,14045
8509,14040
10210,14045
8476,14040
10568,14467
9551,14758
8494,14758
11622,14045
